search_record_id,node_id,canonical_name,node_type,domain_name,search_text,related_terms,created_at
KGSRCH-000011,KGNODE2-000011,Food and Drug Administration,Federal Agency,Acquisition Strategy,Food and Drug Administration | Federal Agency | Acquisition Strategy | Combined Synopsis Solicitation Method of Solicitation National Cemetery Operations Request for Information Request for Proposal Request for Quotation Solicitation Number,Combined Synopsis Solicitation;Method of Solicitation;National Cemetery Operations;Request for Information;Request for Proposal;Request for Quotation;Solicitation Number,2026-06-29 15:40:03
KGSRCH-000012,KGNODE2-000012,Solicitation Number,Acquisition Metadata,Acquisition Strategy,Solicitation Number | Acquisition Metadata | Acquisition Strategy | Award Basis Contracting Officer Food and Drug Administration Solicitation Amendment,Award Basis;Contracting Officer;Food and Drug Administration;Solicitation Amendment,2026-06-29 15:40:03
KGSRCH-000013,KGNODE2-000013,Unit Price,Pricing Structure,Commercial and Pricing,Unit Price | Pricing Structure | Commercial and Pricing | Firm Fixed Price Place of Performance,Firm Fixed Price;Place of Performance,2026-06-29 15:40:03
KGSRCH-000014,KGNODE2-000014,Evaluation Factors,Evaluation Factor,Evaluation and Source Selection,Evaluation Factors | Evaluation Factor | Evaluation and Source Selection | Award Basis,Award Basis,2026-06-29 15:40:03
KGSRCH-000015,KGNODE2-000015,Table of Contents,Document Structure Object,Document Structure and Administrative Forms,Table of Contents | Document Structure Object | Document Structure and Administrative Forms | ,,2026-06-29 15:40:03
KGSRCH-000016,KGNODE2-000016,Past Performance,Supplier Qualification,Supplier Eligibility and Qualifications,Past Performance | Supplier Qualification | Supplier Eligibility and Qualifications | Performance Work Statement Statement of Work,Performance Work Statement;Statement of Work,2026-06-29 15:40:03
KGSRCH-000017,KGNODE2-000017,Request for Information,Acquisition Metadata,Acquisition Strategy,Request for Information | Acquisition Metadata | Acquisition Strategy | Award Basis Contracting Officer Food and Drug Administration Solicitation Amendment,Award Basis;Contracting Officer;Food and Drug Administration;Solicitation Amendment,2026-06-29 15:40:03
KGSRCH-000018,KGNODE2-000018,Administrative Support and Clerical,Administrative Service Labor Category,Performance and Operations,Administrative Support and Clerical | Administrative Service Labor Category | Performance and Operations | ,,2026-06-29 15:40:03
KGSRCH-000019,KGNODE2-000019,Proposal Volume,Proposal Structure,Submission and Proposal Management,Proposal Volume | Proposal Structure | Submission and Proposal Management | Solicitation Amendment,Solicitation Amendment,2026-06-29 15:40:03
KGSRCH-000020,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition Strategy,Combined Synopsis Solicitation | Acquisition Metadata | Acquisition Strategy | Award Basis Contracting Officer Food and Drug Administration Solicitation Amendment,Award Basis;Contracting Officer;Food and Drug Administration;Solicitation Amendment,2026-06-29 15:40:03
KGSRCH-000021,KGNODE2-000021,Small Business Set-Aside,Supplier Qualification,Supplier Eligibility and Qualifications,Small Business Set-Aside | Supplier Qualification | Supplier Eligibility and Qualifications | Performance Work Statement Statement of Work,Performance Work Statement;Statement of Work,2026-06-29 15:40:03
KGSRCH-000022,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery and Logistics,Place of Performance | Delivery Requirement | Delivery and Logistics | Marine Corps Base Camp Lejeune Payment and Invoice Unit Price,Marine Corps Base Camp Lejeune;Payment and Invoice;Unit Price,2026-06-29 15:40:03
KGSRCH-000023,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,Acquisition Strategy,Method of Solicitation | Acquisition Metadata | Acquisition Strategy | Award Basis Contracting Officer Food and Drug Administration Solicitation Amendment,Award Basis;Contracting Officer;Food and Drug Administration;Solicitation Amendment,2026-06-29 15:40:03
KGSRCH-000024,KGNODE2-000024,Request for Proposal,Acquisition Metadata,Acquisition Strategy,Request for Proposal | Acquisition Metadata | Acquisition Strategy | Award Basis Contracting Officer Food and Drug Administration Solicitation Amendment,Award Basis;Contracting Officer;Food and Drug Administration;Solicitation Amendment,2026-06-29 15:40:03
KGSRCH-000025,KGNODE2-000025,Statement of Work,Technical Requirement,Technical Requirements,Statement of Work | Technical Requirement | Technical Requirements | National Cemetery Operations Past Performance Performance Work Statement Small Business Set-Aside,National Cemetery Operations;Past Performance;Performance Work Statement;Small Business Set-Aside,2026-06-29 15:40:03
KGSRCH-000026,KGNODE2-000026,Amendment Copy Requirement,Procurement Document Artifact,Document Structure and Administrative Forms,Amendment Copy Requirement | Procurement Document Artifact | Document Structure and Administrative Forms | ,,2026-06-29 15:40:03
KGSRCH-000027,KGNODE2-000027,Proposal Default Index,Proposal Document Artifact,Document Structure and Administrative Forms,Proposal Default Index | Proposal Document Artifact | Document Structure and Administrative Forms | ,,2026-06-29 15:40:03
KGSRCH-000028,KGNODE2-000028,Request for Quotation,Acquisition Metadata,Acquisition Strategy,Request for Quotation | Acquisition Metadata | Acquisition Strategy | Award Basis Contracting Officer Food and Drug Administration Solicitation Amendment,Award Basis;Contracting Officer;Food and Drug Administration;Solicitation Amendment,2026-06-29 15:40:03
KGSRCH-000029,KGNODE2-000029,Payment and Invoice,Pricing Structure,Commercial and Pricing,Payment and Invoice | Pricing Structure | Commercial and Pricing | Firm Fixed Price Place of Performance,Firm Fixed Price;Place of Performance,2026-06-29 15:40:03
