graph_version,node_id,node_key,node_type,canonical_name,domain_name,confidence,graph_status,publication_status,in_degree,out_degree,total_degree,semantic_object_v3_id,semantic_object_id,created_at
KG-1.0,KGNODE2-000016,supplier_qualification_past_performance_supplier_eligibility_and_qualifications,Supplier Qualification,Past Performance,Supplier Eligibility and Qualifications,0.734,graph_candidate,published_candidate,2,0,2,SPO3-000010,SPO2-000010,2026-06-29 15:40:03
KG-1.0,KGNODE2-000017,acquisition_metadata_request_for_information_acquisition_strategy,Acquisition Metadata,Request for Information,Acquisition Strategy,0.761,graph_candidate,published_candidate,2,2,4,SPO3-000011,SPO2-000011,2026-06-29 15:40:03
KG-1.0,KGNODE2-000018,administrative_service_labor_category_administrative_support_and_clerical_performance_and_operations,Administrative Service Labor Category,Administrative Support and Clerical,Performance and Operations,0.76,graph_candidate,published_candidate,0,0,0,SPO3-000012,SPO2-000012,2026-06-29 15:40:03
KG-1.0,KGNODE2-000019,proposal_structure_proposal_volume_submission_and_proposal_management,Proposal Structure,Proposal Volume,Submission and Proposal Management,0.719,graph_candidate,published_candidate,0,1,1,SPO3-000013,SPO2-000013,2026-06-29 15:40:03
KG-1.0,KGNODE2-000020,acquisition_metadata_combined_synopsis_solicitation_acquisition_strategy,Acquisition Metadata,Combined Synopsis Solicitation,Acquisition Strategy,0.769,graph_candidate,published_candidate,2,2,4,SPO3-000015,SPO2-000015,2026-06-29 15:40:03
KG-1.0,KGNODE2-000021,supplier_qualification_small_business_set_aside_supplier_eligibility_and_qualifications,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,0.706,graph_candidate,published_candidate,2,0,2,SPO3-000016,SPO2-000016,2026-06-29 15:40:03
KG-1.0,KGNODE2-000022,delivery_requirement_place_of_performance_delivery_and_logistics,Delivery Requirement,Place of Performance,Delivery and Logistics,0.74,graph_candidate,published_candidate,1,4,5,SPO3-000018,SPO2-000018,2026-06-29 15:40:03
KG-1.0,KGNODE2-000023,acquisition_metadata_method_of_solicitation_acquisition_strategy,Acquisition Metadata,Method of Solicitation,Acquisition Strategy,0.718,graph_candidate,published_candidate,2,2,4,SPO3-000019,SPO2-000019,2026-06-29 15:40:03
KG-1.0,KGNODE2-000024,acquisition_metadata_request_for_proposal_acquisition_strategy,Acquisition Metadata,Request for Proposal,Acquisition Strategy,0.743,graph_candidate,published_candidate,2,2,4,SPO3-000020,SPO2-000020,2026-06-29 15:40:03
KG-1.0,KGNODE2-000025,technical_requirement_statement_of_work_technical_requirements,Technical Requirement,Statement of Work,Technical Requirements,0.727,graph_candidate,published_candidate,2,2,4,SPO3-000021,SPO2-000021,2026-06-29 15:40:03
KG-1.0,KGNODE2-000026,procurement_document_artifact_amendment_copy_requirement_document_structure_and_administrative_forms,Procurement Document Artifact,Amendment Copy Requirement,Document Structure and Administrative Forms,0.78,graph_candidate,published_candidate,0,0,0,SPO3-000027,SPO2-000030,2026-06-29 15:40:03
KG-1.0,KGNODE2-000027,proposal_document_artifact_proposal_default_index_document_structure_and_administrative_forms,Proposal Document Artifact,Proposal Default Index,Document Structure and Administrative Forms,0.72,graph_candidate,published_candidate,0,0,0,SPO3-000030,SPO2-000033,2026-06-29 15:40:03
KG-1.0,KGNODE2-000028,acquisition_metadata_request_for_quotation_acquisition_strategy,Acquisition Metadata,Request for Quotation,Acquisition Strategy,0.712,graph_candidate,published_candidate,2,2,4,SPO3-000031,SPO2-000035,2026-06-29 15:40:03
KG-1.0,KGNODE2-000029,pricing_structure_payment_and_invoice_commercial_and_pricing,Pricing Structure,Payment and Invoice,Commercial and Pricing,0.701,graph_candidate,published_candidate,3,0,3,SPO3-000032,SPO2-000036,2026-06-29 15:40:03
