review_queue_id,semantic_object_id,semantic_object_type,canonical_name,domain_name,governance_score,promotion_status,priority,review_reason,review_status,created_at
SRPQ3-000005,SPO2-000005,Pricing Structure,Unit Price,Commercial and Pricing,0.75,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000006,SPO2-000006,Procurement Role,Contracting Officer,Acquisition Strategy,0.755,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000004,SPO2-000004,Contract Type,Firm Fixed Price,Commercial and Pricing,0.756,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000007,SPO2-000007,Technical Requirement,Performance Work Statement,Technical Requirements,0.759,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000015,SPO2-000015,Acquisition Metadata,Combined Synopsis Solicitation,Acquisition Strategy,0.764,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000033,SPO2-000033,Proposal Document Artifact,Proposal Default Index,Document Structure and Administrative Forms,0.787,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000012,SPO2-000012,Administrative Service Labor Category,Administrative Support and Clerical,Performance and Operations,0.805,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000030,SPO2-000030,Procurement Document Artifact,Amendment Copy Requirement,Document Structure and Administrative Forms,0.814,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000022,SPO2-000022,Award Phrase,Award Will Be Made,Evaluation and Source Selection,0.832,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000025,SPO2-000025,Military Organization,United States Army,Domain-Specific Operations,0.832,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000027,SPO2-000027,Award Phrase,Award Will Be Made,Evaluation and Source Selection,0.832,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000028,SPO2-000028,Military Organization,United States Army,Domain-Specific Operations,0.832,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000026,SPO2-000026,Contract Type Fragment,Award a Firm Fixed Price Contract,Commercial and Pricing,0.841,promote_after_review,medium,governance_review,pending,2026-06-28 22:06:51
SRPQ3-000029,SPO2-000029,Military Organization,United States Marine Corps,Domain-Specific Operations,0.85,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
SRPQ3-000031,SPO2-000031,Regulation Set,FAR and DOSAR Provisions,"Legal, Compliance, and Labor",0.85,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
SRPQ3-000034,SPO2-000034,Military Organization,United States Marine Corps,Domain-Specific Operations,0.85,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
SRPQ3-000023,SPO2-000023,Military Installation,Marine Corps Base Camp Lejeune,Domain-Specific Operations,0.877,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
SRPQ3-000024,SPO2-000024,Military Installation,Marine Corps Base Camp Lejeune,Domain-Specific Operations,0.877,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
SRPQ3-000032,SPO2-000032,Federal Agency,Food and Drug Administration,Acquisition Strategy,0.877,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
SRPQ3-000001,SPO2-000001,Submission Instruction,Solicitation Amendment,Submission and Proposal Management,0.896,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
SRPQ3-000002,SPO2-000002,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,0.901,promote_to_semantic_registry,low,governance_review,spot_check,2026-06-28 22:06:51
