eligibility_id,canonical_expression_id,canonical_expression,expression_family,domain_name,eligibility_status,eligibility_reason,eligibility_score,total_frequency,source_count,created_at
SELG-000037,CPX2-000036,Request for Proposal,Proposal and Submission,Submission and Proposal Management,eligible,procurement_signal:proposal;request;request for proposal,0.79,6,2,2026-06-28 17:16:16
SELG-000038,CPX2-000037,Required Follow The Occupational,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000039,CPX2-000038,Statement of Work,Technical and Performance Requirements,Technical Requirements,eligible,procurement_signal:statement;work,0.71,6,2,2026-06-28 17:16:16
SELG-000040,CPX2-000039,Synopsis Solicitation,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:solicitation,0.63,6,1,2026-06-28 17:16:16
SELG-000041,CPX2-000040,Title Footnote Rate 01000,Residual Expression,Residual Unknown,ineligible,document_or_wage_table_artifact,0.15,6,1,2026-06-28 17:16:16
SELG-000042,CPX2-000042,Above Numbered Solicitation,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000043,CPX2-000043,Above Numbered Solicitation Is,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000044,CPX2-000044,Accordance With The Format,Residual Expression,Residual Unknown,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000045,CPX2-000045,Affairs National Cemetery,Domain-Specific Operations,Domain-Specific Operations,eligible,procurement_signal:national cemetery,0.63,4,1,2026-06-28 17:16:16
SELG-000046,CPX2-000046,Award A Contract,Evaluation and Award,Evaluation and Source Selection,eligible,procurement_signal:contract;award,0.71,4,1,2026-06-28 17:16:16
SELG-000047,CPX2-000047,Black Hills National Cemetery,Domain-Specific Operations,Domain-Specific Operations,eligible,procurement_signal:national cemetery,0.63,4,1,2026-06-28 17:16:16
SELG-000048,CPX2-000048,Corps Base Camp Lejeune,Residual Expression,Residual Unknown,review,multiword_uncertain,0.45,4,1,2026-06-28 17:16:16
SELG-000049,CPX2-000049,Hills National Cemetery,Domain-Specific Operations,Domain-Specific Operations,eligible,procurement_signal:national cemetery,0.63,4,1,2026-06-28 17:16:16
SELG-000050,CPX2-000050,In The Solicitation,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000051,CPX2-000051,Marine Corps Base Camp,Residual Expression,Residual Unknown,review,multiword_uncertain,0.45,4,1,2026-06-28 17:16:16
SELG-000052,CPX2-000052,Numbered Solicitation Is,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000053,CPX2-000053,Numbered Solicitation Is Amended,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:solicitation,0.63,4,1,2026-06-28 17:16:16
SELG-000054,CPX2-000054,Only Applies To Amendments,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000055,CPX2-000055,Solicitation Is Amended,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:solicitation,0.63,4,1,2026-06-28 17:16:16
SELG-000056,CPX2-000056,The Above Numbered Solicitation,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000057,CPX2-000057,To Award A,Evaluation and Award,Evaluation and Source Selection,ineligible,low_value_fragment,0.1,4,1,2026-06-28 17:16:16
SELG-000058,CPX2-000058,Veterans Affairs National Cemetery,Domain-Specific Operations,Domain-Specific Operations,eligible,procurement_signal:national cemetery,0.63,4,1,2026-06-28 17:16:16
SELG-000059,CPX2-000059,Army Mil Proposal Default,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:proposal,0.63,3,1,2026-06-28 17:16:16
SELG-000060,CPX2-000060,Award A Firm Fixed,Evaluation and Award,Evaluation and Source Selection,eligible,procurement_signal:award,0.63,3,1,2026-06-28 17:16:16
SELG-000061,CPX2-000061,Award Will Be Made,Evaluation and Award,Evaluation and Source Selection,eligible,procurement_signal:award,0.63,3,1,2026-06-28 17:16:16
SELG-000062,CPX2-000062,Chess Army Mil Proposal,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:proposal,0.63,3,1,2026-06-28 17:16:16
SELG-000063,CPX2-000063,Cl Marine Corps Base,Residual Expression,Residual Unknown,review,multiword_uncertain,0.45,3,1,2026-06-28 17:16:16
SELG-000064,CPX2-000064,Copies Of The Amendment,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:amendment,0.63,3,1,2026-06-28 17:16:16
SELG-000065,CPX2-000065,Far And Dosar Provisions,Compliance and Labor,"Legal, Compliance, and Labor",review,multiword_uncertain,0.45,3,1,2026-06-28 17:16:16
SELG-000066,CPX2-000066,Food And Drug Administration,Residual Expression,Residual Unknown,review,multiword_uncertain,0.45,3,1,2026-06-28 17:16:16
SELG-000067,CPX2-000067,Mil Proposal Default Index,General Procurement Expression,Acquisition Strategy,eligible,procurement_signal:proposal,0.63,3,1,2026-06-28 17:16:16
SELG-000068,CPX2-000068,Page Of Pages Amendment,General Procurement Expression,Acquisition Strategy,ineligible,document_or_wage_table_artifact,0.15,3,1,2026-06-28 17:16:16
SELG-000069,CPX2-000070,Renovation Cl Marine Corps,Residual Expression,Residual Unknown,review,multiword_uncertain,0.45,3,1,2026-06-28 17:16:16
SELG-000070,CPX2-000069,Request for Quotation,Proposal and Submission,Submission and Proposal Management,eligible,procurement_signal:request;request for quotation,0.71,3,1,2026-06-28 17:16:16
SELG-000071,CPX2-000071,Solicitation To The Responsible,General Procurement Expression,Acquisition Strategy,ineligible,low_value_fragment,0.1,3,1,2026-06-28 17:16:16
SELG-000072,CPX2-000072,The Responsible Offeror Whose,Proposal and Submission,Submission and Proposal Management,ineligible,low_value_fragment,0.1,3,1,2026-06-28 17:16:16
SELG-000073,CPX2-000073,To The Responsible Offeror,Proposal and Submission,Submission and Proposal Management,ineligible,low_value_fragment,0.1,3,1,2026-06-28 17:16:16
SELG-000074,CPX2-000074,Payment and Invoice,Pricing and Payment,Commercial and Pricing,eligible,procurement_signal:payment;invoice,0.71,2,1,2026-06-28 17:16:16
