plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_patterns,candidate_count,classification_score,confidence,reasoning_basis,match_type,classification_status,source_statement,created_at
RPLUC-000011,GSTMT-000063,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-002,Evaluation,Evaluation Navigation,Evaluation Navigation,Document Navigation,52\.212-2;basis for award,1,129,0.94,Evaluation navigation bundle,bundle,reasoned_classified,52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.,2026-06-25 06:10:29
RPLUC-000012,GSTMT-000064,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government;price and other factors considered;price,1,145,0.94,Best value award framework bundle,bundle,reasoned_classified,"The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",2026-06-25 06:10:29
RPLUC-000013,GSTMT-000066,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,lowest price technically acceptable;\blpta\b;technical capability;past performance;\bprice\b;technically acceptable,3,162,0.94,LPTA evaluation framework bundle,bundle,reasoned_classified,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",2026-06-25 06:10:29
RPLUC-000014,GSTMT-000068,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-008,Evaluation,Factor Importance,Factor Importance,Requirement Weighting,paramount,1,107,0.82,single_rule,single,reasoned_classified,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",2026-06-25 06:10:29
RPLUC-000015,GSTMT-000070,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,lowest evaluated price.*acceptable;technical capability;\bprice\b;award will be made,2,151,0.94,LPTA evaluation framework bundle,bundle,reasoned_classified,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable” rating in the technical capability assessment.",2026-06-25 06:10:29
RPLUC-000016,GSTMT-000072,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-006,Evaluation,Evaluation Constraint,Evaluation Constraint,Evaluation Intelligence,will not receive higher ratings,1,108,0.82,single_rule,single,reasoned_classified,Quotes that exceed the evaluation criteria will not receive higher ratings.,2026-06-25 06:10:29
RPLUC-000017,GSTMT-000074,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,\blpta\b;\bprice\b;does not permit tradeoffs,2,146,0.94,LPTA evaluation framework bundle,bundle,reasoned_classified,The LPTA source selection process does not permit tradeoffs between price and non-price factors.,2026-06-25 06:10:29
RPLUC-000018,GSTMT-000088,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b;registered;active;offeror;submitting;award,2,139,0.94,Registration bundle,bundle,reasoned_classified,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",2026-06-25 06:10:29
RPLUC-000019,GSTMT-000094,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,line item,1,118,0.94,Pricing schedule bundle,bundle,reasoned_classified,CONTRACT DATA REQUIREMENTS LIST (2 DATA ITEMS) A.CONTRACT LINE ITEM NO.,2026-06-25 06:10:29
RPLUC-000020,GSTMT-000095,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-META-002,Metadata and Structure,Exhibit,Exhibit,Document Structure Intelligence,exhibit,1,88,0.82,single_rule,single,reasoned_classified,B.EXHIBIT C.CATEGORY 0001 A TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.,2026-06-25 06:10:29
RPLUC-000021,GSTMT-000096,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certificate of compliance;\bcertification\b;quality;compliance,1,128,0.94,Certification bundle,bundle,reasoned_classified,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,2026-06-25 06:10:29
RPLUC-000022,GSTMT-000097,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8.,2026-06-25 06:10:29
RPLUC-000023,GSTMT-000101,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b,1,112,0.94,Certification bundle,bundle,reasoned_classified,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,2026-06-25 06:10:29
RPLUC-000024,GSTMT-000103,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP.,2026-06-25 06:10:29
RPLUC-000025,GSTMT-000106,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,PLU-META-002,Metadata and Structure,Exhibit,Exhibit,Document Structure Intelligence,exhibit,1,88,0.82,single_rule,single,reasoned_classified,B.EXHIBIT C.CATEGORY 0002 B TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.,2026-06-25 06:10:29
RPLUC-000026,GSTMT-000120,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,6934753cfbdf45f1b93928b67e93355a_1.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government;evaluation criteria;price,1,144,0.94,Best value award framework bundle,bundle,reasoned_classified,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria).",2026-06-25 06:10:29
RPLUC-000027,GSTMT-000123,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,PLU-EXCL-002,Exclusion,Non-Procurement Evaluation,Non-Procurement Evaluation,Exclusion Layer,product information for evaluation,3,146,0.94,Non-procurement evaluation exclusion bundle,bundle,reasoned_classified,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation.",2026-06-25 06:10:29
RPLUC-000028,GSTMT-000124,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,PLU-SUP-007,Supplier Qualification,Authorized Distributor,Authorized Distributor,Eligibility Intelligence,authorized distributor,1,102,0.82,single_rule,single,reasoned_classified,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products.",2026-06-25 06:10:29
RPLUC-000029,GSTMT-000125,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,PLU-SUP-007,Supplier Qualification,Authorized Distributor,Authorized Distributor,Eligibility Intelligence,authorized distributor,1,102,0.82,single_rule,single,reasoned_classified,Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered “grey market”.,2026-06-25 06:10:29
RPLUC-000030,GSTMT-000126,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;requirement,1,111,0.94,Product/material requirement bundle,bundle,reasoned_classified,National Cemetery Administration (NCA) Black Hills National Cemetery (BHNC) STATEMENT OF NEED Requirement of Aggregate Materials GENERAL INFORMATION Title of Project:,2026-06-25 06:10:29
RPLUC-000031,GSTMT-000127,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;requirement,1,111,0.94,Product/material requirement bundle,bundle,reasoned_classified,Aggregate Materials Requirement Black Hills National Cemetery has a requirement for the following materials:,2026-06-25 06:10:29
RPLUC-000032,GSTMT-000128,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;shall provide,2,111,0.94,Product/material requirement bundle,bundle,reasoned_classified,The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).,2026-06-25 06:10:29
RPLUC-000033,GSTMT-000129,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;deliver,2,111,0.94,Product/material requirement bundle,bundle,reasoned_classified,The transportation/delivery of material to the cemetery will be provided by the vendor and offloaded in a designated location provided by the COR at the time of delivery.,2026-06-25 06:10:29
RPLUC-000034,GSTMT-000132,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b;shall provide,2,111,0.94,Product/material requirement bundle,bundle,reasoned_classified,The Vendor shall provide the following material upon request by the COR:,2026-06-25 06:10:29
RPLUC-000035,GSTMT-000135,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,PLU-SUP-002,Supplier Qualification,Corporate Experience,Corporate Experience,Supplier Capability Intelligence,comparable in size,1,100,0.82,single_rule,single,reasoned_classified,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated.",2026-06-25 06:10:29
RPLUC-000036,GSTMT-000138,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontracting,1,100,0.82,single_rule,single,reasoned_classified,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Contact Person and Position",2026-06-25 06:10:29
RPLUC-000037,GSTMT-000144,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_5.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contracting officer;\bcor\b,1,100,0.82,single_rule,single,reasoned_classified,"Additionally, should any activity result in the exposure and/or damage to any remains, container for remains (e.g., casket or urn), or outer burial container, the contractor must contact the COR, Director/Assistant Director, or Contracting Officer (CO) for guidance.",2026-06-25 06:10:29
RPLUC-000038,GSTMT-000145,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_5.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,\bcor\b,1,96,0.82,single_rule,single,reasoned_classified,"Any doubts as to proper procedures shall be brought to the attention of the COR, Director/Assistant Director, or",2026-06-25 06:10:29
RPLUC-000039,GSTMT-000147,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,88,0.82,single_rule,single,reasoned_classified,"Black Hills National Cemetery 20901 Pleasant Valley Dr, Sturgis, SD 57785 Attachments:",2026-06-25 06:10:29
RPLUC-000040,GSTMT-000148,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,pricing schedule,1,118,0.94,Pricing schedule bundle,bundle,reasoned_classified,"A - Statement of work B - Cemetery Operational Standards C – Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice.",2026-06-25 06:10:29
RPLUC-000041,GSTMT-000160,3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,PLU-COMP-001,Legal and Compliance,FAR Clause,FAR Clause,Compliance Intelligence,\bfar\s+part\s+\d+,1,116,0.94,FAR clause bundle,bundle,reasoned_classified,"Food and Drug Administration (FDA) is issuing this Request for Information (RFI) as a means of conducting market research, pursuant to FAR Part 10 Market Research.",2026-06-25 06:10:29
RPLUC-000042,GSTMT-000164,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_1.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price schedule;price/costs;unit price;quantity;amount;supplies/services,1,145,0.94,Pricing schedule bundle,bundle,reasoned_classified,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Contract Period:,2026-06-25 06:10:29
RPLUC-000043,GSTMT-000170,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_4.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,1,100,0.82,single_rule,single,reasoned_classified,The subcontractor acknowledges that the following clauses of the contract shown in Item 1 are included in this subcontract:,2026-06-25 06:10:29
RPLUC-000044,GSTMT-000171,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_4.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b;compliance;eligibility,1,122,0.94,Certification bundle,bundle,reasoned_classified,Contract Work Hours and Safety Standards Act - Overtime Construction Wage Rate Requirements Compensation (If included in prime contract see Block 6) Apprentices and Trainees Payrolls and Basic Records Compliance with Copeland Act Withholding of Funds Requirements Disputes Concerning Labor Standards Subcontracts (Labor Standards) Compliance with Construction Wage Rate Requirements Contract Termination - Debarment and Related Regulations Certification of Eligibility Autho,2026-06-25 06:10:29
RPLUC-000045,GSTMT-000178,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-EXCL-002,Exclusion,Non-Procurement Evaluation,Non-Procurement Evaluation,Exclusion Layer,implementation and evaluation of this program,1,146,0.94,Non-procurement evaluation exclusion bundle,bundle,reasoned_classified,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.,2026-06-25 06:10:29
RPLUC-000046,GSTMT-000179,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bequipment\b,1,106,0.94,Product/material requirement bundle,bundle,reasoned_classified,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,2026-06-25 06:10:29
RPLUC-000047,GSTMT-000205,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,PLU-COMP-004,Legal and Compliance,Labor Requirement,Labor Requirement,Labor Intelligence,davis-bacon,1,100,0.82,single_rule,single,reasoned_classified,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,2026-06-25 06:10:29
RPLUC-000048,GSTMT-000208,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_15.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certified,2,112,0.94,Certification bundle,bundle,reasoned_classified,"A contractor who falsifies certified payroll records or induces wage kickbacks may be subject to civil or criminal prosecution, fines and/or imprisonment.",2026-06-25 06:10:29
RPLUC-000049,GSTMT-000210,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certificate of compliance;compliance,2,117,0.94,Certification bundle,bundle,reasoned_classified,VAAR 852.219-75 VA NOTICE OF LIMITATIONS ON SUBCONTRACTING—CERTIFICATE OF COMPLIANCE FOR SERVICES AND CONSTRUCTION (JAN 2023) (DEVIATION) (a) Pursuant to 38 U.S.C.,2026-06-25 06:10:29
RPLUC-000050,GSTMT-000211,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,limitations on subcontracting;subcontracting,1,104,0.82,single_rule,single,reasoned_classified,"8127(l)(2), the offeror certifies that— (1) If awarded a contract (see FAR 2.101 definition), it will comply with the limitations on subcontracting requirement as provided in the solicitation and the resultant contract, as follows:",2026-06-25 06:10:29
RPLUC-000051,GSTMT-000212,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b;certified,2,118,0.94,Certification bundle,bundle,reasoned_classified,"In the case of a contract for services (except construction), the contractor will not pay more than 50% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219–73 or certified VOSBs listed in the SBA certification database as set forth in 852.219–74.",2026-06-25 06:10:29
RPLUC-000052,GSTMT-000213,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-COMP-006,Legal and Compliance,Socioeconomic Requirement,Socioeconomic Requirement,Eligibility Intelligence,small business,1,99,0.82,single_rule,single,reasoned_classified,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,2026-06-25 06:10:29
RPLUC-000053,GSTMT-000214,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_16.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b;certified,2,118,0.94,Certification bundle,bundle,reasoned_classified,"In the case of a contract for general construction, the contractor will not pay more than 85% of the amount paid by the government to it to firms that are not certified SDVOSBs listed in the SBA certification database as set forth in 852.219–73 or certified VOSBs listed in the SBA certification database as set forth in 852.219–74.",2026-06-25 06:10:29
