plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_patterns,candidate_count,classification_score,confidence,classification_status,source_statement,created_at
OPLUC-000013,GSTMT-000056,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government,2,93,0.95,optimized_classified,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",2026-06-24 23:11:06
OPLUC-000014,GSTMT-000059,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,1,68,0.94,optimized_classified,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,2026-06-24 23:11:06
OPLUC-000015,GSTMT-000060,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-COM-007,Commercial,Payment Terms,Payment Terms,Contract Administration,invoice,1,77,0.95,optimized_classified,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,2026-06-24 23:11:06
OPLUC-000016,GSTMT-000061,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-COM-004,Commercial,Unit Price,Unit Price,Pricing Intelligence,unit price,2,77,0.95,optimized_classified,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-24 23:11:06
OPLUC-000017,GSTMT-000063,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,basis for award,2,93,0.95,optimized_classified,52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.,2026-06-24 23:11:06
OPLUC-000018,GSTMT-000064,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government,2,93,0.95,optimized_classified,"The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",2026-06-24 23:11:06
OPLUC-000019,GSTMT-000066,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,past performance,7,108,0.95,optimized_classified,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",2026-06-24 23:11:06
OPLUC-000020,GSTMT-000068,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,past performance,4,108,0.95,optimized_classified,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",2026-06-24 23:11:06
OPLUC-000021,GSTMT-000070,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,award will be made,4,93,0.95,optimized_classified,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable” rating in the technical capability assessment.",2026-06-24 23:11:06
OPLUC-000022,GSTMT-000072,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-006,Evaluation,Evaluation Constraint,Evaluation Constraint,Evaluation Intelligence,will not receive higher ratings,1,89,0.95,optimized_classified,Quotes that exceed the evaluation criteria will not receive higher ratings.,2026-06-24 23:11:06
OPLUC-000023,GSTMT-000074,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-004,Evaluation,Evaluation Method,Evaluation Method,Evaluation Intelligence,\blpta\b;source selection process,3,93,0.95,optimized_classified,The LPTA source selection process does not permit tradeoffs between price and non-price factors.,2026-06-24 23:11:06
OPLUC-000024,GSTMT-000085,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,delivered prices,1,77,0.95,optimized_classified,REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,2026-06-24 23:11:06
OPLUC-000025,GSTMT-000088,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b,2,81,0.95,optimized_classified,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",2026-06-24 23:11:06
OPLUC-000026,GSTMT-000090,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,1,77,0.95,optimized_classified,PRICE LISTING/GSA Is this a PRICE LISTED item?,2026-06-24 23:11:06
OPLUC-000027,GSTMT-000091,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,1,77,0.95,optimized_classified,"If Yes, include copy of price list with your quote.",2026-06-24 23:11:06
OPLUC-000028,GSTMT-000094,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,line item,1,77,0.95,optimized_classified,CONTRACT DATA REQUIREMENTS LIST (2 DATA ITEMS) A.CONTRACT LINE ITEM NO.,2026-06-24 23:11:06
OPLUC-000029,GSTMT-000095,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-META-002,Metadata and Structure,Exhibit,Exhibit,Document Structure Intelligence,exhibit,1,63,0.92,optimized_classified,B.EXHIBIT C.CATEGORY 0001 A TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.,2026-06-24 23:11:06
OPLUC-000030,GSTMT-000096,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b;certificate of compliance,1,84,0.95,optimized_classified,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,2026-06-24 23:11:06
OPLUC-000031,GSTMT-000097,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,73,0.95,optimized_classified,2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8.,2026-06-24 23:11:06
OPLUC-000032,GSTMT-000101,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b,2,81,0.95,optimized_classified,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,2026-06-24 23:11:06
OPLUC-000033,GSTMT-000103,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,73,0.95,optimized_classified,3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP.,2026-06-24 23:11:06
OPLUC-000034,GSTMT-000106,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,PLU-META-002,Metadata and Structure,Exhibit,Exhibit,Document Structure Intelligence,exhibit,1,63,0.92,optimized_classified,B.EXHIBIT C.CATEGORY 0002 B TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.,2026-06-24 23:11:06
OPLUC-000035,GSTMT-000116,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,1,68,0.94,optimized_classified,ADMINISTERED BY CODE 36C246 See Delivery Schedule Department of Veterans Affairs Network Contracting Office 6 100 Emancipation Dr.,2026-06-24 23:11:06
OPLUC-000036,GSTMT-000120,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,6934753cfbdf45f1b93928b67e93355a_1.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government,2,93,0.95,optimized_classified,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria).",2026-06-24 23:11:06
OPLUC-000037,GSTMT-000123,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,PLU-EXCL-002,Exclusion,Non-Procurement Evaluation,Non-Procurement Evaluation,Exclusion Layer,product information for evaluation,3,123,0.95,optimized_classified,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation.",2026-06-24 23:11:06
OPLUC-000038,GSTMT-000124,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,PLU-SUP-007,Supplier Qualification,Authorized Distributor,Authorized Distributor,Eligibility Intelligence,authorized distributor,1,81,0.95,optimized_classified,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products.",2026-06-24 23:11:06
OPLUC-000039,GSTMT-000125,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,PLU-SUP-007,Supplier Qualification,Authorized Distributor,Authorized Distributor,Eligibility Intelligence,authorized distributor,1,81,0.95,optimized_classified,Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered “grey market”.,2026-06-24 23:11:06
OPLUC-000040,GSTMT-000126,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,73,0.95,optimized_classified,National Cemetery Administration (NCA) Black Hills National Cemetery (BHNC) STATEMENT OF NEED Requirement of Aggregate Materials GENERAL INFORMATION Title of Project:,2026-06-24 23:11:06
OPLUC-000041,GSTMT-000127,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,1,73,0.95,optimized_classified,Aggregate Materials Requirement Black Hills National Cemetery has a requirement for the following materials:,2026-06-24 23:11:06
OPLUC-000042,GSTMT-000128,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,2,73,0.95,optimized_classified,The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).,2026-06-24 23:11:06
OPLUC-000043,GSTMT-000129,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,2,73,0.95,optimized_classified,The transportation/delivery of material to the cemetery will be provided by the vendor and offloaded in a designated location provided by the COR at the time of delivery.,2026-06-24 23:11:06
OPLUC-000044,GSTMT-000132,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_1.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,\bmaterials?\b,2,73,0.95,optimized_classified,The Vendor shall provide the following material upon request by the COR:,2026-06-24 23:11:06
OPLUC-000045,GSTMT-000135,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,PLU-SUP-002,Supplier Qualification,Corporate Experience,Corporate Experience,Supplier Capability Intelligence,comparable in size,1,81,0.95,optimized_classified,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated.",2026-06-24 23:11:06
OPLUC-000046,GSTMT-000138,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_4.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,past performance,3,108,0.95,optimized_classified,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Contact Person and Position",2026-06-24 23:11:06
OPLUC-000047,GSTMT-000144,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_5.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,contracting officer;\bcor\b,1,71,0.95,optimized_classified,"Additionally, should any activity result in the exposure and/or damage to any remains, container for remains (e.g., casket or urn), or outer burial container, the contractor must contact the COR, Director/Assistant Director, or Contracting Officer (CO) for guidance.",2026-06-24 23:11:06
OPLUC-000048,GSTMT-000145,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_5.bin,PLU-ADM-006,Delivery and Administration,Contract Administration,Contract Administration,Contract Administration,\bcor\b,1,68,0.94,optimized_classified,"Any doubts as to proper procedures shall be brought to the attention of the COR, Director/Assistant Director, or",2026-06-24 23:11:06
OPLUC-000049,GSTMT-000147,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,PLU-META-001,Metadata and Structure,Attachment,Attachment,Document Structure Intelligence,attachment,1,63,0.92,optimized_classified,"Black Hills National Cemetery 20901 Pleasant Valley Dr, Sturgis, SD 57785 Attachments:",2026-06-24 23:11:06
OPLUC-000050,GSTMT-000148,441459c8d2a34c49a903966dc6678ca5,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,441459c8d2a34c49a903966dc6678ca5_6.bin,PLU-PROP-002,Proposal,Proposal Volume,Proposal Volume,Proposal Intelligence,past performance,4,108,0.95,optimized_classified,"A - Statement of work B - Cemetery Operational Standards C – Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice.",2026-06-24 23:11:06
OPLUC-000051,GSTMT-000160,3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,3986c6c299c04c119ed7d79cb2b5cef5_1.bin,PLU-COMP-001,Legal and Compliance,FAR Clause,FAR Clause,Compliance Intelligence,\bfar\b,1,75,0.95,optimized_classified,"Food and Drug Administration (FDA) is issuing this Request for Information (RFI) as a means of conducting market research, pursuant to FAR Part 10 Market Research.",2026-06-24 23:11:06
OPLUC-000052,GSTMT-000164,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_1.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price schedule,5,77,0.95,optimized_classified,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Contract Period:,2026-06-24 23:11:06
OPLUC-000053,GSTMT-000166,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_2.bin,PLU-META-003,Metadata and Structure,Section,Section,Document Structure Intelligence,section [a-z0-9],1,63,0.92,optimized_classified,"DATE ISSUED PAGE OF PAGES SOLICITATION, OFFER, AND AWARD X SEALED BID (IFB) 1 73 05/01/2026 (Construction, Alteration, or Repair) 36C78626B0017 NEGOTIATED (RFP) IMPORTANT - The ""offer"" section on the reverse must be fully completed by offeror.",2026-06-24 23:11:06
OPLUC-000054,GSTMT-000170,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_4.bin,PLU-COMP-005,Legal and Compliance,Subcontracting Requirement,Subcontracting Requirement,Subcontracting Intelligence,subcontractor,1,75,0.95,optimized_classified,The subcontractor acknowledges that the following clauses of the contract shown in Item 1 are included in this subcontract:,2026-06-24 23:11:06
OPLUC-000055,GSTMT-000171,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_4.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,\bcertification\b,1,81,0.95,optimized_classified,Contract Work Hours and Safety Standards Act - Overtime Construction Wage Rate Requirements Compensation (If included in prime contract see Block 6) Apprentices and Trainees Payrolls and Basic Records Compliance with Copeland Act Withholding of Funds Requirements Disputes Concerning Labor Standards Subcontracts (Labor Standards) Compliance with Construction Wage Rate Requirements Contract Termination - Debarment and Related Regulations Certification of Eligibility Autho,2026-06-24 23:11:06
OPLUC-000056,GSTMT-000178,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-EXCL-002,Exclusion,Non-Procurement Evaluation,Non-Procurement Evaluation,Exclusion Layer,implementation and evaluation of this program,1,123,0.95,optimized_classified,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.,2026-06-24 23:11:06
OPLUC-000057,GSTMT-000179,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_6.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,equipment,1,73,0.95,optimized_classified,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,2026-06-24 23:11:06
OPLUC-000058,GSTMT-000184,38811fa6a48a41e0979b84f46b44b030,Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation National Shrine Project,38811fa6a48a41e0979b84f46b44b030_10.bin,PLU-TECH-001,Technical,Technical Specification,Technical Specification,Technical Intelligence,specifications,1,73,0.95,optimized_classified,"For this reason, the contractor’s strict adherence to the specifications shall be required and shall be essential.",2026-06-24 23:11:06
