notice_id,opportunity_title,grounded_requirement_count,source_eval_language_count,atom_count,evaluation_atom_count,precise_eval_record_count,accepted_eval_record_count,reclassified_eval_record_count,review_eval_record_count,framework_type,framework_confidence,recovery_applied,recovered_signals,framework_signal_count,coverage_score,coverage_status,gap_reason,sample_eval_language
a466be2cf94e451f8b4b88177dd2f9dc,Secure Document Destruction - No Cost,30,1,5,0,0,0,0,0,,,,,0,20,remaining_extraction_gap,Evaluation language exists but still did not become a usable framework after recovery.,"This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in FAR Subpart 12.6, Streamlined Procedures for Evaluation and Solicitation for Commercial Products and Commercial Services as supplemented with additional information included in this notice."
09ce44adca35468fb46ab77206c9afb7,6515--NetApp,19,0,4,1,1,0,0,1,Unknown,0.25,no,,0,15,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
f29a122869e64fa19982e9655482f397,Hex Jam Nuts,18,0,13,2,1,0,1,0,Unknown,0.25,no,,0,15,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,20,0,4,1,1,0,1,0,Unknown,0.25,no,,0,15,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,29,0,12,1,1,0,0,1,Unknown,0.25,no,,0,15,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,31,0,11,2,1,0,1,0,Unknown,0.25,no,,0,15,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
f33e54c1c9644aa8bb2eb283b82a85ad,31 CES n. 25 military gear lockers.,29,0,2,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,1,0,0,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
6b408e7c185a4f70a8ed51e4fb0b3c2b,7195--Solar Shades - B3 PACT,3,0,0,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
9bca2be24fb64fbe833ab48ae2b41b2a,Atlanta Job Corps Center Caretaker and Security Services,34,0,6,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
3b8ae850899e4ab298f3c2bff29ef889,Notice of Intent to Sole Source- Investigative Services  Houston Police Deparment,4,0,1,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
dedd02b3424a4149b2823ccee9a76082,Patient Ceiling Lift Slings Replacement,4,0,9,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
3986c6c299c04c119ed7d79cb2b5cef5,Request for Information: FDA IT Infrastructure Services,6,0,0,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
3164fcc003e84650b53a7bdb56485b05,"USAG DHR, Fort Bragg ID Card Services",18,0,3,0,0,0,0,0,,,,,0,0,source_gap_or_not_sampled,"No evaluation language found in grounded statements; may be absent, missed, or outside sampled text.",
dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,41,12,27,20,14,11,2,1,LPTA,0.98,yes,Award Basis,11,100,strong_coverage,"Evaluation framework has strong source, extraction, or recovery-backed coverage.",52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.
cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,25,1,6,2,2,1,0,1,Best Value,0.8,yes,Best Value,1,95,strong_coverage,"Evaluation framework has strong source, extraction, or recovery-backed coverage.",“Award will be made to the offeror who represents the best value to the
