residual_id,expression_id,canonical_statement_id,reason,expression_text,source_count,created_at
RDA-000040,PEL-000180,CGS-000180,no_recursive_refinement_match,All contract administration matters will be handled by the following individuals:,1,2026-06-26 16:59:32
RDA-000041,PEL-000184,CGS-000184,no_recursive_refinement_match,"The services to be provided by the contractor under this agreement shall consist of furnishing all necessary parts, labor, transpor",1,2026-06-26 16:59:32
RDA-000042,PEL-000186,CGS-000186,no_recursive_refinement_match,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:",2,2026-06-26 16:59:32
RDA-000043,PEL-000190,CGS-000190,no_recursive_refinement_match,The requirement we are looking for should fit pelican cases (as picture attached).,1,2026-06-26 16:59:32
RDA-000044,PEL-000191,CGS-000191,no_recursive_refinement_match,"Looking at the questions and answers loaded toady, Please also advise that as per the Salient+Characteristics attachment The units will be a minimum 42"" wide, 24"" deep and 78"" tall, are other dimensions also acceptable?",1,2026-06-26 16:59:32
RDA-000045,PEL-000192,CGS-000192,no_recursive_refinement_match,"Our quoting process includes the internals as we will need to include them in the build, the quote will be for a total solution of x lockers, each locker will have hooks, shelves, bar etc as per a shown layout.",1,2026-06-26 16:59:32
RDA-000046,PEL-000193,CGS-000193,no_recursive_refinement_match,The quote was pushed with separate internals of the lockers because the User requested more shelves.,1,2026-06-26 16:59:32
RDA-000047,PEL-000195,CGS-000195,no_recursive_refinement_match,"As far as I can see, you have not included an installation line on the solicitation.",1,2026-06-26 16:59:32
RDA-000048,PEL-000197,CGS-000197,no_recursive_refinement_match,"Yes, the already indicated preferred dimensions are the minimum size required Q 9 :",1,2026-06-26 16:59:32
RDA-000049,PEL-000198,CGS-000198,no_recursive_refinement_match,This requirement is for 25 gear lockers for proper storage of personnel UTC items and pro gear.,1,2026-06-26 16:59:32
RDA-000050,PEL-000200,CGS-000200,no_recursive_refinement_match,"However, if pre-built, the lockers should have the option for adjustable shelving so the locker can better fit the requirement.",1,2026-06-26 16:59:32
RDA-000051,PEL-000201,CGS-000201,no_recursive_refinement_match,SECURITY AGREEMENT FOR PROTECTION OF NAVAL NUCLEAR PROPULSION INFORMATION The undersigned acknowledges that he/she will be provided specifications or documents as part of SPMYM326Q1134/SPMYM326P1134 which are marked as containing sensitive information which is controlled pursuant to federal law.,1,2026-06-26 16:59:32
RDA-000052,PEL-000202,CGS-000202,no_recursive_refinement_match,"These specifications and documents and the information contained therein, shall be used only for the purpose of preparing quotations or processing orders, and shall in no case be transmitted outside the company or to any foreign national within the company.",1,2026-06-26 16:59:32
RDA-000053,PEL-000203,CGS-000203,no_recursive_refinement_match,"While in use, the specifications shall be maintained under surveillance and shall be kept secure, so as to preclude access by any persons who do not have a legitimate need to view them.",1,2026-06-26 16:59:32
RDA-000054,PEL-000204,CGS-000204,no_recursive_refinement_match,"The specifications and documents shall not be copied, and unless otherwise permitted by the Contracting Officer, shall be returned in their entirety to the Portsmouth Naval Shipyard upon completion of the contract.",1,2026-06-26 16:59:32
RDA-000055,PEL-000207,CGS-000207,no_recursive_refinement_match,"As used in this provision, ""covered telecommunications equipment or services"" and ""reasonable inquiry"" have the meaning provided in the clause 52.204-25, Prohibition on Contracting for Certain Telecommunications and Video Surveillance Services or Equipment.",1,2026-06-26 16:59:32
RDA-000056,PEL-000209,CGS-000209,no_recursive_refinement_match,"The Offeror represents that it [__] does, [__] does not provide covered telecommunications equipment or services as a part of its offered products or services to the Government in the performance of any contract, subcontract, or other contractual instrument.",1,2026-06-26 16:59:32
RDA-000057,PEL-000213,CGS-000213,no_recursive_refinement_match,Unrestricted - no set-aside Responses to this notice shall include the following:,1,2026-06-26 16:59:32
RDA-000058,PEL-000216,CGS-000216,no_recursive_refinement_match,"Sealed offers in original and copies for furnishings the supplies or services in the Schedule will be received at the place specified in item 8, or if hand carried, in the depository located in until local time (Hour) (Date) CAUTION - LATE Submissions, Modifications, and Withdrawals:",10,2026-06-26 16:59:32
RDA-000059,PEL-000218,CGS-000218,no_recursive_refinement_match,"Summary of Changes - Amendment 09 - Sections L & M and Attachment 0002 Scorecard Section L - Instructions to Offerors • L.2.3.3 QP Submission Vacancy Rate, Time to Fill Rate, Schedule and Completeness:",2,2026-06-26 16:59:32
RDA-000060,PEL-000222,CGS-000222,no_recursive_refinement_match,Appendix A Portal Instructions for Submission of MAPS Proposals Amendment 03 - 22 April 2026 Registration Instructions:,2,2026-06-26 16:59:32
RDA-000061,PEL-000224,CGS-000224,no_recursive_refinement_match,IF NEEDED OFFERORS CAN HAVE ONE (1) ALTERNATE PERSON REGISTER IN THE CASE OF AN EMERGENCY.*** In order to submit a proposal for the MAPS acquisition all Offerors shall register through the following link to create their profiles.,1,2026-06-26 16:59:32
RDA-000062,PEL-000225,CGS-000225,no_recursive_refinement_match,"https://chess.army.mil/proposal/default/index Once you are on the portal home page, in the top right corner there is an icon of a person.",1,2026-06-26 16:59:32
RDA-000063,PEL-000226,CGS-000226,no_recursive_refinement_match,"Once you click register you will be brought to a new page, following the instructions on the page enter all required information.",1,2026-06-26 16:59:32
RDA-000064,PEL-000228,CGS-000228,no_recursive_refinement_match,In order to access the portal submission page after registration Offerors shall use the same link as above:,1,2026-06-26 16:59:32
RDA-000065,PEL-000230,CGS-000230,no_recursive_refinement_match,"Once you have created your profile, you will now have access to the submission page (please use the following link to access the submission page https://chess.army.mil/proposal/default/index).",1,2026-06-26 16:59:32
RDA-000066,PEL-000233,CGS-000233,no_recursive_refinement_match,LARGE BUSINESS Management and Advisory Services YES SMALL BUSINESS Domain NO COMMERCIAL-SECTOR VENDOR Select your Business Size for this Domain:,1,2026-06-26 16:59:32
RDA-000067,PEL-000236,CGS-000236,no_recursive_refinement_match,"The enterprise must meet the definition of ""Indian Economic Enterprise"" throughout the following time periods:",1,2026-06-26 16:59:32
RDA-000068,PEL-000237,CGS-000237,no_recursive_refinement_match,"At any point during these periods, if the Contractor no longer meets the eligibility requirements, the contractor must provide immediate written notification to the Contracting Officer.",1,2026-06-26 16:59:32
RDA-000069,PEL-000245,CGS-000245,no_recursive_refinement_match,This performance work statement describes the requirements for non-personal services for a(n) EMERGENCY PHYSICIAN) to support the mission of the Indian Health Service (IHS).,1,2026-06-26 16:59:32
RDA-000070,PEL-000246,CGS-000246,no_recursive_refinement_match,Department of Health and Human Services and is responsible for providing federal health services to American Indians and Alaska Natives.,1,2026-06-26 16:59:32
RDA-000071,PEL-000248,CGS-000248,no_recursive_refinement_match,The IHS currently provides health services to approximately 1.5 million American In,1,2026-06-26 16:59:32
RDA-000072,PEL-000249,CGS-000249,no_recursive_refinement_match,Quotes are being requested and a separate written solicitation will not be issued.,1,2026-06-26 16:59:32
RDA-000073,PEL-000252,CGS-000252,no_recursive_refinement_match,"The period of performance for this requirement will be set up with a base period of 12 continuous months, followed by 2 additional option periods of 12 months each, for a potential total of 36 months of service.",1,2026-06-26 16:59:32
RDA-000074,PEL-000254,CGS-000254,no_recursive_refinement_match,Safety Management Plan ADD YOUR COMPANY NAME AND DATA Project:__ ADD THE NAME OF YOUR PROJECT HERE Location:___ ADD THE PROJECT LOCATION HERE Date:,1,2026-06-26 16:59:32
RDA-000075,PEL-000257,CGS-000257,no_recursive_refinement_match,"The responsibilities and other issues declared in this document will be applied to all the stages of the project, extra or different requirements will be established directly by the Project Manager and/or the POSHO when needed.",1,2026-06-26 16:59:32
RDA-000076,PEL-000259,CGS-000259,no_recursive_refinement_match,The contractor will follow the more restrictive standard between the Safety and Health Requirements Manual established by the US Army Corps of Engineers (http://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_385-1-1.pdf) or the Mexican laws on industrial safety as established by the Ministry of Labor as follows:,1,2026-06-26 16:59:32
RDA-000077,PEL-000260,CGS-000260,no_recursive_refinement_match,General Safety Requirements The contractor must demonstrate understanding of his/her responsibilities related to the safety requirements by addressing hazards in preplanning processes and meetings.,1,2026-06-26 16:59:32
RDA-000078,PEL-000262,CGS-000262,no_recursive_refinement_match,"The asset inventory in Attachment B lists only bi-folding gates, control panels, and gate backup UPS units.",1,2026-06-26 16:59:32
RDA-000079,PEL-000266,CGS-000266,no_recursive_refinement_match,"Is the contractor expected to purchase new software licenses within the fixed-price base rate, or will the Embassy provide existing proprietary software tools to our technicians on-site?",1,2026-06-26 16:59:32
RDA-000080,PEL-000268,CGS-000268,no_recursive_refinement_match,Embassy in Mexico City requires preventive maintenance services for the Anti-Climb bi-folding gates.,1,2026-06-26 16:59:32
RDA-000081,PEL-000271,CGS-000271,no_recursive_refinement_match,19MX5326Q0043 for Anti-Climb bi-folding gates maintenance The Embassy of the United States of America invites you to submit a quote Anti-Climb bi-folding gates maintenance to be performed at the U.S.,1,2026-06-26 16:59:32
RDA-000082,PEL-000272,CGS-000272,no_recursive_refinement_match,"Your quote must be submitted to the address shown on paragraph 3.3.2.2 - Submission Date and Address under Section 3 of the solicitation document on or before 12:00 hours (noon), Mexico City's local time on Friday, June 19, 2026.",1,2026-06-26 16:59:32
RDA-000083,PEL-000274,CGS-000274,no_recursive_refinement_match,"In order for a quote to be considered, you must also complete and submit the following:",1,2026-06-26 16:59:32
RDA-000084,PEL-000276,CGS-000276,no_recursive_refinement_match,o Base Year pricing (CLINs 001-002) o Option Year 1 pricing (CLINs 101-102) II o Option Year 2 pricing (CLINs 201-202) o Repair labor rates (Section 1.7.1)  Currency clearly identified per Section 1.4  Value Added Tax (VAT) calculated separately if applicable per Section 1.5 The Embassy intends to conduct a site,1,2026-06-26 16:59:32
RDA-000085,PEL-000282,CGS-000282,no_recursive_refinement_match,The government requires material specified and the government will be installing the canopy.,1,2026-06-26 16:59:32
RDA-000086,PEL-000284,CGS-000284,no_recursive_refinement_match,"In Section 1, the requirement states 2 shades of 20' x 25' each (overall 40' x 25'), while Section 9C refers to a 40' x 40' shade.",1,2026-06-26 16:59:32
RDA-000087,PEL-000285,CGS-000285,no_recursive_refinement_match,"2 - 20'x25' or 1 - 40'x25' • Additionally, please let us know whether the specifications are flexible or if they are strict, non-negotiable requirements.",1,2026-06-26 16:59:32
RDA-000088,PEL-000288,CGS-000288,no_recursive_refinement_match,Can the government provide the official engineering or architectural drawings/schematics for these structures?,1,2026-06-26 16:59:32
RDA-000089,PEL-000289,CGS-000289,no_recursive_refinement_match,"Can you clarify if the government requires a poured-in-place concrete footing below grade for surface mounting, or if a direct-bury method is anticipated?",1,2026-06-26 16:59:32
RDA-000090,PEL-000290,CGS-000290,no_recursive_refinement_match,"If concrete footings are required, please provide the minimum depth and PSI requirements.",1,2026-06-26 16:59:32
RDA-000091,PEL-000291,CGS-000291,no_recursive_refinement_match,The government requires everything specified and the government will be installing the canopy.,1,2026-06-26 16:59:32
RDA-000092,PEL-000292,CGS-000292,no_recursive_refinement_match,"All structural shapes shall be cold formed hss astm a500 grade c, unless otherwise noted, typical mechanical properties for hss products:",1,2026-06-26 16:59:32
RDA-000093,PEL-000294,CGS-000294,no_recursive_refinement_match,All steel tubing shall be triple coated for rust protection using the in-line electroplating Coat process.,1,2026-06-26 16:59:32
RDA-000094,PEL-000295,CGS-000295,no_recursive_refinement_match,Tubing shall be internally coated with zinc and organic coatings to prevent corrosion As manufactured by allied tube & conduit.,1,2026-06-26 16:59:32
RDA-000095,PEL-000296,CGS-000296,no_recursive_refinement_match,"Structural steel shall be detailed, fabricated and erected in accordance with a.i.s.c.",1,2026-06-26 16:59:32
RDA-000096,PEL-000297,CGS-000297,no_recursive_refinement_match,"This is a combined synopsis/solicitation for Shade Structure Canopy in accordance with the format in FAR 12.6, as supplemented with additional information included in this notice.",1,2026-06-26 16:59:32
RDA-000097,PEL-000298,CGS-000298,no_recursive_refinement_match,"The 164th Airlift Wing located at 4593 Swinnea Memphis, TN 38118, is issuing a combined synopsis/solicitation for a single award contract to be prepared in accordance with the format in FAR 12.6, as supplemented with additional information included in this notice.",1,2026-06-26 16:59:32
RDA-000098,PEL-000299,CGS-000299,no_recursive_refinement_match,"The North American Industry Classification System (NAICS) Code for this requirement is 314910 Textile Bag and Canvas Mills, with a Small Business size standard of 500 employees.",1,2026-06-26 16:59:32
RDA-000099,PEL-000303,CGS-000303,no_recursive_refinement_match,"Meaning, the goal of this solicitation is to find a small business to meet the requirements of the 164th Airlift Wing.",1,2026-06-26 16:59:32
RDA-000100,PEL-000307,CGS-000307,no_recursive_refinement_match,"Statements or comments provided in the questionnaire do not signify an express or implied endorsement of any product, supply, service, or enterprise.",1,2026-06-26 16:59:32
RDA-000101,PEL-000308,CGS-000308,no_recursive_refinement_match,"This information shall not be construed as an endorsement by the Government or its employee(s) of the contractor for advertising purposes or in a manner that implies the contractor, its products, or services, are approved, endorsed, or considered by the Government to be superior to other products or services.",1,2026-06-26 16:59:32
RDA-000102,PEL-000311,CGS-000311,no_recursive_refinement_match,"ISSUED BY CODE PNN 7.ADMINISTERED BY (If other than Item 6)CODE NPS, NER - NE MABO Boston National Historical Park Charlestown Navy Yard Building I-1 Boston MA 02129-4543 8.",1,2026-06-26 16:59:32
RDA-000103,PEL-000316,CGS-000316,no_recursive_refinement_match,(Include area code) (NO COLLECT CALLS) INFORMATION CALL Samuel McKenzie 0000000000 SOLICITATION NOTE:,1,2026-06-26 16:59:32
RDA-000104,PEL-000318,CGS-000318,no_recursive_refinement_match,Detailed Specifications and Drawings and are provided with final solicitation documents.,1,2026-06-26 16:59:32
RDA-000105,PEL-000319,CGS-000319,no_recursive_refinement_match,This requirement is being solicited as a Service-Disabled Veteran-Owned Small Business,1,2026-06-26 16:59:32
RDA-000106,PEL-000321,CGS-000321,no_recursive_refinement_match,"Please provide any available testing data, commissioning reports, or historical maintenance records for the existing geothermal well field.",1,2026-06-26 16:59:32
RDA-000107,PEL-000322,CGS-000322,no_recursive_refinement_match,MBH THOUSAND BRITISH THERMAL ROUND RETURN OR AAV AUTOMATIC AIR VENT UNITS PER HOUR ROUND SUPPLY EXHAUST BALL VALVE AC AIR CONDITIONING MCA MINIMUM CIRCUIT AMPS 2.,1,2026-06-26 16:59:32
RDA-000108,PEL-000326,CGS-000326,no_recursive_refinement_match,ORNL is reques*ng a quote for the same or domes*c equivalent of an EcoStruxure Panel Server Advanced (EnerlinX Series).,1,2026-06-26 16:59:32
RDA-000109,PEL-000334,CGS-000334,no_recursive_refinement_match,"In the event of a conflict between the version or date of a clause set forth in this document and the version or date of a clause set forth in the identified Terms and Condition, the version or date of the clauses set forth in this document shall take precedence.",2,2026-06-26 16:59:32
RDA-000110,PEL-000335,CGS-000335,no_recursive_refinement_match,"This document includes clauses that flow-down ORNL's mandatory US Government regulatory and customer obligations as defined in its contract with DOE to manage and operate Oak Ridge National Laboratory, Contract No.",2,2026-06-26 16:59:32
RDA-000111,PEL-000336,CGS-000336,no_recursive_refinement_match,"To the extent that any clause included in this document is inapplicable to the performance of this contract, the parties shall consider such clauses to be self-deleting and shall not impose any obligations upon the Seller.",2,2026-06-26 16:59:32
RDA-000112,PEL-000339,CGS-000339,no_recursive_refinement_match,"DEFINITIONS Unless otherwise indicated, the following terms shall have the meanings below:",2,2026-06-26 16:59:32
RDA-000113,PEL-000341,CGS-000341,no_recursive_refinement_match,"(d) Agreement means Purchase Order, Subcontract, Price Agreement or any supplement and/or modification thereof.",2,2026-06-26 16:59:32
RDA-000114,PEL-000342,CGS-000342,no_recursive_refinement_match,"RESOLUTION OF DISPUTES The parties agree that substantive issues presented for mediation, arbitration, dispute, claim, litigation, or other effort at resolution shall be determined in accordance with Federal law.",2,2026-06-26 16:59:32
RDA-000115,PEL-000345,CGS-000345,no_recursive_refinement_match,2.1 ORDER OF PRECEDENCE Any inconsistencies between sections of the Agreement shall be resolved in accor,2,2026-06-26 16:59:32
RDA-000116,PEL-000346,CGS-000346,no_recursive_refinement_match,Tony Benson tony.d.benson.civ@us.navy.mil ONLY THE FOLLOWING LIST OF CONTRACTORS MAY SUBMIT A PROPOSAL FOR THIS PROJECT:,1,2026-06-26 16:59:32
RDA-000117,PEL-000349,CGS-000349,no_recursive_refinement_match,"Report Cover Page AE Design Repair G702 and HP135 Geotechnical Engineering Report MCAS New River & MCB Camp Lejeune, North Carolina November 25, 2025",1,2026-06-26 16:59:32
RDA-000118,PEL-000350,CGS-000350,no_recursive_refinement_match,"317-C Pollock Street New Bern, North Carolina 25860 Geotechnical Engineering Report AE Design Repair G702 and HP135",1,2026-06-26 16:59:32
RDA-000119,PEL-000351,CGS-000351,no_recursive_refinement_match,"25-0011 BASIS OF DESIGN Final Submittal UNCLASSIFIED//FOR OFFICIAL USE ONLY Repairs BEQ HP135 MBF Architects, P.A.",1,2026-06-26 16:59:32
RDA-000120,PEL-000352,CGS-000352,no_recursive_refinement_match,ACI 318-19 Building Code Requirements for Structural Concrete ACI 360R-10 Guide to Design of Slabs-on-Ground ADA/ABA Americans with Disabilities Act (ADA) and Architectural Barrier Act (ABA) Accessibility Guidelines ASCE 7-22 Minimum Design Loads for Buildings and Other Structures ASHRAE 55 - 2023 - Thermal Environmental Conditions for Human Occupancy ASHRAE 62.1 - 2019 - Ventilation for Acceptable Indoor Ai,1,2026-06-26 16:59:32
RDA-000121,PEL-000355,CGS-000355,no_recursive_refinement_match,FLOOR TILE MASTIC LIGHT FIXTURE HEAT SHIELDS ROOFING SEALANTS FEB06 MATRIX ACM IDENTIFIED INCLUDES:,1,2026-06-26 16:59:32
RDA-000122,PEL-000359,CGS-000359,no_recursive_refinement_match,FC 1-300-09N Navy & Marine Corps Design Requirements UFC 1-200-01 DoD Building Code UFC 3-120-01 Design:,1,2026-06-26 16:59:32
RDA-000123,PEL-000360,CGS-000360,no_recursive_refinement_match,Sign Standards UFC 3-120-10 Interior Design UFC 3-190-06 Protective Coatings and Paints INTERIOR BASIS OF DESIGN This Basis of Design Narrative outlines the proposed Structural Interior Design requirements for Repairs to BEQ H,1,2026-06-26 16:59:32
RDA-000124,PEL-000361,CGS-000361,no_recursive_refinement_match,30 JUNE 2004 APPENDIX D BUILDING INFORMATION CHECKLIST Use Appendix D as a checklist of required information to be entered into the real property database.,1,2026-06-26 16:59:32
RDA-000125,PEL-000362,CGS-000362,no_recursive_refinement_match,Provide this information for each Real Property Facility listed on the DD Form 1354 in a format that allows easy data entry into the real property system.,1,2026-06-26 16:59:32
RDA-000126,PEL-000363,CGS-000363,no_recursive_refinement_match,"Normally this information is provided by the A/E electronically, often in XML format or GIS compatible format.",1,2026-06-26 16:59:32
RDA-000127,PEL-000366,CGS-000366,no_recursive_refinement_match,"08/20 SMALL PROJECT CONSTRUCTION PROGRESS SCHEDULES 01 33 00 04/22 SUBMITTAL PROCEDURES SUBMITTAL REGISTER 01 33 29 02/21 SUSTAINABILITY REQUIREMENTS AND REPORTING 01 35 26 11/20, CHG 3:",1,2026-06-26 16:59:32
RDA-000128,PEL-000367,CGS-000367,no_recursive_refinement_match,02/22 GOVERNMENTAL SAFETY REQUIREMENTS 01 42 00 02/19 SOURCES FOR REFERENCE PUBLICATIONS 01 45 00 08/23 QUALITY CONTROL SCHEDULE OF FIRE PROTECTION SYSTEM INSPECTIONS 01 50 00 12/21 TEMPORARY CO,1,2026-06-26 16:59:32
RDA-000129,PEL-000368,CGS-000368,no_recursive_refinement_match,"ECS Southeast, LLC (ECS) is pleased to provide MBF Architects PA with the results of the above referenced Asbestos and Lead-Paint Survey performed for the Repair BEQ HP135 project located at Marine Corps Base Camp Lejeune in Jacksonville, North Carolina.",1,2026-06-26 16:59:32
RDA-000130,PEL-000369,CGS-000369,no_recursive_refinement_match,"This report summarizes our observations, analytical results, findings, and recommendations related to the work performed.",1,2026-06-26 16:59:32
RDA-000131,PEL-000370,CGS-000370,no_recursive_refinement_match,The workdescribedinthisreportwasperformedbyECSingeneralaccordancewiththeScopeofServices described in ECS Proposal Number 49:50782P and the terms and conditions of the agreement authorizing those services.,2,2026-06-26 16:59:32
RDA-000132,PEL-000371,CGS-000371,no_recursive_refinement_match,ECS appreciates this opportunity to provide MBF Architects PA with our services.,1,2026-06-26 16:59:32
