semantic_rule_id,semantic_object_type,canonical_name,domain_name,intent,patterns,base_confidence,status,created_at
SRL-000026,Acquisition Metadata,Invitation for Bid,Acquisition Strategy,Solicitation Method,invitation for bid,0.9,active,2026-06-28 17:16:16
SRL-000027,Acquisition Metadata,Combined Synopsis Solicitation,Acquisition Strategy,Solicitation Method,combined synopsis solicitation;synopsis solicitation,0.86,active,2026-06-28 17:16:16
SRL-000028,Supplier Qualification,System for Award Management,Supplier Eligibility and Qualifications,Supplier Registration,system for award management;sam registration,0.9,active,2026-06-28 17:16:16
SRL-000029,Supplier Qualification,Unique Entity ID,Supplier Eligibility and Qualifications,Supplier Registration,unique entity id;uei,0.9,active,2026-06-28 17:16:16
SRL-000030,Supplier Qualification,CAGE Code,Supplier Eligibility and Qualifications,Supplier Registration,cage code,0.9,active,2026-06-28 17:16:16
SRL-000031,Supplier Qualification,Authorized Distributor,Supplier Eligibility and Qualifications,Supplier Authorization,authorized distributor,0.9,active,2026-06-28 17:16:16
SRL-000032,Supplier Qualification,Manufacturer Authorization,Supplier Eligibility and Qualifications,Supplier Authorization,manufacturer authorization;oem authorization,0.88,active,2026-06-28 17:16:16
SRL-000033,Compliance Requirement,Davis-Bacon Labor Compliance,"Legal, Compliance, and Labor",Labor Compliance,davis-bacon;davis-bacon labor compliance,0.92,active,2026-06-28 17:16:16
SRL-000034,Compliance Requirement,Certified Payroll,"Legal, Compliance, and Labor",Labor Compliance,certified payroll,0.9,active,2026-06-28 17:16:16
SRL-000035,Compliance Requirement,Protected Health Information,"Legal, Compliance, and Labor",Privacy Compliance,protected health information,0.9,active,2026-06-28 17:16:16
SRL-000036,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,Document Structure,table of contents,0.82,active,2026-06-28 17:16:16
SRL-000037,Document Structure Object,SF-1449,Document Structure and Administrative Forms,Administrative Form,sf 1449;sf-1449,0.86,active,2026-06-28 17:16:16
SRL-000038,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,national cemetery operations;national cemetery;cemetery operations,0.86,active,2026-06-28 17:16:16
SRL-000039,Domain Specific Requirement,National Cemetery Administration,Domain-Specific Operations,Domain Metadata,national cemetery administration,0.82,active,2026-06-28 17:16:16
SRL-000040,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,Socioeconomic Eligibility,small business set-aside;small business set aside,0.86,active,2026-06-28 17:16:16
