interpretation_log_id,semantic_object_id,source_type,source_id,source_text,interpreted_object_type,canonical_name,domain_name,intent,confidence,matched_patterns,official_registry_id,alignment_decision,created_at
SIL-000040,SPO-000033,filtered_pattern,SP-000092,contracting officer,Procurement Role,Contracting Officer,Acquisition Strategy,Procurement Role,0.78,contracting officer,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000041,SPO-000034,filtered_pattern,SP-000096,administered by if,Uninterpreted Pattern,administered by if,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000042,SPO-000035,filtered_pattern,SP-000100,administered by if other,Uninterpreted Pattern,administered by if other,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000043,SPO-000036,filtered_pattern,SP-000101,by if other than,Uninterpreted Pattern,by if other than,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000044,SPO-000037,filtered_pattern,SP-000102,if other than item,Uninterpreted Pattern,if other than item,,Needs Semantic Interpretation Review,0.3,,OPR-000007,new_concept_candidate,2026-06-27 22:40:30
SIL-000045,SPO-000020,filtered_pattern,SP-000109,a firm fixed price,Contract Type,Firm Fixed Price,Commercial and Pricing,Contract Type,0.94,\bfirm fixed price\b;\bfirm fixed\b;\bfixed price\b,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000046,SPO-000038,filtered_pattern,SP-000111,synopsis solicitation,Uninterpreted Pattern,synopsis solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000047,SPO-000039,filtered_pattern,SP-000115,1 qty 1 ton,Uninterpreted Pattern,1 qty 1 ton,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000048,SPO-000040,filtered_pattern,SP-000116,qty 1 ton each,Uninterpreted Pattern,qty 1 ton each,,Needs Semantic Interpretation Review,0.3,,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000049,SPO-000041,filtered_pattern,SP-000118,solicitation for,Uninterpreted Pattern,solicitation for,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000050,SPO-000042,filtered_pattern,SP-000122,the same,Uninterpreted Pattern,the same,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000051,SPO-000043,filtered_pattern,SP-000123,for proposal,Uninterpreted Pattern,for proposal,,Needs Semantic Interpretation Review,0.3,,OPR-000010,weak_alignment_review,2026-06-27 22:40:30
SIL-000052,SPO-000044,filtered_pattern,SP-000127,table of contents,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,Document Structure,0.78,table of contents,OPR-000012,new_concept_candidate,2026-06-27 22:40:30
SIL-000053,SPO-000045,filtered_pattern,SP-000151,fringe benefits required follow,Uninterpreted Pattern,fringe benefits required follow,,Needs Semantic Interpretation Review,0.3,,OPR-000015,new_concept_candidate,2026-06-27 22:40:30
SIL-000054,SPO-000046,filtered_pattern,SP-000152,benefits required follow the,Uninterpreted Pattern,benefits required follow the,,Needs Semantic Interpretation Review,0.3,,OPR-000015,new_concept_candidate,2026-06-27 22:40:30
SIL-000055,SPO-000047,filtered_pattern,SP-000153,required follow the occupational,Uninterpreted Pattern,required follow the occupational,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000056,SPO-000048,filtered_pattern,SP-000154,follow the occupational listing,Uninterpreted Pattern,follow the occupational listing,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000057,SPO-000049,filtered_pattern,SP-000155,the occupational listing occupation,Uninterpreted Pattern,the occupational listing occupation,,Needs Semantic Interpretation Review,0.3,,OPR-000021,new_concept_candidate,2026-06-27 22:40:30
SIL-000058,SPO-000050,filtered_pattern,SP-000156,occupational listing occupation code,Uninterpreted Pattern,occupational listing occupation code,,Needs Semantic Interpretation Review,0.3,,OPR-000013,new_concept_candidate,2026-06-27 22:40:30
SIL-000059,SPO-000051,filtered_pattern,SP-000157,listing occupation code title,Uninterpreted Pattern,listing occupation code title,,Needs Semantic Interpretation Review,0.3,,OPR-000021,new_concept_candidate,2026-06-27 22:40:30
SIL-000060,SPO-000052,filtered_pattern,SP-000158,occupation code title footnote,Uninterpreted Pattern,occupation code title footnote,,Needs Semantic Interpretation Review,0.3,,OPR-000021,new_concept_candidate,2026-06-27 22:40:30
SIL-000061,SPO-000053,filtered_pattern,SP-000159,code title footnote rate,Uninterpreted Pattern,code title footnote rate,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000062,SPO-000054,filtered_pattern,SP-000160,title footnote rate 01000,Uninterpreted Pattern,title footnote rate 01000,,Needs Semantic Interpretation Review,0.3,,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000063,SPO-000055,filtered_pattern,SP-000163,for quote,Uninterpreted Pattern,for quote,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000064,SPO-000044,filtered_pattern,SP-000164,administered by code,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,Document Structure,0.78,administered by code,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000065,SPO-000056,filtered_pattern,SP-000165,solicitation is,Uninterpreted Pattern,solicitation is,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000066,SPO-000057,filtered_pattern,SP-000176,performance work statement,Technical Requirement,Performance Work Statement,Technical Requirements,Technical Requirement,0.86,performance work statement;work statement,OPR-000008,weak_alignment_review,2026-06-27 22:40:30
SIL-000067,SPO-000058,filtered_pattern,SP-000181,this solicitation,Uninterpreted Pattern,this solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000068,SPO-000059,filtered_pattern,SP-000183,to award,Uninterpreted Pattern,to award,,Needs Semantic Interpretation Review,0.3,,OPR-000002,new_concept_candidate,2026-06-27 22:40:30
SIL-000069,SPO-000060,filtered_pattern,SP-000186,for award,Uninterpreted Pattern,for award,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000070,SPO-000019,filtered_pattern,SP-000198,combined synopsis solicitation,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,combined synopsis solicitation,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000071,SPO-000061,filtered_pattern,SP-000221,marine corps,Uninterpreted Pattern,marine corps,,Needs Semantic Interpretation Review,0.3,,OPR-000004,new_concept_candidate,2026-06-27 22:40:30
SIL-000072,SPO-000062,filtered_pattern,SP-000222,01000 administrative,Uninterpreted Pattern,01000 administrative,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000073,SPO-000063,filtered_pattern,SP-000223,administrative support,Uninterpreted Pattern,administrative support,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000074,SPO-000064,filtered_pattern,SP-000231,01020 administrative,Uninterpreted Pattern,01020 administrative,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000075,SPO-000065,filtered_pattern,SP-000232,administrative assistant,Uninterpreted Pattern,administrative assistant,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000076,SPO-000066,filtered_pattern,SP-000251,rate 01000 administrative,Uninterpreted Pattern,rate 01000 administrative,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000077,SPO-000067,filtered_pattern,SP-000252,01000 administrative support,Uninterpreted Pattern,01000 administrative support,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000078,SPO-000068,filtered_pattern,SP-000253,administrative support and,Uninterpreted Pattern,administrative support and,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000079,SPO-000069,filtered_pattern,SP-000264,01020 administrative assistant,Uninterpreted Pattern,01020 administrative assistant,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000080,SPO-000070,filtered_pattern,SP-000280,footnote rate 01000 administrative,Uninterpreted Pattern,footnote rate 01000 administrative,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000081,SPO-000071,filtered_pattern,SP-000281,rate 01000 administrative support,Uninterpreted Pattern,rate 01000 administrative support,,Needs Semantic Interpretation Review,0.3,,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000082,SPO-000072,filtered_pattern,SP-000282,01000 administrative support and,Uninterpreted Pattern,01000 administrative support and,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000083,SPO-000073,filtered_pattern,SP-000283,administrative support and clerical,Uninterpreted Pattern,administrative support and clerical,,Needs Semantic Interpretation Review,0.3,,OPR-000002,new_concept_candidate,2026-06-27 22:40:30
SIL-000084,SPO-000074,filtered_pattern,SP-000303,proposal volume,Proposal Structure,Proposal Volume,Submission and Proposal Management,Proposal Structure,0.78,proposal volume,OPR-000019,specialization_candidate,2026-06-27 22:40:30
SIL-000085,SPO-000075,filtered_pattern,SP-000306,in the solicitation,Uninterpreted Pattern,in the solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000086,SPO-000076,filtered_pattern,SP-000324,applies to amendments,Uninterpreted Pattern,applies to amendments,,Needs Semantic Interpretation Review,0.3,,OPR-000002,new_concept_candidate,2026-06-27 22:40:30
SIL-000087,SPO-000077,filtered_pattern,SP-000325,to amendments of,Uninterpreted Pattern,to amendments of,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000088,SPO-000078,filtered_pattern,SP-000326,amendments of solicitations,Uninterpreted Pattern,amendments of solicitations,,Needs Semantic Interpretation Review,0.3,,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000089,SPO-000079,filtered_pattern,SP-000328,above numbered solicitation,Uninterpreted Pattern,above numbered solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000090,SPO-000080,filtered_pattern,SP-000329,numbered solicitation is,Uninterpreted Pattern,numbered solicitation is,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000091,SPO-000008,filtered_pattern,SP-000330,solicitation is amended,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,solicitation is amended,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000092,SPO-000081,filtered_pattern,SP-000337,only applies to amendments,Uninterpreted Pattern,only applies to amendments,,Needs Semantic Interpretation Review,0.3,,OPR-000022,new_concept_candidate,2026-06-27 22:40:30
SIL-000093,SPO-000082,filtered_pattern,SP-000338,applies to amendments of,Uninterpreted Pattern,applies to amendments of,,Needs Semantic Interpretation Review,0.3,,OPR-000022,new_concept_candidate,2026-06-27 22:40:30
SIL-000094,SPO-000083,filtered_pattern,SP-000339,to amendments of solicitations,Uninterpreted Pattern,to amendments of solicitations,,Needs Semantic Interpretation Review,0.3,,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000095,SPO-000084,filtered_pattern,SP-000340,the above numbered solicitation,Uninterpreted Pattern,the above numbered solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000096,SPO-000085,filtered_pattern,SP-000341,above numbered solicitation is,Uninterpreted Pattern,above numbered solicitation is,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000097,SPO-000008,filtered_pattern,SP-000342,numbered solicitation is amended,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,solicitation is amended,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000098,SPO-000008,filtered_pattern,SP-000343,solicitation is amended as,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,solicitation is amended,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000099,SPO-000086,filtered_pattern,SP-000350,of this amendment,Uninterpreted Pattern,of this amendment,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000100,SPO-000087,filtered_pattern,SP-000357,to the solicitation,Uninterpreted Pattern,to the solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000101,SPO-000088,filtered_pattern,SP-000379,to award a,Uninterpreted Pattern,to award a,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000102,SPO-000089,filtered_pattern,SP-000383,award a contract,Uninterpreted Pattern,award a contract,,Needs Semantic Interpretation Review,0.3,,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000103,SPO-000001,filtered_pattern,SP-000392,hills national cemetery,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000104,SPO-000001,filtered_pattern,SP-000393,black hills national cemetery,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000105,SPO-000001,filtered_pattern,SP-000406,affairs national cemetery,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000006,new_concept_candidate,2026-06-27 22:40:30
SIL-000106,SPO-000001,filtered_pattern,SP-000410,veterans affairs national cemetery,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000107,SPO-000001,filtered_pattern,SP-000411,affairs national cemetery administration,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,Domain Requirement,0.86,national cemetery;cemetery,OPR-000005,weak_alignment_review,2026-06-27 22:40:30
SIL-000108,SPO-000090,filtered_pattern,SP-000420,synopsis solicitation for,Uninterpreted Pattern,synopsis solicitation for,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000109,SPO-000019,filtered_pattern,SP-000428,a combined synopsis solicitation,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,combined synopsis solicitation,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000110,SPO-000019,filtered_pattern,SP-000429,combined synopsis solicitation for,Acquisition Metadata,Solicitation Metadata,Acquisition Strategy,Acquisition Metadata,0.78,combined synopsis solicitation,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000111,SPO-000091,filtered_pattern,SP-000430,accordance with the format,Uninterpreted Pattern,accordance with the format,,Needs Semantic Interpretation Review,0.3,,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000112,SPO-000092,filtered_pattern,SP-000442,request for information,Uninterpreted Pattern,request for information,,Needs Semantic Interpretation Review,0.3,,OPR-000008,new_concept_candidate,2026-06-27 22:40:30
SIL-000113,SPO-000093,filtered_pattern,SP-000499,payment registration,Pricing Structure,Payment and Invoice,Commercial and Pricing,Payment Administration,0.78,payment,OPR-000010,weak_alignment_review,2026-06-27 22:40:30
SIL-000114,SPO-000094,filtered_pattern,SP-000505,far and dosar,Uninterpreted Pattern,far and dosar,,Needs Semantic Interpretation Review,0.3,,OPR-000007,new_concept_candidate,2026-06-27 22:40:30
SIL-000115,SPO-000095,filtered_pattern,SP-000513,quote for the,Uninterpreted Pattern,quote for the,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000116,SPO-000096,filtered_pattern,SP-000520,marine corps base,Uninterpreted Pattern,marine corps base,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000117,SPO-000097,filtered_pattern,SP-000521,corps base camp,Uninterpreted Pattern,corps base camp,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000118,SPO-000098,filtered_pattern,SP-000525,marine corps base camp,Uninterpreted Pattern,marine corps base camp,,Needs Semantic Interpretation Review,0.3,,OPR-000011,new_concept_candidate,2026-06-27 22:40:30
SIL-000119,SPO-000099,filtered_pattern,SP-000526,corps base camp lejeune,Uninterpreted Pattern,corps base camp lejeune,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000120,SPO-000100,filtered_pattern,SP-000561,method of solicitation,Uninterpreted Pattern,method of solicitation,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
SIL-000121,SPO-000101,filtered_pattern,SP-000600,copies of the amendment,Uninterpreted Pattern,copies of the amendment,,Needs Semantic Interpretation Review,0.3,,OPR-000022,new_concept_candidate,2026-06-27 22:40:30
SIL-000122,SPO-000033,filtered_pattern,SP-000610,the contracting officer,Procurement Role,Contracting Officer,Acquisition Strategy,Procurement Role,0.78,contracting officer,OPR-000005,new_concept_candidate,2026-06-27 22:40:30
SIL-000123,SPO-000044,filtered_pattern,SP-000619,page of pages amendment,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,Document Structure,0.78,page of pages,OPR-000022,new_concept_candidate,2026-06-27 22:40:30
SIL-000124,SPO-000102,filtered_pattern,SP-000620,of pages amendment of,Uninterpreted Pattern,of pages amendment of,,Needs Semantic Interpretation Review,0.3,,OPR-000003,new_concept_candidate,2026-06-27 22:40:30
SIL-000125,SPO-000008,filtered_pattern,SP-000621,pages amendment of solicitation,Submission Instruction,Solicitation Amendment Acknowledgement,Submission and Proposal Management,Submission Compliance,0.78,amendment of solicitation,OPR-000009,new_concept_candidate,2026-06-27 22:40:30
SIL-000126,SPO-000057,filtered_pattern,SP-000630,performance work statement pws,Technical Requirement,Performance Work Statement,Technical Requirements,Technical Requirement,0.94,performance work statement;\bpws\b;work statement,OPR-000008,weak_alignment_review,2026-06-27 22:40:30
SIL-000127,SPO-000020,filtered_pattern,SP-000660,award a firm fixed,Contract Type,Firm Fixed Price,Commercial and Pricing,Contract Type,0.78,\bfirm fixed\b,OPR-000012,new_concept_candidate,2026-06-27 22:40:30
SIL-000128,SPO-000103,filtered_pattern,SP-000662,solicitation to the responsible,Uninterpreted Pattern,solicitation to the responsible,,Needs Semantic Interpretation Review,0.3,,OPR-000009,weak_alignment_review,2026-06-27 22:40:30
