promotion_candidate_id,semantic_object_id,semantic_object_type,canonical_name,domain_name,governance_score,promotion_status,pkv_version,review_required,created_at
SOPC-000022,SPO2-000022,Award Phrase,Award Will Be Made,Evaluation and Source Selection,0.832,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000023,SPO2-000023,Military Installation,Marine Corps Base Camp Lejeune,Domain-Specific Operations,0.877,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000024,SPO2-000024,Military Installation,Marine Corps Base Camp Lejeune,Domain-Specific Operations,0.877,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000025,SPO2-000025,Military Organization,United States Army,Domain-Specific Operations,0.832,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000026,SPO2-000026,Contract Type Fragment,Award a Firm Fixed Price Contract,Commercial and Pricing,0.841,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000027,SPO2-000027,Award Phrase,Award Will Be Made,Evaluation and Source Selection,0.832,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000028,SPO2-000028,Military Organization,United States Army,Domain-Specific Operations,0.832,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000029,SPO2-000029,Military Organization,United States Marine Corps,Domain-Specific Operations,0.85,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000030,SPO2-000030,Procurement Document Artifact,Amendment Copy Requirement,Document Structure and Administrative Forms,0.814,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000031,SPO2-000031,Regulation Set,FAR and DOSAR Provisions,"Legal, Compliance, and Labor",0.85,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000032,SPO2-000032,Federal Agency,Food and Drug Administration,Acquisition Strategy,0.877,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000033,SPO2-000033,Proposal Document Artifact,Proposal Default Index,Document Structure and Administrative Forms,0.787,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000034,SPO2-000034,Military Organization,United States Marine Corps,Domain-Specific Operations,0.85,promote_to_semantic_registry,PKV-1.3,no,2026-06-28 22:06:51
SOPC-000035,SPO2-000035,Acquisition Metadata,Request for Quotation,Acquisition Strategy,0.714,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
SOPC-000036,SPO2-000036,Pricing Structure,Payment and Invoice,Commercial and Pricing,0.709,promote_after_review,PKV-1.3,yes,2026-06-28 22:06:51
