discovery_id,expression_id,canonical_statement_id,reason,suggested_family,status,expression_text,created_at
PELDISC-000011,PEL-000021,CGS-000021,no_expression_family_match,,needs_review,"As part of our proposal, we have listed you as a reference on our performance for this type of service with your agency under the previous/current contract listed below.",2026-06-26 09:36:38
PELDISC-000012,PEL-000022,CGS-000022,no_expression_family_match,,needs_review,Questionnaire must be submitted via email directly to the Contracting Officer and Contract Specialist from a corporate email account.,2026-06-26 09:36:38
PELDISC-000013,PEL-000028,CGS-000028,no_expression_family_match,,needs_review,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electronic",2026-06-26 09:36:38
PELDISC-000014,PEL-000029,CGS-000029,no_expression_family_match,,needs_review,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",2026-06-26 09:36:38
PELDISC-000015,PEL-000030,CGS-000030,no_expression_family_match,,needs_review,The United States (U.S.) Government shall not exercise any supervision or control over the Contractor's employees performing the tasks herein.,2026-06-26 09:36:38
PELDISC-000016,PEL-000031,CGS-000031,no_expression_family_match,,needs_review,"Such contract employees shall be accountable solely to the Contractor who, in turn shall be responsible to the U.S.",2026-06-26 09:36:38
PELDISC-000017,PEL-000032,CGS-000032,no_expression_family_match,,needs_review,The Contractor shall always maintain an adequate workforce for performance of all tasks defined within this Performance Work Statement (PWS).,2026-06-26 09:36:38
PELDISC-000018,PEL-000033,CGS-000033,no_expression_family_match,,needs_review,"Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support.",2026-06-26 09:36:38
PELDISC-000019,PEL-000034,CGS-000034,no_expression_family_match,,needs_review,Consideration must be made for local holidays due to local labor laws to maintain this schedule.,2026-06-26 09:36:38
PELDISC-000020,PEL-000035,CGS-000035,no_expression_family_match,,needs_review,"Further consideration must be given for nationalities that are allowed to work within the Panama City, Panama/ Joint Security Cooperation Group- Panama (JSCG-P), due to limitations imposed by the local Government on the number of specific nationalities which are allowed to work within the country at any given time.",2026-06-26 09:36:38
PELDISC-000021,PEL-000036,CGS-000036,no_expression_family_match,,needs_review,"This requirement is for base life support services at Cristobal Colon, formerly known as Fort Sherman, Panama.",2026-06-26 09:36:38
PELDISC-000022,PEL-000037,CGS-000037,no_expression_family_match,,needs_review,bulk fuel operations (limited to generators supporting site power requirements);,2026-06-26 09:36:38
PELDISC-000023,PEL-000038,CGS-000038,no_expression_family_match,,needs_review,"and all necessary staffing, management and maintenance required to perform these services.",2026-06-26 09:36:38
PELDISC-000024,PEL-000039,CGS-000039,no_expression_family_match,,needs_review,2.1 You are invited to submit a quote/offer in response to Solicitation W912CL-26-R- A004 by 15:00 PM CST on 24 June 2026.,2026-06-26 09:36:38
PELDISC-000025,PEL-000041,CGS-000041,no_expression_family_match,,needs_review,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,2026-06-26 09:36:38
PELDISC-000026,PEL-000042,CGS-000042,no_expression_family_match,,needs_review,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,2026-06-26 09:36:38
PELDISC-000027,PEL-000051,CGS-000051,no_expression_family_match,,needs_review,"If an offeror fails to meet all solicitation requirements, the Government may not make an award to that offeror.",2026-06-26 09:36:38
PELDISC-000028,PEL-000054,CGS-000054,no_expression_family_match,,needs_review,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni",2026-06-26 09:36:38
PELDISC-000029,PEL-000055,CGS-000055,no_expression_family_match,,needs_review,REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,2026-06-26 09:36:38
PELDISC-000030,PEL-000057,CGS-000057,no_expression_family_match,,needs_review,stephen.p.smith161.civ@us.navy.mil Quotation Valid For ___Days Also send quotes to:,2026-06-26 09:36:38
PELDISC-000031,PEL-000066,CGS-000066,no_expression_family_match,,needs_review,2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8.,2026-06-26 09:36:38
PELDISC-000032,PEL-000067,CGS-000067,no_expression_family_match,,needs_review,CODE 11.AS OF DATE 13.DATE OF REG REPRO SUBSEQUENT 133.2 0 1 0 SUBMISSION N/A N/A N/A 16 REMARKS 0 0 0 1.,2026-06-26 09:36:38
PELDISC-000033,PEL-000068,CGS-000068,no_expression_family_match,,needs_review,For Payment & Submission of Data refer to Clauses 252.232-7006 & 252.232-7003 or 52.232-36.,2026-06-26 09:36:38
PELDISC-000034,PEL-000069,CGS-000069,no_expression_family_match,,needs_review,Each Data Item Submitted by Vendor must be Submitted under a Separate Shipment Number.,2026-06-26 09:36:38
PELDISC-000035,PEL-000071,CGS-000071,no_expression_family_match,,needs_review,3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP.,2026-06-26 09:36:38
PELDISC-000036,PEL-000072,CGS-000072,no_expression_family_match,,needs_review,CODE 11.AS OF DATE 13.DATE OF REG REPRO SUBSEQUENT SUBMISSION N/A 133.2 0 1 0 N/A N/A 16 REMARKS 1.,2026-06-26 09:36:38
PELDISC-000037,PEL-000074,CGS-000074,no_expression_family_match,,needs_review,ADMINISTERED BY CODE 36C246 See Delivery Schedule Department of Veterans Affairs Network Contracting Office 6 100 Emancipation Dr.,2026-06-26 09:36:38
PELDISC-000038,PEL-000075,CGS-000075,no_expression_family_match,,needs_review,GENERAL INFORMATION CONTACT INFORMATION ADDITIONAL INFORMATION DESCRIPTION This pre-solicitation notice is not a request for formal proposals or quotes.,2026-06-26 09:36:38
PELDISC-000039,PEL-000076,CGS-000076,no_expression_family_match,,needs_review,"The Department of Veterans Affairs, Salisbury VAMC has a requirement for Solar Shades.",2026-06-26 09:36:38
PELDISC-000040,PEL-000077,CGS-000077,no_expression_family_match,,needs_review,All correspondence and responses shall be via e-mail to Aleshia.Hernandez@va.gov.,2026-06-26 09:36:38
PELDISC-000041,PEL-000079,CGS-000079,no_expression_family_match,,needs_review,"This notice does NOT constitute a request for proposals, request for quote, or invitation for bid.",2026-06-26 09:36:38
PELDISC-000042,PEL-000080,CGS-000080,no_expression_family_match,,needs_review,The VHA Network Contracting Office 6 (NCO 6) is conducting a market survey to find qualified vendors who can provide the following item:,2026-06-26 09:36:38
PELDISC-000043,PEL-000081,CGS-000081,no_expression_family_match,,needs_review,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation.",2026-06-26 09:36:38
PELDISC-000044,PEL-000082,CGS-000082,no_expression_family_match,,needs_review,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products.",2026-06-26 09:36:38
PELDISC-000045,PEL-000083,CGS-000083,no_expression_family_match,,needs_review,"Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered ""grey market"".",2026-06-26 09:36:38
PELDISC-000046,PEL-000084,CGS-000084,no_expression_family_match,,needs_review,National Cemetery Administration (NCA) Black Hills National Cemetery (BHNC) STATEMENT OF NEED Requirement of Aggregate Materials GENERAL INFORMATION Title of Project:,2026-06-26 09:36:38
PELDISC-000047,PEL-000085,CGS-000085,no_expression_family_match,,needs_review,Aggregate Materials Requirement Black Hills National Cemetery has a requirement for the following materials:,2026-06-26 09:36:38
PELDISC-000048,PEL-000086,CGS-000086,no_expression_family_match,,needs_review,The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).,2026-06-26 09:36:38
PELDISC-000049,PEL-000087,CGS-000087,no_expression_family_match,,needs_review,The transportation/delivery of material to the cemetery will be provided by the vendor and offloaded in a designated location provided by the COR at the time of delivery.,2026-06-26 09:36:38
PELDISC-000050,PEL-000090,CGS-000090,no_expression_family_match,,needs_review,"Description Unit Max Qty 0001 Provide ¾"" Road Base Gravel (1 qty = 1 ton) Each 90 0002 Provide Crushed Fines (1 qty = 1 ton) Each 90 0003 Provide 3/8"" Clean Gravel Chips (1 qty = 1 ton) Each 180 0004 Provide Concrete Sand (1 qty = 1 ton) Each 120 0005 Provide Screened Topsoil (1 qty = 1 ton) Each 75 0006 Provide Fill Dirt (1 qty = 1 ton) Each 75 FOB:",2026-06-26 09:36:38
PELDISC-000051,PEL-000091,CGS-000091,no_expression_family_match,,needs_review,"Destination The contractor shall deliver to Black Hills National Cemetery located at 20901 Pleasant Valley Drive, Sturgis, SD 57785 the following:",2026-06-26 09:36:38
PELDISC-000052,PEL-000092,CGS-000092,no_expression_family_match,,needs_review,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated.",2026-06-26 09:36:38
PELDISC-000053,PEL-000094,CGS-000094,no_expression_family_match,,needs_review,List any National Cemetery Administration (NCA) contracts currently working or previously worked first followed by Non-NCA contracts.,2026-06-26 09:36:38
PELDISC-000054,PEL-000096,CGS-000096,no_expression_family_match,,needs_review,"DIGNITY CLAUSE Respect for Headstones and Markers in National Cemeteries Handling of Markers and Headstones Every action by contractor personnel at a national cemetery must be performed with the special care, reverence, dignity, and respect that acknowledges the cemetery as the final resting place that commemorates the service and sacrifice that service members, Veterans and their families made for our Nation.",2026-06-26 09:36:38
PELDISC-000055,PEL-000097,CGS-000097,no_expression_family_match,,needs_review,Critically important is the awareness required of the Contractor employees of the remains buried in the grounds where the work is performed.,2026-06-26 09:36:38
PELDISC-000056,PEL-000098,CGS-000098,no_expression_family_match,,needs_review,The utmost care must be given to these remains and the headstones and flat grave markers that mark those gravesites and memorialize the service of individuals.,2026-06-26 09:36:38
PELDISC-000057,PEL-000099,CGS-000099,no_expression_family_match,,needs_review,Contractor shall be responsible for replacing damaged headstones and markers and for restoring turf damaged during performance of this work.,2026-06-26 09:36:38
PELDISC-000058,PEL-000100,CGS-000100,no_expression_family_match,,needs_review,"Additionally, should any activity result in the exposure and/or damage to any remains, container for remains (e.g., casket or urn), or outer burial container, the contractor must contact the COR, Director/Assistant Director, or Contracting Officer (CO) for guidance.",2026-06-26 09:36:38
PELDISC-000059,PEL-000101,CGS-000101,no_expression_family_match,,needs_review,"Any doubts as to proper procedures shall be brought to the attention of the COR, Director/Assistant Director, or",2026-06-26 09:36:38
PELDISC-000060,PEL-000102,CGS-000102,no_expression_family_match,,needs_review,"Department of Veterans Affairs National Cemetery Administration, Contract Services 18434 Joplin Road Triangle, VA 22172 Place of Performance:",2026-06-26 09:36:38
PELDISC-000061,PEL-000103,CGS-000103,no_expression_family_match,,needs_review,"Black Hills National Cemetery 20901 Pleasant Valley Dr, Sturgis, SD 57785 Attachments:",2026-06-26 09:36:38
PELDISC-000062,PEL-000106,CGS-000106,no_expression_family_match,,needs_review,Contractor is responsible for submitting their package in accordance with the guidance in this solicitation.,2026-06-26 09:36:38
PELDISC-000063,PEL-000107,CGS-000107,no_expression_family_match,,needs_review,Failure to follow the document format or the solicitation guidelines will render the submission,2026-06-26 09:36:38
PELDISC-000064,PEL-000108,CGS-000108,no_expression_family_match,,needs_review,Notice of Intent #FDA-SS-26-06202026 The Food and Drug Administration intends to make sole source awards to the following:,2026-06-26 09:36:38
PELDISC-000065,PEL-000110,CGS-000110,no_expression_family_match,,needs_review,Any other firms desiring consideration must fully identify their interest and capability to provide this service or submit a proposal within 7 days to the individual listed.,2026-06-26 09:36:38
PELDISC-000066,PEL-000115,CGS-000115,no_expression_family_match,,needs_review,"This is a REQUEST FOR INFORMATION (RFI) ONLY, not a Request for Quote (RFQ) and does not commit the Government to award a contract now or in the future.",2026-06-26 09:36:38
PELDISC-000067,PEL-000116,CGS-000116,no_expression_family_match,,needs_review,Submission of any information in response to this market survey is purely voluntary and FDA welcomes responses from all interested parties;,2026-06-26 09:36:38
PELDISC-000068,PEL-000117,CGS-000117,no_expression_family_match,,needs_review,The FDA will use the results of the market research to determine if sources are capable of satisfying the agency's requirements exist based on the response received to the Government's questions contained in this notice.,2026-06-26 09:36:38
PELDISC-000069,PEL-000119,CGS-000119,no_expression_family_match,,needs_review,"DATE ISSUED PAGE OF PAGES SOLICITATION, OFFER, AND AWARD X SEALED BID (IFB) 1 73 05/01/2026 (Construction, Alteration, or Repair) 36C78626B0017 NEGOTIATED (RFP) IMPORTANT - The ""offer"" section on the reverse must be fully completed by offeror.",2026-06-26 09:36:38
PELDISC-000070,PEL-000120,CGS-000120,no_expression_family_match,,needs_review,ADDRESS OFFER TO Department of Veterans Affairs Daniel.kinney@va.gov National Cemetery Administration Contracting Services 18434 Joplin Road Triangle VA 22172 9.,2026-06-26 09:36:38
PELDISC-000071,PEL-000122,CGS-000122,no_expression_family_match,,needs_review,"THE GOVERNMENT REQUIRES PERFORMANCE OF THE WORK DESCRIBED IN THESE DOCUMENTS (Title, identifying number, date) Project Title:",2026-06-26 09:36:38
PELDISC-000072,PEL-000125,CGS-000125,no_expression_family_match,,needs_review,"an equitable and open process that serves both industry and the public good, the American National Standards Institute (ANSI, or the ""Institute"") accredits standards developing organizations (SDOs) against a set of criteria to assure openness, balance, due process, and consensus in standards development - ANSI's ""Essential Requirements."" The Institute does not develop standards itself;",2026-06-26 09:36:38
PELDISC-000073,PEL-000126,CGS-000126,no_expression_family_match,,needs_review,"rather, ANSI-accredited SDOs may submit their documents for approval as American National Standards (ANS).",2026-06-26 09:36:38
PELDISC-000074,PEL-000127,CGS-000127,no_expression_family_match,,needs_review,Standard Operating Procedure National Cemetery Administration CONTRACTOR SAFETY 1.,2026-06-26 09:36:38
PELDISC-000075,PEL-000128,CGS-000128,no_expression_family_match,,needs_review,"The National Cemetery (NCA) program will establish procedures and practices that comply with VA policy, NCA policy, and current Occupational Safety and Health Administration (OSHA) Standards in providing a safe work environment for its employees and volunteers.",2026-06-26 09:36:38
PELDISC-000076,PEL-000129,CGS-000129,no_expression_family_match,,needs_review,This program outlines procedures to follow but it is not intended to supersede the requirements detailed in the applicable OSHA Standards.,2026-06-26 09:36:38
PELDISC-000077,PEL-000130,CGS-000130,no_expression_family_match,,needs_review,The Contractor Safety Program will be implemented and maintained through training and safe work practice procedures.,2026-06-26 09:36:38
PELDISC-000078,PEL-000131,CGS-000131,no_expression_family_match,,needs_review,Facility Directors are responsible for the implementation and evaluation of this program at their facilities.,2026-06-26 09:36:38
PELDISC-000079,PEL-000132,CGS-000132,no_expression_family_match,,needs_review,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.,2026-06-26 09:36:38
PELDISC-000080,PEL-000134,CGS-000134,no_expression_family_match,,needs_review,"LOWBOY TRUCK...$ 11.00 0.00 TRUCK DRIVER, INCLUDES DUMP TRUCK...$ 11.07 0.00 OPERATOR:",2026-06-26 09:36:38
PELDISC-000081,PEL-000135,CGS-000135,no_expression_family_match,,needs_review,"Cape Canaveral National Cemetery Shrine Project- Grass Renovation FY26 Shrine Project Cape Canaveral National Cemetery Ornamental Grass Renovation and Irrigation Shrine Project SOW General Information The Department of Veterans Affairs, National Cemetery Administration honors veterans with a final resting place and lasting memorials that commemorate their service to our Nation.",2026-06-26 09:36:38
PELDISC-000082,PEL-000136,CGS-000136,no_expression_family_match,,needs_review,"The standards of maintenance, appearance and operational procedures performed by the contractor at this cemetery shall reflect this nation's concern for those interred there.",2026-06-26 09:36:38
PELDISC-000083,PEL-000137,CGS-000137,no_expression_family_match,,needs_review,"For this reason, the contractor's strict adherence to the specifications shall be required and shall be essential.",2026-06-26 09:36:38
PELDISC-000084,PEL-000139,CGS-000139,no_expression_family_match,,needs_review,Ornamental grasses shall be Fountain Grass (Pennisetum Setaceum 'Alba White')- (approx.,2026-06-26 09:36:38
PELDISC-000085,PEL-000140,CGS-000140,no_expression_family_match,,needs_review,"Could the government please provide Contractor Laydown Area Info, including location, dimensions, and if laydown will have water/electric access available?",2026-06-26 09:36:38
PELDISC-000086,PEL-000144,CGS-000144,no_expression_family_match,,needs_review,"Can the Government provide as-built drawings and pump station information including pump curves, flow rates, piping sizes, electrical service, and available footprint for the injection system?",2026-06-26 09:36:38
PELDISC-000087,PEL-000149,CGS-000149,no_expression_family_match,,needs_review,ADMINISTERED BY (If other than Item 6) CODE 36C786 Department of Veterans Affairs Department of Veterans Affairs National Cemetery Administration National Cemetery Administration Contracting Services Contracting Services 18434 Joplin Road 18434 Joplin Road Triangle VA 22172 Triangle VA 22172 8.,2026-06-26 09:36:38
PELDISC-000088,PEL-000152,CGS-000152,no_expression_family_match,,needs_review,"(a) By completing Items 8 and 15, and returning ___1_ ___ copies of the amendment;",2026-06-26 09:36:38
PELDISC-000089,PEL-000153,CGS-000153,no_expression_family_match,,needs_review,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amend,2026-06-26 09:36:38
PELDISC-000090,PEL-000154,CGS-000154,no_expression_family_match,,needs_review,See Instructions at www.dol.gov/whd/forms/wh347instr.htm) Persons are not required to respond to the collection of information unless it displays a currently valid OMB control number.,2026-06-26 09:36:38
PELDISC-000091,PEL-000155,CGS-000155,no_expression_family_match,,needs_review,§ 5.5(a)(3)(ii) require contractors to submit weekly a copy of all payrolls to the Federal agency,2026-06-26 09:36:38
PELDISC-000092,PEL-000156,CGS-000156,no_expression_family_match,,needs_review,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.,2026-06-26 09:36:38
PELDISC-000093,PEL-000157,CGS-000157,no_expression_family_match,,needs_review,WAGES OVERTIME You must be paid not less than one and one-half times your basic rate of pay for all hours worked over 40 in a work week.,2026-06-26 09:36:38
PELDISC-000094,PEL-000158,CGS-000158,no_expression_family_match,,needs_review,"ENFORCEMENT Contract payments can be withheld to ensure workers receive wages and overtime pay due, and liquidated damages may apply if overtime pay requirements are not met.",2026-06-26 09:36:38
PELDISC-000095,PEL-000159,CGS-000159,no_expression_family_match,,needs_review,"A contractor who falsifies certified payroll records or induces wage kickbacks may be subject to civil or criminal prosecution, fines and/or imprisonment.",2026-06-26 09:36:38
PELDISC-000096,PEL-000160,CGS-000160,no_expression_family_match,,needs_review,Kinney Contract Specialist Department of Veterans Affairs National Cemetery Administration Email:,2026-06-26 09:36:38
PELDISC-000097,PEL-000164,CGS-000164,no_expression_family_match,,needs_review,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.,2026-06-26 09:36:38
PELDISC-000098,PEL-000166,CGS-000166,no_expression_family_match,,needs_review,"This is a non-personnel services contract to provide Defense Enrollment and Eligibility Reporting System (DEERS)/ Real Time Automated Personnel Identification System (RAPIDS) Common Access Card (CAC) support services for the Installation Management Command (IMCOM) at Fort Bragg, North Carolina.",2026-06-26 09:36:38
PELDISC-000099,PEL-000167,CGS-000167,no_expression_family_match,,needs_review,The Government will not exercise any supervision or control over the contract service providers performing the services herein.,2026-06-26 09:36:38
PELDISC-000100,PEL-000168,CGS-000168,no_expression_family_match,,needs_review,"Such contract service providers shall be accountable solely to the Contractor who, in turn is responsible to the Government.",2026-06-26 09:36:38
PELDISC-000101,PEL-000169,CGS-000169,no_expression_family_match,,needs_review,"The Contractor shall provide all personnel, equipment, supplies, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform the verification and issuance of military identification (USID) and CAC cards for active duty military, Reserve and National Guard members, military retirees, family members, Department of Defense (DoD) civilians and other eligible recipients, as defined in this PWS, except for those items specified as government furnished property and services.",2026-06-26 09:36:38
PELDISC-000102,PEL-000170,CGS-000170,no_expression_family_match,,needs_review,ADMINISTERED BY CODE 36C262 Department of Veterans Affairs Department of Veterans Affairs Long Beach VA Healthcare System Network Contracting Office 22 Tibor Rubin Medical Center 4811 Airport Plaza Drive 5901 E.,2026-06-26 09:36:38
PELDISC-000103,PEL-000173,CGS-000173,no_expression_family_match,,needs_review,"Section B.3 (Price/Cost Schedule, page 8) lists a quantity of 48 units for the same item.",2026-06-26 09:36:38
PELDISC-000104,PEL-000174,CGS-000174,no_expression_family_match,,needs_review,Please confirm which quantity governs for quoting and contract performance-64 per the SOW or 48 per the Price/Cost Schedule-and issue an amendment or written clarification before the offer due date.,2026-06-26 09:36:38
PELDISC-000105,PEL-000176,CGS-000176,no_expression_family_match,,needs_review,"Should offerors quote the annual subscription cost for the base year only, or should the quote reflect a multi-year term?",2026-06-26 09:36:38
PELDISC-000106,PEL-000178,CGS-000178,no_expression_family_match,,needs_review,Question 3 - OEM Authorization Letter Requirements Section E.2.5 requires offerors to submit an OEM authorization letter dated no more than 90 days,2026-06-26 09:36:38
PELDISC-000107,PEL-000180,CGS-000180,no_expression_family_match,,needs_review,All contract administration matters will be handled by the following individuals:,2026-06-26 09:36:38
PELDISC-000108,PEL-000182,CGS-000182,no_expression_family_match,,needs_review,All Invoices from the contractor shall be submitted electronically in accordance with VAAR Clause 852.232-72 Electronic Submission of Payment Requests.,2026-06-26 09:36:38
PELDISC-000109,PEL-000183,CGS-000183,no_expression_family_match,,needs_review,The offeror acknowledges receipt of amendments to the Solicitation numbered and dated as follows:,2026-06-26 09:36:38
PELDISC-000110,PEL-000184,CGS-000184,no_expression_family_match,,needs_review,"The services to be provided by the contractor under this agreement shall consist of furnishing all necessary parts, labor, transpor",2026-06-26 09:36:38
PELDISC-000111,PEL-000186,CGS-000186,no_expression_family_match,,needs_review,"ADMINISTERED BY (if other than Item CODE 6) FA5682 31 CONS DA LGC UNIT 6102 BOX 140, APO AE 09604-6102 APO, AE 09604-6102 SCD:",2026-06-26 09:36:38
PELDISC-000112,PEL-000188,CGS-000188,no_expression_family_match,,needs_review,METHOD OF SOLICITATION UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST FOR INVITATION REQUEST FOR SEE SCHEDULE AND ALLOCATIONS QUOTE (RFQ) FOR BID (IFB) PROPOSAL (RFP) SYSTEM-DPAS (15 CFR 700) 15.,2026-06-26 09:36:38
PELDISC-000113,PEL-000189,CGS-000189,no_expression_family_match,,needs_review,"Could you please confirm whether the delivery location has a loading dock available, or if a lift gate will be required for delivery?",2026-06-26 09:36:38
PELDISC-000114,PEL-000190,CGS-000190,no_expression_family_match,,needs_review,The requirement we are looking for should fit pelican cases (as picture attached).,2026-06-26 09:36:38
PELDISC-000115,PEL-000191,CGS-000191,no_expression_family_match,,needs_review,"Looking at the questions and answers loaded toady, Please also advise that as per the Salient+Characteristics attachment The units will be a minimum 42"" wide, 24"" deep and 78"" tall, are other dimensions also acceptable?",2026-06-26 09:36:38
PELDISC-000116,PEL-000192,CGS-000192,no_expression_family_match,,needs_review,"Our quoting process includes the internals as we will need to include them in the build, the quote will be for a total solution of x lockers, each locker will have hooks, shelves, bar etc as per a shown layout.",2026-06-26 09:36:38
PELDISC-000117,PEL-000193,CGS-000193,no_expression_family_match,,needs_review,The quote was pushed with separate internals of the lockers because the User requested more shelves.,2026-06-26 09:36:38
PELDISC-000118,PEL-000195,CGS-000195,no_expression_family_match,,needs_review,"As far as I can see, you have not included an installation line on the solicitation.",2026-06-26 09:36:38
PELDISC-000119,PEL-000196,CGS-000196,no_expression_family_match,,needs_review,Are you planning to use non manufacturer trained personnel to build and install them?,2026-06-26 09:36:38
PELDISC-000120,PEL-000197,CGS-000197,no_expression_family_match,,needs_review,"Yes, the already indicated preferred dimensions are the minimum size required Q 9 :",2026-06-26 09:36:38
PELDISC-000121,PEL-000198,CGS-000198,no_expression_family_match,,needs_review,This requirement is for 25 gear lockers for proper storage of personnel UTC items and pro gear.,2026-06-26 09:36:38
PELDISC-000122,PEL-000200,CGS-000200,no_expression_family_match,,needs_review,"However, if pre-built, the lockers should have the option for adjustable shelving so the locker can better fit the requirement.",2026-06-26 09:36:38
PELDISC-000123,PEL-000201,CGS-000201,no_expression_family_match,,needs_review,SECURITY AGREEMENT FOR PROTECTION OF NAVAL NUCLEAR PROPULSION INFORMATION The undersigned acknowledges that he/she will be provided specifications or documents as part of SPMYM326Q1134/SPMYM326P1134 which are marked as containing sensitive information which is controlled pursuant to federal law.,2026-06-26 09:36:38
PELDISC-000124,PEL-000202,CGS-000202,no_expression_family_match,,needs_review,"These specifications and documents and the information contained therein, shall be used only for the purpose of preparing quotations or processing orders, and shall in no case be transmitted outside the company or to any foreign national within the company.",2026-06-26 09:36:38
PELDISC-000125,PEL-000203,CGS-000203,no_expression_family_match,,needs_review,"While in use, the specifications shall be maintained under surveillance and shall be kept secure, so as to preclude access by any persons who do not have a legitimate need to view them.",2026-06-26 09:36:38
