node_id,node_key,semantic_object_v3_id,semantic_object_id,node_type,canonical_name,domain_name,confidence,graph_status,publication_status,source_registry,created_at
KGNODE-000012,federal_agency_food_and_drug_administration_acquisition_strategy,SPO3-000029,SPO2-000032,Federal Agency,Food and Drug Administration,Acquisition Strategy,0.92,graph_ready,published_ready,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000013,acquisition_metadata_solicitation_number_acquisition_strategy,SPO3-000003,SPO2-000003,Acquisition Metadata,Solicitation Number,Acquisition Strategy,0.777,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000014,pricing_structure_unit_price_commercial_and_pricing,SPO3-000005,SPO2-000005,Pricing Structure,Unit Price,Commercial and Pricing,0.79,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000015,evaluation_factor_evaluation_factors_evaluation_and_source_selection,SPO3-000008,SPO2-000008,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,0.74,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000016,document_structure_object_table_of_contents_document_structure_and_administrative_forms,SPO3-000009,SPO2-000009,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,0.704,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000017,supplier_qualification_past_performance_supplier_eligibility_and_qualifications,SPO3-000010,SPO2-000010,Supplier Qualification,Past Performance,Supplier Eligibility and Qualifications,0.734,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000018,acquisition_metadata_request_for_information_acquisition_strategy,SPO3-000011,SPO2-000011,Acquisition Metadata,Request for Information,Acquisition Strategy,0.761,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000019,administrative_service_labor_category_administrative_support_and_clerical_performance_and_operations,SPO3-000012,SPO2-000012,Administrative Service Labor Category,Administrative Support and Clerical,Performance and Operations,0.76,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000020,proposal_structure_proposal_volume_submission_and_proposal_management,SPO3-000013,SPO2-000013,Proposal Structure,Proposal Volume,Submission and Proposal Management,0.719,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000021,acquisition_metadata_combined_synopsis_solicitation_acquisition_strategy,SPO3-000015,SPO2-000015,Acquisition Metadata,Combined Synopsis Solicitation,Acquisition Strategy,0.769,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000022,supplier_qualification_small_business_set_aside_supplier_eligibility_and_qualifications,SPO3-000016,SPO2-000016,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,0.706,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000023,delivery_requirement_place_of_performance_delivery_and_logistics,SPO3-000018,SPO2-000018,Delivery Requirement,Place of Performance,Delivery and Logistics,0.74,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000024,acquisition_metadata_method_of_solicitation_acquisition_strategy,SPO3-000019,SPO2-000019,Acquisition Metadata,Method of Solicitation,Acquisition Strategy,0.718,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000025,acquisition_metadata_request_for_proposal_acquisition_strategy,SPO3-000020,SPO2-000020,Acquisition Metadata,Request for Proposal,Acquisition Strategy,0.743,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000026,technical_requirement_statement_of_work_technical_requirements,SPO3-000021,SPO2-000021,Technical Requirement,Statement of Work,Technical Requirements,0.727,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000027,procurement_document_artifact_amendment_copy_requirement_document_structure_and_administrative_forms,SPO3-000027,SPO2-000030,Procurement Document Artifact,Amendment Copy Requirement,Document Structure and Administrative Forms,0.78,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000028,proposal_document_artifact_proposal_default_index_document_structure_and_administrative_forms,SPO3-000030,SPO2-000033,Proposal Document Artifact,Proposal Default Index,Document Structure and Administrative Forms,0.72,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000029,acquisition_metadata_request_for_quotation_acquisition_strategy,SPO3-000031,SPO2-000035,Acquisition Metadata,Request for Quotation,Acquisition Strategy,0.712,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
KGNODE-000030,pricing_structure_payment_and_invoice_commercial_and_pricing,SPO3-000032,SPO2-000036,Pricing Structure,Payment and Invoice,Commercial and Pricing,0.701,graph_candidate,published_candidate,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 04:12:22
