canonical_requirement_id,old_type,new_type,old_named_value,new_named_value,matched_evidence,source_statement
CREQ-000051,experience_requirement,subcontracting_requirement,Past Performance,Subcontracting,Subcontracting,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Contact Person and Position"
CREQ-000053,experience_requirement,contract_administration_requirement,Past Performance,cor,cor,"A - Statement of work B - Cemetery Operational Standards C – Dignity Clause D- Past Performance Questionnaire E- Pricing Schedule (Excel) This is a combined synopsis/solicitation for commercial services prepared in accordance with the format in Subpart 12.6, as supplemented with additional information included in this notice."
CREQ-000055,review_required,capability_statement_requirement,,capability to provide,capability to provide,Any other firms desiring consideration must fully identify their interest and capability to provide this service or submit a proposal within 7 days to the individual listed.
CREQ-000057,pricing_requirement,contract_administration_requirement,UNIT PRICE,cor,cor,36C78626B0017 Section B SECTION B - SUPPLIES OR SERVICES AND PRICE/COSTS B.1 PRICE SCHEDULE ITEM INFORMATION ITEM DESCRIPTION OF NUMBER SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT 0001 1 JB __________________ __________________ Remove/Renovate/Replace Ornamental Grass and Irrigation in accordance with the attached Statement of Work Contract Period:
CREQ-000061,review_required,compliance_requirement,,OSHA,comply with,"The National Cemetery (NCA) program will establish procedures and practices that comply with VA policy, NCA policy, and current Occupational Safety and Health Administration (OSHA) Standards in providing a safe work environment for its employees and volunteers."
CREQ-000062,review_required,compliance_requirement,,OSHA,comply with,Facility Directors will ensure that employees are provided the proper equipment and training to protect them from all hazardous conditions in the workplace and comply with OSHA Standards and recognized safe work practices.
CREQ-000064,review_required,technical_information_requirement,,specs/requirements,specs/requirements,"If so please provide any specs/requirements, if any."
CREQ-000065,review_required,technical_information_requirement,,as-built drawings,as-built drawings,"Can the Government provide as-built drawings and pump station information including pump curves, flow rates, piping sizes, electrical service, and available footprint for the injection system?"
CREQ-000066,review_required,submission_requirement,,submit weekly,submit weekly,§ 5.5(a)(3)(ii) require contractors to submit weekly a copy of all payrolls to the Federal agency
CREQ-000067,review_required,compliance_requirement,,DAVIS-BACON,DAVIS-BACON,EMPLOYEE RIGHTS UNDER THE DAVIS-BACON ACT FOR LABORERS AND MECHANICS EMPLOYED ON FEDERAL OR FEDERALLY ASSISTED CONSTRUCTION PROJECTS PREVAILING You must be paid not less than the wage rate listed in the Davis-Bacon Wage Decision posted with this Notice for the work you perform.
CREQ-000068,certification_requirement,compliance_requirement,CERTIFICATE OF COMPLIANCE,LIMITATIONS ON SUBCONTRACTING,COMPLIANCE,VAAR 852.219-75 VA NOTICE OF LIMITATIONS ON SUBCONTRACTING—CERTIFICATE OF COMPLIANCE FOR SERVICES AND CONSTRUCTION (JAN 2023) (DEVIATION) (a) Pursuant to 38 U.S.C.
CREQ-000069,review_required,compliance_requirement,,limitations on subcontracting,comply with,"8127(l)(2), the offeror certifies that— (1) If awarded a contract (see FAR 2.101 definition), it will comply with the limitations on subcontracting requirement as provided in the solicitation and the resultant contract, as follows:"
CREQ-000070,review_required,small_business_requirement,,small business,small business,Other direct costs may be excluded to the extent they are not the principal purpose of the acquisition and small business concerns do not provide the service as set forth in 13 CFR 125.6.
CREQ-000075,operational_requirement,authorization_requirement,,OEM Authorization Letter,Authorization Letter,Question 3 — OEM Authorization Letter Requirements Section E.2.5 requires offerors to submit an OEM authorization letter dated no more than 90 days
CREQ-000076,review_required,contract_administration_requirement,,contract administration,contract administration,All contract administration matters will be handled by the following individuals:
CREQ-000084,operational_requirement,registration_requirement,,SAM,registered in SAM,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award."
CREQ-000085,review_required,submission_requirement,,MUST be filled in,MUST be filled in,Provisions below MUST be filled in to be considered for award.
CREQ-000088,operational_requirement,registration_requirement,,SAM,System for Award Management,"The Offeror shall review the list of excluded parties in the System for Award Management (SAM) (https://www.sam.gov) for entities excluded from receiving federal awards for ""covered telecommunications equipment or services""."
CREQ-000089,review_required,compliance_requirement,,covered telecommunications,covered telecommunications,"The Offeror represents that it [__] does, [__] does not provide covered telecommunications equipment or services as a part of its offered products or services to the Government in the performance of any contract, subcontract, or other contractual instrument."
CREQ-000090,operational_requirement,submission_requirement,,Offer,MUST BE FILLED IN,"(End of provision) 52.204-24 REPRESENTATION REGARDING CERTAIN TELECOMMUNICATIONS AND VIDEO SURVEILLANCE SERVICES OR EQUIPMENT (NOV 2021) {MUST BE FILLED IN, if “does” in 52.204-26} The Offeror shall not complete the representation at paragraph (d)("
CREQ-000092,review_required,submission_requirement,,Responses,Responses to this notice shall include,Unrestricted – no set-aside Responses to this notice shall include the following:
CREQ-000093,staffing_requirement,registration_requirement,qualifications,SAM,UEI number,"(a) company name b) address (c) socio-economic status, (d) point of contact (e) phone, fax, and email (f) SAM UEI number (g) Cage Code (h) Tax ID Number (i) and must provide a capability statement that addresses the organizations qualifications and ability to perform as a contractor and provide the commodities described below."
CREQ-000103,operational_requirement,submission_requirement,,proposal,submit a proposal,IF NEEDED OFFERORS CAN HAVE ONE (1) ALTERNATE PERSON REGISTER IN THE CASE OF AN EMERGENCY.*** In order to submit a proposal for the MAPS acquisition all Offerors shall register through the following link to create their profiles.
CREQ-000107,review_required,submission_requirement,,proposal,Submit Proposal,https://chess.army.mil/proposal/default/index 2 How to Submit Proposals:
CREQ-000108,operational_requirement,submission_requirement,,Offer,submit your written agreement with the Cover Letter **If proposing as a Mentor Protégé Offer,Joint Venture/Mentor Protégé Information (if applicable) *If proposing as a JV Offerors shall submit your written agreement with the Cover Letter **If proposing as a Mentor Protégé Offerors shall provide verification of the SBA signed agreement with the Cover Letter Are you proposing as a JV?
CREQ-000114,operational_requirement,contract_administration_requirement,,Contracting Officer,Contracting Officer,"At any point during these periods, if the Contractor no longer meets the eligibility requirements, the contractor must provide immediate written notification to the Contracting Officer."
CREQ-000115,review_required,contract_administration_requirement,,cor,cor,"Breach, Designated Record Set, Disclosure, Health Care Operations, Individual, Minimum Necessary, Notice of Privacy Practices, PHI, Required by Law, Secretary, Security Incident, Subcontractor, Unsecured PHI, and Use."
CREQ-000121,deliverable_requirement,subcontracting_requirement,safety Plan,SUBCONTRACTOR,SUBCONTRACTOR,SECTION I SAFETY REQUIREMENTS FOR CONTRACTORS AND SUBCONTRACTORS This safety Plan details the responsibilities related to Safety and Health for the ADD THE NAME OF YOUR PROJECT HERE project.
CREQ-000123,deliverable_requirement,subcontracting_requirement,safety plan,subcontractor,subcontractor,"We, ADD YOUR COMPANY NAME, and all our subcontractors will follow this safety plan and guarantee full access to it in case needed."
CREQ-000124,review_required,contract_administration_requirement,,Cor,Cor,The contractor will follow the more restrictive standard between the Safety and Health Requirements Manual established by the US Army Corps of Engineers (http://www.publications.usace.army.mil/Portals/76/Publications/EngineerManuals/EM_385-1-1.pdf) or the Mexican laws on industrial safety as established by the Ministry of Labor as follows:
CREQ-000129,proposal_requirement,submission_requirement,quote,quote,submit a quote,19MX5326Q0043 for Anti-Climb bi-folding gates maintenance The Embassy of the United States of America invites you to submit a quote Anti-Climb bi-folding gates maintenance to be performed at the U.S.
CREQ-000134,review_required,contract_administration_requirement,,cor,cor,Please provide the material according to the submitted specifications;
CREQ-000137,review_required,compliance_requirement,,comply with,comply with,All plate products shall comply with astm a572 grade 50.
CREQ-000139,review_required,small_business_requirement,,Small Business,Small Business,This Request for Quote (RFQ) for Shade Structure Canopy is being set aside for Total Small Businesses.
CREQ-000141,review_required,submission_requirement,,quote,submit quote,"If you cannot quote all items requested in this RFQ, please submit quote on what you can provide, as it may be considered if government determines best for the government, however it's the government's intent to award to a vendor who can provide all that is requested."
CREQ-000144,review_required,contract_administration_requirement,,Contract Administration,Contract Administration,Construction Contract Administration Federal Acquisition Regulation (FAR) 36.211(b) requires agencies provide description of policies and procedures that apply to definitization of equitable adjustments for change orders under construction contracts and data on the time required to definitize equitable adjustments for change orders under construction contracts.
CREQ-000145,deliverable_requirement,contract_administration_requirement,report,cor,cor,"Please provide any available testing data, commissioning reports, or historical maintenance records for the existing geothermal well field."
CREQ-000147,proposal_requirement,submission_requirement,Price proposal,proposal,submit a Firm Fixed Price proposal,"PR481393 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below."
CREQ-000149,pricing_requirement,small_business_requirement,Firm Fixed Price,Small Business,Small Business,Firm Fixed Price Small Business Set-Aside:
CREQ-000154,review_required,representation_requirement,,REPRESENTATION,REPRESENTATION,REPRESENTATIONS AND CERTIFICATIONS - ABBREVIATED Offeror (legal business name):
CREQ-000155,review_required,registration_requirement,,SAM,System for Award Management,You are required to register in SAM (System for Award Management) and to maintain your registration annually.
CREQ-000157,review_required,submission_requirement,,PROPOSAL,SUBMIT A PROPOSAL,Tony Benson tony.d.benson.civ@us.navy.mil ONLY THE FOLLOWING LIST OF CONTRACTORS MAY SUBMIT A PROPOSAL FOR THIS PROJECT:
CREQ-000161,review_required,contract_administration_requirement,,Cor,Cor,"Finish Boards within HP135 BEQ Renovation CL Marine Corps Base, Camp Lejeune, NC Structural Interior Design Package interior design Point of Contact List A&E Architect Base Architectural Supervisor John Schmied, AIA, LEED AP BD+C Cathy Martin MBF Architects Architectural Design Branch/Public 317-C Pollock Street Works Division New Bern, NC 28560 1005 Michael Road (252) 637-6373 Camp Lejeune, North Carolina schmied@mbfarchitects.com 28547 (910) 451-0394 catherine.martin@usmc.mil A&E Interior Designer Jamie Kissel, NCIDQ, CID Within Interior Design 1008 Granby Street Norfolk, VA 23510 (757) 224-0489 jkissel@withindesigns.com within HP135 BEQ Renovation CL Marine Corps Base, Camp Lejeune, NC Structural Interior Design Package interior design SID Narrative INTERIOR DESIGN CRITERIA Interior Design work will comply with the latest edition of the following codes and standards:"
CREQ-000165,review_required,contract_administration_requirement,,Cor,Cor,"ECS Southeast, LLC (ECS) is pleased to provide MBF Architects PA with the results of the above referenced Asbestos and Lead-Paint Survey performed for the Repair BEQ HP135 project located at Marine Corps Base Camp Lejeune in Jacksonville, North Carolina."
CREQ-000167,deliverable_requirement,contract_administration_requirement,report,cor,cor,The workdescribedinthisreportwasperformedbyECSingeneralaccordancewiththeScopeofServices described in ECS Proposal Number 49:50782P and the terms and conditions of the agreement authorizing those services.
CREQ-000181,proposal_requirement,submission_requirement,Price proposal,proposal,submit a Firm Fixed Price proposal,"PR480603 Hello, Poten*al Offeror, Oak Ridge Na*onal Laboratory (ORNL) is invi*ng you to submit a Firm Fixed Price proposal/quote for the following items listed below."
CREQ-000183,pricing_requirement,small_business_requirement,Firm Fixed Price,Small Business,Small Business,Firm Fixed Price Small Business Set-Aside:
CREQ-000188,review_required,representation_requirement,,REPRESENTATION,REPRESENTATION,REPRESENTATIONS AND CERTIFICATIONS - ABBREVIATED Offeror (legal business name):
CREQ-000189,review_required,registration_requirement,,SAM,System for Award Management,You are required to register in SAM (System for Award Management) and to maintain your registration annually.
CREQ-000194,review_required,contract_administration_requirement,,cor,cor,Offerors who did not attend the site visit may still submit a quotation and will be considered for award in accordance with the terms and conditions of the solicitation.
