alignment_id,source_type,source_id,pattern_text,frequency,quality_score,adjusted_confidence,best_registry_id,best_registry_object,best_registry_type,registry_domain,registry_similarity,token_overlap,best_domain_match,domain_similarity,alignment_decision,alignment_reason,created_at
SPRA-000013,filtered_pattern,SP-000038,general clerk,10,10,0.59,OPR-000001,Residual Discovery,expression_family,Submission and Proposal Management,0.3161,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000014,filtered_pattern,SP-000039,data entry operator,10,11,0.6,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.4421,0.0,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000015,filtered_pattern,SP-000040,section 1,9,9,0.56,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.3267,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000016,filtered_pattern,SP-000041,the offeror,9,12,0.6,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.3267,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000017,filtered_pattern,SP-000045,please provide,9,9,0.56,OPR-000001,Residual Discovery,expression_family,Submission and Proposal Management,0.2188,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000018,filtered_pattern,SP-000047,cemetery administration,9,15,0.65,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.6478,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000019,filtered_pattern,SP-000048,national cemetery administration,9,16,0.66,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.5841,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000020,filtered_pattern,SP-000049,small business,9,9,0.56,OPR-000004,Submission Logistics,expression_family,Submission and Proposal Management,0.2882,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000021,filtered_pattern,SP-000051,solicitation number,8,11,0.57,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.625,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000022,filtered_pattern,SP-000055,fixed price,8,8,0.53,OPR-000007,Delivery and Logistics,expression_family,Delivery and Logistics,0.2545,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000023,filtered_pattern,SP-000057,additional information,8,8,0.53,OPR-000010,Proposal Administration,expression_family,Submission and Proposal Management,0.3733,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000024,filtered_pattern,SP-000059,clerk ii,8,8,0.53,OPR-000007,Delivery and Logistics,expression_family,Delivery and Logistics,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000025,filtered_pattern,SP-000060,clerk iii,8,8,0.53,OPR-000007,Delivery and Logistics,expression_family,Delivery and Logistics,0.271,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000026,filtered_pattern,SP-000061,offerors shall,7,10,0.54,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.2513,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000027,filtered_pattern,SP-000062,past performance,7,10,0.54,OPR-000008,Past Performance Administration,expression_family,Submission and Proposal Management,0.774,0.6667,Performance and Operations,0.25,specialization_candidate,partial_registry_overlap,2026-06-27 18:48:00
SPRA-000028,filtered_pattern,SP-000063,of solicitation number,7,11,0.56,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5634,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000029,filtered_pattern,SP-000064,amendment of solicitation number,7,15,0.62,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4562,0.2,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000030,filtered_pattern,SP-000071,firm fixed price,7,8,0.51,OPR-000012,Labor and Local Compliance,expression_family,"Legal, Compliance, and Labor",0.2667,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000031,filtered_pattern,SP-000073,unit price,7,15,0.62,OPR-000004,Submission Logistics,expression_family,Submission and Proposal Management,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000032,filtered_pattern,SP-000081,evaluation factors,6,14,0.58,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.3231,0.0,Evaluation and Source Selection,0.2,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000033,filtered_pattern,SP-000082,quote for,6,9,0.51,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.25,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000034,filtered_pattern,SP-000083,solicitation modification,6,9,0.51,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.6174,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000035,filtered_pattern,SP-000085,of solicitation modification,6,10,0.52,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5607,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000036,filtered_pattern,SP-000086,solicitation modification of,6,10,0.52,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5607,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000037,filtered_pattern,SP-000088,amendment of solicitation modification,6,14,0.58,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4634,0.2,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000038,filtered_pattern,SP-000089,of solicitation modification of,6,11,0.54,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5327,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000039,filtered_pattern,SP-000090,solicitation modification of contract,6,11,0.54,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4945,0.2,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000040,filtered_pattern,SP-000092,contracting officer,6,14,0.58,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3667,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000041,filtered_pattern,SP-000096,administered by if,6,10,0.52,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3415,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000042,filtered_pattern,SP-000100,administered by if other,6,11,0.54,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3277,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000043,filtered_pattern,SP-000101,by if other than,6,8,0.49,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000044,filtered_pattern,SP-000102,if other than item,6,8,0.49,OPR-000007,Delivery and Logistics,expression_family,Delivery and Logistics,0.315,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000045,filtered_pattern,SP-000109,a firm fixed price,6,8,0.49,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.2605,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000046,filtered_pattern,SP-000111,synopsis solicitation,6,9,0.51,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000047,filtered_pattern,SP-000115,1 qty 1 ton,6,8,0.49,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000048,filtered_pattern,SP-000116,qty 1 ton each,6,8,0.49,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000049,filtered_pattern,SP-000118,solicitation for,6,9,0.51,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5919,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000050,filtered_pattern,SP-000122,the same,6,9,0.51,OPR-000003,Workforce Management,expression_family,Performance and Operations,0.25,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000051,filtered_pattern,SP-000123,for proposal,6,9,0.51,OPR-000010,Proposal Administration,expression_family,Submission and Proposal Management,0.42,0.3333,Submission and Proposal Management,0.2,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000052,filtered_pattern,SP-000127,table of contents,6,10,0.52,OPR-000012,Labor and Local Compliance,expression_family,"Legal, Compliance, and Labor",0.293,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000053,filtered_pattern,SP-000151,fringe benefits required follow,6,8,0.49,OPR-000015,Mandatory Requirement / Contractor Shall Requirement,expression_subfamily,Performance and Operations,0.2247,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000054,filtered_pattern,SP-000152,benefits required follow the,6,8,0.49,OPR-000015,Mandatory Requirement / Contractor Shall Requirement,expression_subfamily,Performance and Operations,0.2872,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000055,filtered_pattern,SP-000153,required follow the occupational,6,8,0.49,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.2471,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000056,filtered_pattern,SP-000154,follow the occupational listing,6,8,0.49,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.308,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000057,filtered_pattern,SP-000155,the occupational listing occupation,6,8,0.49,OPR-000021,Delivery Location / Destination and Delivery Site,expression_subfamily,Delivery and Logistics,0.3244,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000058,filtered_pattern,SP-000156,occupational listing occupation code,6,8,0.49,OPR-000013,Domain Specific Operations / Cemetery Operations and Dignity,expression_subfamily,Domain-Specific Operations,0.3128,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000059,filtered_pattern,SP-000157,listing occupation code title,6,8,0.49,OPR-000021,Delivery Location / Destination and Delivery Site,expression_subfamily,Delivery and Logistics,0.3316,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000060,filtered_pattern,SP-000158,occupation code title footnote,6,8,0.49,OPR-000021,Delivery Location / Destination and Delivery Site,expression_subfamily,Delivery and Logistics,0.3273,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000061,filtered_pattern,SP-000159,code title footnote rate,6,8,0.49,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.293,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000062,filtered_pattern,SP-000160,title footnote rate 01000,6,8,0.49,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.2227,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000063,filtered_pattern,SP-000163,for quote,5,8,0.48,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.2471,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000064,filtered_pattern,SP-000164,administered by code,5,9,0.49,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3256,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000065,filtered_pattern,SP-000165,solicitation is,5,8,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.6056,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000066,filtered_pattern,SP-000176,performance work statement,5,14,0.57,OPR-000008,Past Performance Administration,expression_family,Submission and Proposal Management,0.4775,0.2,Performance and Operations,0.2,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000067,filtered_pattern,SP-000181,this solicitation,5,8,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5421,0.3333,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000068,filtered_pattern,SP-000183,to award,5,8,0.48,OPR-000002,Product and Materials,expression_family,Technical Requirements,0.2414,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000069,filtered_pattern,SP-000186,for award,5,8,0.48,OPR-000003,Workforce Management,expression_family,Performance and Operations,0.2897,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000070,filtered_pattern,SP-000198,combined synopsis solicitation,5,9,0.49,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4044,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000071,filtered_pattern,SP-000221,marine corps,5,8,0.48,OPR-000004,Submission Logistics,expression_family,Submission and Proposal Management,0.2625,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000072,filtered_pattern,SP-000222,01000 administrative,5,8,0.48,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.4233,0.0,Document Structure and Administrative Forms,0.1667,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000073,filtered_pattern,SP-000223,administrative support,5,8,0.48,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.4044,0.0,Document Structure and Administrative Forms,0.1667,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000074,filtered_pattern,SP-000231,01020 administrative,5,8,0.48,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.4233,0.0,Document Structure and Administrative Forms,0.1667,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000075,filtered_pattern,SP-000232,administrative assistant,5,8,0.48,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3872,0.0,Document Structure and Administrative Forms,0.1667,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000076,filtered_pattern,SP-000251,rate 01000 administrative,5,9,0.49,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.4667,0.0,Document Structure and Administrative Forms,0.1429,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000077,filtered_pattern,SP-000252,01000 administrative support,5,9,0.49,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3843,0.0,Document Structure and Administrative Forms,0.1429,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000078,filtered_pattern,SP-000253,administrative support and,5,9,0.49,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.4,0.0,Document Structure and Administrative Forms,0.3333,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000079,filtered_pattern,SP-000264,01020 administrative assistant,5,9,0.49,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3698,0.0,Document Structure and Administrative Forms,0.1429,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000080,filtered_pattern,SP-000280,footnote rate 01000 administrative,5,10,0.51,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.4421,0.0,Document Structure and Administrative Forms,0.125,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000081,filtered_pattern,SP-000281,rate 01000 administrative support,5,10,0.51,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.425,0.0,Document Structure and Administrative Forms,0.125,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000082,filtered_pattern,SP-000282,01000 administrative support and,5,10,0.51,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3818,0.0,Document Structure and Administrative Forms,0.2857,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000083,filtered_pattern,SP-000283,administrative support and clerical,5,10,0.51,OPR-000002,Product and Materials,expression_family,Technical Requirements,0.375,0.1667,Document Structure and Administrative Forms,0.2857,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000084,filtered_pattern,SP-000303,proposal volume,4,12,0.52,OPR-000019,Proposal Clarification / Proposal Volume Clarification,expression_subfamily,Submission and Proposal Management,0.774,0.6667,Submission and Proposal Management,0.2,specialization_candidate,partial_registry_overlap,2026-06-27 18:48:00
SPRA-000085,filtered_pattern,SP-000306,in the solicitation,4,8,0.46,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.495,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000086,filtered_pattern,SP-000324,applies to amendments,4,8,0.46,OPR-000002,Product and Materials,expression_family,Technical Requirements,0.3,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000087,filtered_pattern,SP-000325,to amendments of,4,8,0.46,OPR-000003,Workforce Management,expression_family,Performance and Operations,0.3111,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000088,filtered_pattern,SP-000326,amendments of solicitations,4,11,0.51,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.35,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000089,filtered_pattern,SP-000328,above numbered solicitation,4,8,0.46,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.425,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000090,filtered_pattern,SP-000329,numbered solicitation is,4,8,0.46,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4794,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000091,filtered_pattern,SP-000330,solicitation is amended,4,8,0.46,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5841,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000092,filtered_pattern,SP-000337,only applies to amendments,4,9,0.48,OPR-000022,Amendment Handling / Offer Amendment Change Procedure,expression_subfamily,Submission and Proposal Management,0.2909,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000093,filtered_pattern,SP-000338,applies to amendments of,4,9,0.48,OPR-000022,Amendment Handling / Offer Amendment Change Procedure,expression_subfamily,Submission and Proposal Management,0.2987,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000094,filtered_pattern,SP-000339,to amendments of solicitations,4,12,0.52,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.3294,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000095,filtered_pattern,SP-000340,the above numbered solicitation,4,9,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.3831,0.2,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000096,filtered_pattern,SP-000341,above numbered solicitation is,4,9,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4169,0.2,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000097,filtered_pattern,SP-000342,numbered solicitation is amended,4,9,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4826,0.2,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000098,filtered_pattern,SP-000343,solicitation is amended as,4,9,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.5664,0.2,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000099,filtered_pattern,SP-000350,of this amendment,4,8,0.46,OPR-000003,Workforce Management,expression_family,Performance and Operations,0.3405,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000100,filtered_pattern,SP-000357,to the solicitation,4,8,0.46,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.495,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000101,filtered_pattern,SP-000379,to award a,4,8,0.46,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.28,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000102,filtered_pattern,SP-000383,award a contract,4,8,0.46,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.3622,0.25,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000103,filtered_pattern,SP-000392,hills national cemetery,4,8,0.46,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.3417,0.25,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000104,filtered_pattern,SP-000393,black hills national cemetery,4,9,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.336,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000105,filtered_pattern,SP-000406,affairs national cemetery,4,8,0.46,OPR-000006,Cemetery Operations,expression_family,Performance and Operations,0.3295,0.25,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000106,filtered_pattern,SP-000410,veterans affairs national cemetery,4,9,0.48,OPR-000008,Past Performance Administration,expression_family,Submission and Proposal Management,0.3015,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000107,filtered_pattern,SP-000411,affairs national cemetery administration,4,12,0.52,OPR-000005,Contract Administration,expression_family,Delivery and Logistics,0.5044,0.2,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000108,filtered_pattern,SP-000420,synopsis solicitation for,4,8,0.46,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.4707,0.25,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000109,filtered_pattern,SP-000428,a combined synopsis solicitation,4,9,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.377,0.2,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000110,filtered_pattern,SP-000429,combined synopsis solicitation for,4,9,0.48,OPR-000009,Solicitation Metadata,expression_family,Acquisition Strategy,0.3909,0.2,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000111,filtered_pattern,SP-000430,accordance with the format,4,9,0.48,OPR-000008,Past Performance Administration,expression_family,Submission and Proposal Management,0.3193,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000112,filtered_pattern,SP-000442,request for information,4,13,0.54,OPR-000008,Past Performance Administration,expression_family,Submission and Proposal Management,0.337,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000113,filtered_pattern,SP-000499,payment registration,4,12,0.52,OPR-000010,Proposal Administration,expression_family,Submission and Proposal Management,0.4233,0.0,,0.0,weak_alignment_review,weak_registry_overlap,2026-06-27 18:48:00
SPRA-000114,filtered_pattern,SP-000505,far and dosar,4,8,0.46,OPR-000007,Delivery and Logistics,expression_family,Delivery and Logistics,0.38,0.2,Commercial and Pricing,0.2,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000115,filtered_pattern,SP-000513,quote for the,4,8,0.46,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.3316,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
SPRA-000116,filtered_pattern,SP-000520,marine corps base,4,8,0.46,OPR-000011,Document Forms and Tables,expression_family,Document Structure and Administrative Forms,0.3,0.0,,0.0,new_concept_candidate,no_strong_registry_alignment,2026-06-27 18:48:00
