staging_node_id,semantic_object_v3_id,semantic_object_id,node_type,canonical_name,domain_name,confidence,graph_status,population_status,source_registry,created_at
KGSTN-000015,SPO3-000008,SPO2-000008,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,0.74,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000016,SPO3-000009,SPO2-000009,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,0.704,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000017,SPO3-000010,SPO2-000010,Supplier Qualification,Past Performance,Supplier Eligibility and Qualifications,0.734,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000018,SPO3-000011,SPO2-000011,Acquisition Metadata,Request for Information,Acquisition Strategy,0.761,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000019,SPO3-000012,SPO2-000012,Administrative Service Labor Category,Administrative Support and Clerical,Performance and Operations,0.76,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000020,SPO3-000013,SPO2-000013,Proposal Structure,Proposal Volume,Submission and Proposal Management,0.719,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000021,SPO3-000015,SPO2-000015,Acquisition Metadata,Combined Synopsis Solicitation,Acquisition Strategy,0.769,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000022,SPO3-000016,SPO2-000016,Supplier Qualification,Small Business Set-Aside,Supplier Eligibility and Qualifications,0.706,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000023,SPO3-000018,SPO2-000018,Delivery Requirement,Place of Performance,Delivery and Logistics,0.74,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000024,SPO3-000019,SPO2-000019,Acquisition Metadata,Method of Solicitation,Acquisition Strategy,0.718,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000025,SPO3-000020,SPO2-000020,Acquisition Metadata,Request for Proposal,Acquisition Strategy,0.743,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000026,SPO3-000021,SPO2-000021,Technical Requirement,Statement of Work,Technical Requirements,0.727,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000027,SPO3-000027,SPO2-000030,Procurement Document Artifact,Amendment Copy Requirement,Document Structure and Administrative Forms,0.78,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000028,SPO3-000030,SPO2-000033,Proposal Document Artifact,Proposal Default Index,Document Structure and Administrative Forms,0.72,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000029,SPO3-000031,SPO2-000035,Acquisition Metadata,Request for Quotation,Acquisition Strategy,0.712,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
KGSTN-000030,SPO3-000032,SPO2-000036,Pricing Structure,Payment and Invoice,Commercial and Pricing,0.701,graph_candidate,candidate_for_node_build,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,2026-06-29 03:08:43
