semantic_object_id,semantic_object_type_id,semantic_object_type,canonical_name,domain_id,domain_name,subdomain_name,intent,lifecycle_state,evidence_count,supporting_canonical_expression_ids,supporting_expression_names,semantic_rule_ids,official_registry_id,ontology_domain_id,knowledge_graph_node_id,embedding_id,confidence,governance_status,pkv_version,created_at,updated_at
SPO2-000020,SOT-000015,Acquisition Metadata,Request for Proposal,PDO-ACQ-001,Acquisition Strategy,,Solicitation Method,candidate,1,CPX2-000036,Request for Proposal,SRL-000025,,PDO-ACQ-001,,,0.743,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000021,SOT-000009,Technical Requirement,Statement of Work,PDO-TECH-001,Technical Requirements,,Technical Requirement,candidate,1,CPX2-000038,Statement of Work,SRL-000015,,PDO-TECH-001,,,0.727,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000022,,Award Phrase,Award Will Be Made,,Evaluation and Source Selection,,Recognized Semantic Entity,candidate,1,CPX2-000046,Award A Contract,,,,,,0.82,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000023,,Military Installation,Marine Corps Base Camp Lejeune,,Domain-Specific Operations,,Recognized Semantic Entity,candidate,1,CPX2-000048,Corps Base Camp Lejeune,,,,,,0.92,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000024,,Military Installation,Marine Corps Base Camp Lejeune,,Domain-Specific Operations,,Recognized Semantic Entity,candidate,1,CPX2-000051,Marine Corps Base Camp,,,,,,0.92,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000025,,Military Organization,United States Army,,Domain-Specific Operations,,Recognized Semantic Entity,candidate,1,CPX2-000059,Army Mil Proposal Default,,,,,,0.82,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000026,,Contract Type Fragment,Award a Firm Fixed Price Contract,,Commercial and Pricing,,Recognized Semantic Entity,candidate,1,CPX2-000060,Award A Firm Fixed,,,,,,0.84,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000027,,Award Phrase,Award Will Be Made,,Evaluation and Source Selection,,Recognized Semantic Entity,candidate,1,CPX2-000061,Award Will Be Made,,,,,,0.82,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000028,,Military Organization,United States Army,,Domain-Specific Operations,,Recognized Semantic Entity,candidate,1,CPX2-000062,Chess Army Mil Proposal,,,,,,0.82,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000029,,Military Organization,United States Marine Corps,,Domain-Specific Operations,,Recognized Semantic Entity,candidate,1,CPX2-000063,Cl Marine Corps Base,,,,,,0.86,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000030,,Procurement Document Artifact,Amendment Copy Requirement,,Document Structure and Administrative Forms,,Recognized Semantic Entity,candidate,1,CPX2-000064,Copies Of The Amendment,,,,,,0.78,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000031,,Regulation Set,FAR and DOSAR Provisions,,"Legal, Compliance, and Labor",,Recognized Semantic Entity,candidate,1,CPX2-000065,Far And Dosar Provisions,,,,,,0.86,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000032,,Federal Agency,Food and Drug Administration,,Acquisition Strategy,,Recognized Semantic Entity,candidate,1,CPX2-000066,Food And Drug Administration,,,,,,0.92,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000033,,Proposal Document Artifact,Proposal Default Index,,Document Structure and Administrative Forms,,Recognized Semantic Entity,candidate,1,CPX2-000067,Mil Proposal Default Index,,,,,,0.72,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000034,,Military Organization,United States Marine Corps,,Domain-Specific Operations,,Recognized Semantic Entity,candidate,1,CPX2-000070,Renovation Cl Marine Corps,,,,,,0.86,entity_recognized,PKV-1.3,2026-06-28 17:16:16,2026-06-28 20:08:49
SPO2-000035,SOT-000015,Acquisition Metadata,Request for Quotation,PDO-ACQ-001,Acquisition Strategy,,Solicitation Method,candidate,1,CPX2-000069,Request for Quotation,SRL-000024,,PDO-ACQ-001,,,0.712,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
SPO2-000036,SOT-000007,Pricing Structure,Payment and Invoice,PDO-COM-001,Commercial and Pricing,,Payment Administration,candidate,1,CPX2-000074,Payment and Invoice,SRL-000013,,PDO-COM-001,,,0.701,review_recommended,PKV-1.3,2026-06-28 17:16:16,2026-06-28 17:16:16
