evaluation_signal_id,atom_id,notice_id,opportunity_title,source_file,group_id,group_type,group_name,signal_type,signal_value,importance_rank,weight_hint,mandatory_context,source_context,confidence
EVAL-000011,ATOM-000008,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,,ungrouped,,factor_ordering,Factor 5,1,signal,unknown,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors. Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors.",0.75
EVAL-000012,ATOM-000009,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,GRP-000003,compliance_package,Compliance Requirements,factor_ordering,factor o,1,signal,yes,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only. Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,0.75
EVAL-000013,ATOM-000010,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,,ungrouped,,factor_ordering,Factor 5,1,signal,unknown,Volume V – Contract Documentation corresponds to Evaluation Factor 5. Volume V – Contract Documentation corresponds to Evaluation Factor 5.,0.75
EVAL-000014,ATOM-000012,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,GRP-000002,evaluation_framework,Evaluation Factors,evaluation_factor,past performance,1,signal,yes,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",0.75
EVAL-000015,ATOM-000018,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Price,1,cost_factor,yes,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote co As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",0.75
EVAL-000016,ATOM-000019,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,price,1,cost_factor,yes,"hese instructions and will be most advantageous to the Government, considering the lowest price technically acce As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",0.75
EVAL-000017,ATOM-000020,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,GRP-000007,pricing_package,Pricing Requirements,evaluation_factor,Price,1,cost_factor,yes,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote co As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",0.75
EVAL-000018,ATOM-000021,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,GRP-000007,pricing_package,Pricing Requirements,evaluation_factor,Price,1,cost_factor,yes,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conform As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",0.75
EVAL-000019,ATOM-000023,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,importance_signal,price and other factors considered,1,cost_factor,yes,"r whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered. The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",0.75
EVAL-000020,ATOM-000023,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,price,1,cost_factor,yes,"r whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered. The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",0.75
EVAL-000021,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Lowest Price Technically Acceptable,1,method,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000022,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,LPTA,1,method,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000023,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,best value,1,method,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000024,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Technically Acceptable,1,method,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000025,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Technical Capability,1,signal,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000026,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Past Performance,1,signal,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000027,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Price,1,cost_factor,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000028,ATOM-000025,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,scoring_rating,Acceptable,1,signal,yes,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000029,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Lowest Price Technically Acceptable,1,method,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000030,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,LPTA,1,method,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000031,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,best value,1,method,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000032,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Technically Acceptable,1,method,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000033,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Technical Capability,1,signal,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000034,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Past Performance,1,signal,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000035,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Price,1,cost_factor,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000036,ATOM-000026,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,scoring_rating,Acceptable,1,signal,yes,"Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000037,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Lowest Price Technically Acceptable,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000038,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,LPTA,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000039,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,best value,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000040,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Technically Acceptable,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000041,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Technical Capability,1,signal,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000042,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Past Performance,1,signal,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000043,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Price,1,cost_factor,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000044,ATOM-000027,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,scoring_rating,Acceptable,1,signal,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000045,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Lowest Price Technically Acceptable,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000046,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,LPTA,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000047,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,best value,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000048,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_method,Technically Acceptable,1,method,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.9
EVAL-000049,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Technical Capability,1,signal,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000050,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Past Performance,1,signal,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000051,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,evaluation_factor,Price,1,cost_factor,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
EVAL-000052,ATOM-000028,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,GRP-000006,evaluation_framework,Evaluation Factors,scoring_rating,Acceptable,1,signal,yes,"Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Re a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.75
