plu_classification_id,grounded_statement_id,notice_id,opportunity_title,source_file,plu_id,context_family,context_type,canonical_object,downstream_route,matched_pattern,confidence,classification_status,source_statement,created_at
PLUC-000017,GSTMT-000020,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-24 22:37:18
PLUC-000018,GSTMT-000021,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-24 22:37:18
PLUC-000019,GSTMT-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county, State and ZIP Code) (X) 8.",2026-06-24 22:37:18
PLUC-000020,GSTMT-000026,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 22:37:18
PLUC-000021,GSTMT-000032,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,PLU-SUP-001,Supplier Qualification,Past Performance,Past Performance,Supplier Capability Intelligence,questionnaire,0.86,classified,Questionnaire must be submitted via email directly to the Contracting Officer and Contract Specialist from a corporate email account.,2026-06-24 22:37:18
PLUC-000022,GSTMT-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,past performance,0.86,classified,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",2026-06-24 22:37:18
PLUC-000023,GSTMT-000034,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,past performance,0.86,classified,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",2026-06-24 22:37:18
PLUC-000024,GSTMT-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,ADMINISTERED BY (If other than Item 6) CODE 8.,2026-06-24 22:37:18
PLUC-000025,GSTMT-000039,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 22:37:18
PLUC-000026,GSTMT-000044,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",2026-06-24 22:37:18
PLUC-000027,GSTMT-000045,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",2026-06-24 22:37:18
PLUC-000028,GSTMT-000050,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,0.86,classified,Consideration must be made for local holidays due to local labor laws to maintain this schedule.,2026-06-24 22:37:18
PLUC-000029,GSTMT-000054,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-SUP-005,Supplier Qualification,Key Personnel,Key Personnel,Staffing Intelligence,staffing,0.86,classified,"and all necessary staffing, management and maintenance required to perform these services.",2026-06-24 22:37:18
PLUC-000030,GSTMT-000056,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government,0.86,classified,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",2026-06-24 22:37:18
PLUC-000031,GSTMT-000057,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government,0.86,classified,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",2026-06-24 22:37:18
PLUC-000032,GSTMT-000058,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government,0.86,classified,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",2026-06-24 22:37:18
PLUC-000033,GSTMT-000059,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-ADM-003,Delivery and Administration,Schedule,Schedule,Schedule Intelligence,schedule,0.86,classified,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,2026-06-24 22:37:18
PLUC-000034,GSTMT-000060,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-COM-007,Commercial,Payment Terms,Payment Terms,Contract Administration,invoice,0.86,classified,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,2026-06-24 22:37:18
PLUC-000035,GSTMT-000061,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-COM-004,Commercial,Unit Price,Unit Price,Pricing Intelligence,unit price,0.86,classified,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-24 22:37:18
PLUC-000036,GSTMT-000062,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,PLU-COM-004,Commercial,Unit Price,Unit Price,Pricing Intelligence,unit price,0.86,classified,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-24 22:37:18
PLUC-000037,GSTMT-000063,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,basis for award,0.86,classified,52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.,2026-06-24 22:37:18
PLUC-000038,GSTMT-000064,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,most advantageous to the government,0.86,classified,"The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",2026-06-24 22:37:18
PLUC-000039,GSTMT-000066,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,lowest price technically acceptable,0.86,classified,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",2026-06-24 22:37:18
PLUC-000040,GSTMT-000067,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,lowest price technically acceptable,0.86,classified,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",2026-06-24 22:37:18
PLUC-000041,GSTMT-000068,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,technical capability,0.86,classified,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",2026-06-24 22:37:18
PLUC-000042,GSTMT-000069,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,technical capability,0.86,classified,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",2026-06-24 22:37:18
PLUC-000043,GSTMT-000070,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,award will be made,0.86,classified,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable” rating in the technical capability assessment.",2026-06-24 22:37:18
PLUC-000044,GSTMT-000071,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-001,Evaluation,Evaluation Framework,Evaluation Framework,Evaluation Intelligence,award will be made,0.86,classified,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable” rating in the technical capability assessment.",2026-06-24 22:37:18
PLUC-000045,GSTMT-000072,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-006,Evaluation,Evaluation Constraint,Evaluation Constraint,Evaluation Intelligence,will not receive higher ratings,0.86,classified,Quotes that exceed the evaluation criteria will not receive higher ratings.,2026-06-24 22:37:18
PLUC-000046,GSTMT-000074,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,PLU-EVAL-003,Evaluation,Evaluation Factor,Evaluation Factor,Evaluation Intelligence,price.*factor,0.86,classified,The LPTA source selection process does not permit tradeoffs between price and non-price factors.,2026-06-24 22:37:18
PLUC-000047,GSTMT-000077,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,PLU-COMP-008,Legal and Compliance,Cybersecurity,Cybersecurity,Risk Intelligence,nist,0.86,classified,ADMINISTERED BY (If other than Item 6) CODE 8.,2026-06-24 22:37:18
PLUC-000048,GSTMT-000080,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,PLU-PROP-006,Proposal,Amendment Acknowledgement,Amendment Acknowledgement,Proposal Compliance,acknowledge.*amendment,0.86,classified,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-24 22:37:18
PLUC-000049,GSTMT-000085,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,delivered prices,0.86,classified,REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,2026-06-24 22:37:18
PLUC-000050,GSTMT-000088,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-SUP-008,Supplier Qualification,Registration,Registration,Eligibility Intelligence,\bsam\b,0.86,classified,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",2026-06-24 22:37:18
PLUC-000051,GSTMT-000090,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,0.86,classified,PRICE LISTING/GSA Is this a PRICE LISTED item?,2026-06-24 22:37:18
PLUC-000052,GSTMT-000091,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,0.86,classified,"If Yes, include copy of price list with your quote.",2026-06-24 22:37:18
PLUC-000053,GSTMT-000092,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,PLU-COM-001,Commercial,Pricing Structure,Pricing Structure,Pricing Intelligence,price list,0.86,classified,"If Yes, include copy of price list with your quote.",2026-06-24 22:37:18
PLUC-000054,GSTMT-000094,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,line item,0.86,classified,CONTRACT DATA REQUIREMENTS LIST (2 DATA ITEMS) A.CONTRACT LINE ITEM NO.,2026-06-24 22:37:18
PLUC-000055,GSTMT-000095,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-META-002,Metadata and Structure,Exhibit,Exhibit,Document Structure Intelligence,exhibit,0.86,classified,B.EXHIBIT C.CATEGORY 0001 A TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.,2026-06-24 22:37:18
PLUC-000056,GSTMT-000096,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certification,0.86,classified,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,2026-06-24 22:37:18
PLUC-000057,GSTMT-000097,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,materials?,0.86,classified,2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8.,2026-06-24 22:37:18
PLUC-000058,GSTMT-000101,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certification,0.86,classified,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,2026-06-24 22:37:18
PLUC-000059,GSTMT-000102,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-SUP-003,Supplier Qualification,Certification,Certification,Supplier Capability Intelligence,certification,0.86,classified,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,2026-06-24 22:37:18
PLUC-000060,GSTMT-000103,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,PLU-TECH-004,Technical,Product Requirement,Product Requirement,Product Intelligence,materials?,0.86,classified,3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP.,2026-06-24 22:37:18
PLUC-000061,GSTMT-000105,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,PLU-COM-003,Commercial,Price Schedule,Price Schedule,Pricing Intelligence,line item,0.86,classified,CONTRACT DATA REQUIREMENTS LIST (2 DATA ITEMS) A.CONTRACT LINE ITEM NO.,2026-06-24 22:37:18
