consolidated_signal_id,notice_id,opportunity_title,signal_type,canonical_value,occurrence_count,importance_rank,weight_hints,mandatory_contexts,evidence_quality,confidence,evidence_examples
CEVAL-000025,d4b0cdaa6b81462db03813b232d2f491,NPSC Physician Services at the NNMC,evaluation_factor,Price,2,1,cost_factor,yes,medium,0.75,Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs. Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs. || Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs. Description Quantity Unit Price Extended Price 1 NPSC Physician Services - Base 520 hrs.
CEVAL-000020,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,evaluation_factor,Price,1,1,cost_factor,yes,low,0.75,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror wh The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria)."
CEVAL-000026,cbb1a9af3c004dc68e36a311cbef0ff9,Preventive Maintenance Services for Anti-Climb Bi-folding Gates,evaluation_factor,Price,1,1,cost_factor,yes,low,0.75,"Is the contractor expected to purchase new software licenses within the fixed-price base rate, or will the Embassy provide existing proprietary software tools to our technic Is the contractor expected to purchase new software licenses within the fixed-price base rate, or will the Embassy provide existing proprietary software tools to our technicians on-site?"
CEVAL-000032,b1c5dab7c7e14227b62fa4e78e478d2a,Repair BEQ HP135,evaluation_factor,Price,1,1,cost_factor,yes,low,0.75,"02/23 PRICE AND PAYMENT PROCEDURES 01 30 00 08/25 ADMINISTRATIVE REQUIREMENTS 01 31 23.13 20 05/17, C 02/23 PRICE AND PAYMENT PROCEDURES 01 30 00 08/25 ADMINISTRATIVE REQUIREMENTS 01 31 23.13 20 05/17, CHG 7:"
CEVAL-000001,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,evaluation_factor,Past Performance,6,1,signal,yes,medium,0.75,Volume I – Administrative Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. || Volume II – Technical Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. || Volume III – Past Performance • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
CEVAL-000002,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,evaluation_factor,Price,5,1,cost_factor,yes,medium,0.75,Volume I – Administrative Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. || Volume II – Technical Proposal • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. || Volume III – Past Performance • Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
CEVAL-000027,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,evaluation_factor,Price,1,1,cost_factor,yes,low,0.75,The Government intends to award a Firm-Fixed Price contract. The Government intends to award a Firm-Fixed Price contract.
CEVAL-000019,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,evaluation_factor,Price,4,1,cost_factor,yes,medium,0.75,"REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: || PRICE LISTING/GSA Is this a PRICE LISTED item? PRICE LISTING/GSA Is this a PRICE LISTED item? || If Yes, include copy of price list with your quote. If Yes, include copy of price list with your quote."
CEVAL-000008,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,evaluation_method,Best Value,7,1,method,yes,high,0.9,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000007,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,evaluation_method,LPTA,16,1,method,yes,high,0.9,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000017,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,evaluation_method,Source Selection,2,1,method,yes,medium,0.9,The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors. || The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors.
CEVAL-000009,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,evaluation_method,Technically Acceptable,7,1,method,yes,high,0.9,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
CEVAL-000016,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,evaluation_method,Tradeoff,2,1,method,yes,medium,0.9,The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors. || The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors.
CEVAL-000029,c502adb5aeb8463f88d90c9be98eed6e,N--George Washington Birthplace National Monument- RE,evaluation_method,Source Selection,1,1,method,yes,low,0.9,Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is in Department of Interior Past Performance Questionnaire (PPQ) Notice to Contractor Information provided in this questionnaire is intended for use as source selection information and as such is deemed Source Selection Sensitive.
CEVAL-000028,cb68614c729145b3835e8326258f5ea2,Shade Structure Canopy,evaluation_method,Best Value,1,1,method,yes,low,0.9,“Award will be made to the offeror who represents the best value to the “Award will be made to the offeror who represents the best value to the
CEVAL-000014,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,factor_ordering,Factor I,3,1,signal,yes,medium,0.75,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and p Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. || e technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. || y factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision."
CEVAL-000003,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,factor_ordering,Factor 5,2,1,signal,unknown,medium,0.75,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors. Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors. || Volume V – Contract Documentation corresponds to Evaluation Factor 5. Volume V – Contract Documentation corresponds to Evaluation Factor 5."
CEVAL-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,factor_ordering,Factor O,1,1,signal,yes,low,0.75,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only. Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.
CEVAL-000013,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,importance_signal,Paramount Consideration,3,5,very_high,yes,medium,0.75,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and p Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. || e technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. || y factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision. Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision."
CEVAL-000006,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,importance_signal,Price And Other Factors Considered,1,1,cost_factor,yes,low,0.75,"r whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered. The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered."
CEVAL-000015,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,pass_fail_gate,No Extra Credit Gate,1,1,gate,yes,low,0.9,Quotes that exceed the evaluation criteria will not receive higher ratings. Quotes that exceed the evaluation criteria will not receive higher ratings.
CEVAL-000018,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,pass_fail_gate,No Tradeoff Gate,2,1,gate,yes,medium,0.9,The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors. || The LPTA source selection process does not permit tradeoffs between price and non-price factors. The LPTA source selection process does not permit tradeoffs between price and non-price factors.
CEVAL-000012,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,scoring_rating,Acceptable,9,1,signal,yes,medium,0.75,"Technical Capability a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Past Performance a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items. || Price This competitive best value selection will be conducted using the Lowest Price Technicall a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items."
