structured_requirement_id,grounded_statement_id,notice_id,opportunity_title,source_file,source_object_type,actor,action,artifact_type,artifact,quantity,condition,mandatory_flag,requirement_statement,structure_confidence
SREQ-000027,GSTMT-000041,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,,proposal_volume,offer,,,unknown,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,0.55
SREQ-000028,GSTMT-000042,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,0.55
SREQ-000029,GSTMT-000043,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,procurement_artifact,,,proposal_volume,offer,,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electr",optional_or_conditional,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electronic",0.65
SREQ-000030,GSTMT-000044,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,certification_requirement,government,,certification_or_standard,nist,,,unknown,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",0.7
SREQ-000031,GSTMT-000048,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,general_requirement_statement,contractor,maintain,staffing_or_personnel,adequate workforce,,within this Performance Work Statement (PWS),yes,The Contractor shall always maintain an adequate workforce for performance of all tasks defined within this Performance Work Statement (PWS).,0.95
SREQ-000032,GSTMT-000049,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,general_requirement_statement,contractor,complete,,,,"Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support",yes,"Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support.",0.85
SREQ-000033,GSTMT-000050,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,general_requirement_statement,,maintain,,,,,yes,Consideration must be made for local holidays due to local labor laws to maintain this schedule.,0.7
SREQ-000034,GSTMT-000052,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,general_requirement_statement,,support,,,,,unknown,"This requirement is for base life support services at Cristobal Colon, formerly known as Fort Sherman, Panama.",0.6
SREQ-000035,GSTMT-000054,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,staffing_requirement,,perform,staffing_or_personnel,staffing,,,yes,"and all necessary staffing, management and maintenance required to perform these services.",0.85
SREQ-000036,GSTMT-000055,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,proposal_instruction,,submit,proposal_volume,quote,,by 15:00 PM CST on 24 June 2026,unknown,2.1 You are invited to submit a quote/offer in response to Solicitation W912CL-26-R- A004 by 15:00 PM CST on 24 June 2026.,0.75
SREQ-000037,GSTMT-000056,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,proposal_instruction,offeror,award,proposal_volume,quote,,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to",unknown,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",0.9
SREQ-000038,GSTMT-000059,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,proposal_instruction,,,proposal_volume,quote,,UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SY,unknown,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,0.55
SREQ-000039,GSTMT-000060,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,general_requirement_statement,,submit,proposal_volume,offer,,UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19,unknown,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,0.75
SREQ-000040,GSTMT-000061,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,evaluation_factor,,,pricing,unit price,,,unknown,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,0.55
SREQ-000041,GSTMT-000063,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation_factor,,award,evaluation_or_award,basis for award,,,unknown,52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.,0.75
SREQ-000042,GSTMT-000064,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation_factor,offeror,award,proposal_volume,offer,,,unknown,"The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",0.9
SREQ-000043,GSTMT-000065,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,proposal_instruction,,evaluate,proposal_volume,quote,,,yes,The following factors shall be used to evaluate quotes:,0.8
SREQ-000044,GSTMT-000066,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,experience_requirement,,,proposal_volume,past performance,,"in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commerci",unknown,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.55
SREQ-000045,GSTMT-000068,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,experience_requirement,,award,proposal_volume,past performance,,,unknown,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",0.75
SREQ-000046,GSTMT-000070,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,proposal_instruction,offeror,award,proposal_volume,quote,,"in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable",unknown,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable” rating in the technical capability assessment.",0.9
SREQ-000047,GSTMT-000072,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,proposal_instruction,,,proposal_volume,quote,,,unknown,Quotes that exceed the evaluation criteria will not receive higher ratings.,0.55
SREQ-000048,GSTMT-000073,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,general_requirement_statement,offeror,meet,proposal_volume,offer,,"If an offeror fails to meet all solicitation requirements, the Government may not make an award to that offeror",optional_or_conditional,"If an offeror fails to meet all solicitation requirements, the Government may not make an award to that offeror.",0.95
SREQ-000049,GSTMT-000074,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation_factor,,,evaluation_or_award,lpta,,,unknown,The LPTA source selection process does not permit tradeoffs between price and non-price factors.,0.55
SREQ-000050,GSTMT-000075,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,proposal_instruction,government,evaluate,proposal_volume,quote,,,unknown,The Government intends to evaluate quotes and award a contract with clarif,0.9
SREQ-000051,GSTMT-000076,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.,0.55
SREQ-000052,GSTMT-000077,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,certification_requirement,,,certification_or_standard,nist,,If other than Item 6) CODE 8,unknown,ADMINISTERED BY (If other than Item 6) CODE 8.,0.5
SREQ-000053,GSTMT-000078,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,AMENDMENT OF SOLICITATION NUMBER 9B.,0.5
SREQ-000054,GSTMT-000079,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.,0.55
SREQ-000055,GSTMT-000080,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,acknowledge,proposal_volume,offer,,"prior to the hour and date specified in the solicitation or as amended, by one of the following methods",yes,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",0.85
SREQ-000056,GSTMT-000081,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,"(a) By completing items 8 and 15, and returning copies of the amendment;",0.55
SREQ-000057,GSTMT-000082,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,,proposal_volume,offer,,,unknown,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,0.55
SREQ-000058,GSTMT-000083,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,,process_artifact,amendment,,,unknown,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,0.55
SREQ-000059,GSTMT-000084,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,procurement_artifact,,,proposal_volume,offer,,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electr",optional_or_conditional,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni",0.65
SREQ-000060,GSTMT-000085,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,evaluation_factor,,provide,,,,,unknown,REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,0.6
SREQ-000061,GSTMT-000086,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,proposal_instruction,,,proposal_volume,quote,,,unknown,______________ Your Quote Reference #______________ Email:,0.5
SREQ-000062,GSTMT-000087,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,proposal_instruction,,,proposal_volume,quote,,,unknown,stephen.p.smith161.civ@us.navy.mil Quotation Valid For _________Days Also send quotes to:,0.55
SREQ-000063,GSTMT-000088,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,general_requirement_statement,offeror,award,proposal_volume,offer,,In accordance with FAR 52,yes,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",0.95
SREQ-000064,GSTMT-000089,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,general_requirement_statement,,award,,,,,yes,Provisions below MUST be filled in to be considered for award.,0.7
SREQ-000065,GSTMT-000090,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,evaluation_factor,,,pricing,price list,,,unknown,PRICE LISTING/GSA Is this a PRICE LISTED item?,0.5
SREQ-000066,GSTMT-000091,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,proposal_instruction,,include,proposal_volume,quote,,"If Yes, include copy of price list with your quote",unknown,"If Yes, include copy of price list with your quote.",0.7
SREQ-000067,GSTMT-000095,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,procurement_artifact,,,process_artifact,exhibit,,,unknown,B.EXHIBIT C.CATEGORY 0001 A TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.,0.55
SREQ-000068,GSTMT-000096,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,certification_requirement,,,certification_or_standard,certificate of compliance,,,unknown,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,0.55
SREQ-000069,GSTMT-000101,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_3.bin,certification_requirement,,,certification_or_standard,chemical & mechanical certification,,,unknown,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,0.55
SREQ-000070,GSTMT-000106,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,procurement_artifact,,,process_artifact,exhibit,,,unknown,B.EXHIBIT C.CATEGORY 0002 B TDP TM ______ OTHER______ D.SYSTEM/ITEM E.CONTRACT/PR NO.,0.55
SREQ-000071,GSTMT-000107,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,certification_requirement,,,certification_or_standard,certificate of compliance,,,unknown,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,0.55
SREQ-000072,GSTMT-000112,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_5.bin,certification_requirement,,,certification_or_standard,chemical & mechanical certification,,,unknown,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,0.55
SREQ-000073,GSTMT-000116,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,certification_requirement,,,certification_or_standard,nist,,,unknown,ADMINISTERED BY CODE 36C246 See Delivery Schedule Department of Veterans Affairs Network Contracting Office 6 100 Emancipation Dr.,0.55
SREQ-000074,GSTMT-000117,6b408e7c185a4f70a8ed51e4fb0b3c2b,7195--Solar Shades - B3 PACT,6b408e7c185a4f70a8ed51e4fb0b3c2b_1.bin,proposal_instruction,,,proposal_volume,quote,,,unknown,GENERAL INFORMATION CONTACT INFORMATION ADDITIONAL INFORMATION DESCRIPTION This pre-solicitation notice is not a request for formal proposals or quotes.,0.55
SREQ-000075,GSTMT-000120,6934753cfbdf45f1b93928b67e93355a,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,6934753cfbdf45f1b93928b67e93355a_1.bin,evaluation_factor,offeror,award,proposal_volume,offer,,,unknown,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria).",0.9
SREQ-000076,GSTMT-000121,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,proposal_instruction,,,proposal_volume,quote,,,unknown,"This notice does NOT constitute a request for proposals, request for quote, or invitation for bid.",0.55
SREQ-000077,GSTMT-000122,5f4071db397f4714a047d288a033de87,6515--Dental Panoramic Machine,5f4071db397f4714a047d288a033de87_1.bin,general_requirement_statement,vendor,provide,,,,,unknown,The VHA Network Contracting Office 6 (NCO 6) is conducting a market survey to find qualified vendors who can provide the following item:,0.75
