taxonomy_id,family,category,canonical_name,aliases,status,created_at
TAX-000081,procurement_method,acquisition_strategy,Open Competition,,approved,2026-06-22 00:03:57
TAX-000082,procurement_method,acquisition_strategy,Sole Source,,approved,2026-06-22 00:03:57
TAX-000083,procurement_method,acquisition_strategy,Limited Tendering,,approved,2026-06-22 00:03:57
TAX-000084,procurement_method,acquisition_strategy,Set Aside,,approved,2026-06-22 00:03:57
TAX-000085,procurement_method,acquisition_strategy,Best Value,,approved,2026-06-22 00:03:57
TAX-000086,procurement_method,acquisition_strategy,Lowest Price Technically Acceptable,,approved,2026-06-22 00:03:57
TAX-000087,compliance_clause,regulatory,FAR,,approved,2026-06-22 00:03:57
TAX-000088,compliance_clause,regulatory,DFARS,,approved,2026-06-22 00:03:57
TAX-000089,compliance_clause,regulatory,Section 889,,approved,2026-06-22 00:03:57
TAX-000090,compliance_clause,regulatory,Service Contract Act,,approved,2026-06-22 00:03:57
TAX-000091,compliance_clause,regulatory,Davis Bacon Act,,approved,2026-06-22 00:03:57
TAX-000092,compliance_clause,regulatory,OSHA,,approved,2026-06-22 00:03:57
