rejection_id,source_type,source_id,pattern_text,rejection_reason,frequency,quality_score,created_at
SPNR-000188,semantic_pattern,SP-000267,service representative i,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000189,semantic_pattern,SP-000268,01042 customer service,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000190,semantic_pattern,SP-000269,service representative ii,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000191,semantic_pattern,SP-000270,01043 customer service,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000192,semantic_pattern,SP-000271,service representative iii,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000193,semantic_pattern,SP-000272,01051 data entry,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000194,semantic_pattern,SP-000273,entry operator i,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000195,semantic_pattern,SP-000274,01052 data entry,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000196,semantic_pattern,SP-000275,entry operator ii,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000197,semantic_pattern,SP-000276,01060 dispatcher motor,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000198,semantic_pattern,SP-000277,dispatcher motor vehicle,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000199,semantic_pattern,SP-000278,01070 document preparation,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000200,semantic_pattern,SP-000279,document preparation clerk,low_procurement_signal_score,5,6,2026-06-27 17:34:06
SPNR-000201,semantic_pattern,SP-000284,support and clerical occupations,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000202,semantic_pattern,SP-000285,and clerical occupations 01011,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000203,semantic_pattern,SP-000286,clerical occupations 01011 accounting,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000204,semantic_pattern,SP-000287,occupations 01011 accounting clerk,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000205,semantic_pattern,SP-000288,01011 accounting clerk i,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000206,semantic_pattern,SP-000289,01012 accounting clerk ii,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000207,semantic_pattern,SP-000290,01013 accounting clerk iii,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000208,semantic_pattern,SP-000291,01041 customer service representative,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000209,semantic_pattern,SP-000292,customer service representative i,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000210,semantic_pattern,SP-000293,01042 customer service representative,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000211,semantic_pattern,SP-000294,customer service representative ii,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000212,semantic_pattern,SP-000295,01043 customer service representative,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000213,semantic_pattern,SP-000296,customer service representative iii,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000214,semantic_pattern,SP-000297,01051 data entry operator,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000215,semantic_pattern,SP-000298,data entry operator i,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000216,semantic_pattern,SP-000299,01052 data entry operator,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000217,semantic_pattern,SP-000300,data entry operator ii,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000218,semantic_pattern,SP-000301,01060 dispatcher motor vehicle,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000219,semantic_pattern,SP-000302,01070 document preparation clerk,low_procurement_signal_score,5,7,2026-06-27 17:34:06
SPNR-000220,semantic_pattern,SP-000304,reference to,weak_bigram_without_procurement_signal,4,4,2026-06-27 17:34:06
SPNR-000221,semantic_pattern,SP-000305,shall submit,weak_bigram_without_procurement_signal,4,4,2026-06-27 17:34:06
SPNR-000222,semantic_pattern,SP-000307,provided in the,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000223,semantic_pattern,SP-000308,unless block,low_procurement_signal_score,4,4,2026-06-27 17:34:06
SPNR-000224,semantic_pattern,SP-000309,see schedule,low_procurement_signal_score,4,4,2026-06-27 17:34:06
SPNR-000225,semantic_pattern,SP-000310,this item,weak_bigram_without_procurement_signal,4,4,2026-06-27 17:34:06
SPNR-000226,semantic_pattern,SP-000311,item only,low_procurement_signal_score,4,4,2026-06-27 17:34:06
SPNR-000227,semantic_pattern,SP-000312,only applies,low_procurement_signal_score,4,4,2026-06-27 17:34:06
SPNR-000228,semantic_pattern,SP-000313,applies to,weak_bigram_without_procurement_signal,4,4,2026-06-27 17:34:06
SPNR-000229,semantic_pattern,SP-000314,to amendments,low_procurement_signal_score,4,7,2026-06-27 17:34:06
SPNR-000230,semantic_pattern,SP-000315,amendments of,low_procurement_signal_score,4,7,2026-06-27 17:34:06
SPNR-000231,semantic_pattern,SP-000316,of solicitations,low_procurement_signal_score,4,7,2026-06-27 17:34:06
SPNR-000232,semantic_pattern,SP-000317,above numbered,low_procurement_signal_score,4,4,2026-06-27 17:34:06
SPNR-000233,semantic_pattern,SP-000318,numbered solicitation,low_procurement_signal_score,4,7,2026-06-27 17:34:06
SPNR-000234,semantic_pattern,SP-000319,is amended,weak_bigram_without_procurement_signal,4,4,2026-06-27 17:34:06
SPNR-000235,semantic_pattern,SP-000320,amended as,weak_bigram_without_procurement_signal,4,4,2026-06-27 17:34:06
SPNR-000236,semantic_pattern,SP-000321,this item only,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000237,semantic_pattern,SP-000322,item only applies,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000238,semantic_pattern,SP-000323,only applies to,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000239,semantic_pattern,SP-000327,the above numbered,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000240,semantic_pattern,SP-000331,is amended as,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000241,semantic_pattern,SP-000332,amended as set,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000242,semantic_pattern,SP-000333,forth in item,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000243,semantic_pattern,SP-000334,in item 14,low_procurement_signal_score,4,5,2026-06-27 17:34:06
SPNR-000244,semantic_pattern,SP-000335,this item only applies,low_procurement_signal_score,4,6,2026-06-27 17:34:06
SPNR-000245,semantic_pattern,SP-000336,item only applies to,low_procurement_signal_score,4,6,2026-06-27 17:34:06
SPNR-000246,semantic_pattern,SP-000344,is amended as set,low_procurement_signal_score,4,6,2026-06-27 17:34:06
