expression_id,canonical_statement_id,expression_family,expression_type,expression_intent,matched_pattern,expression_confidence,is_recurring_expression,is_boilerplate_candidate,source_count,duplicate_count,cluster_size,opportunity_title_sample,expression_text,created_at
PEL-000033,CGS-000033,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,"Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support.",2026-06-26 09:36:38
PEL-000034,CGS-000034,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,Consideration must be made for local holidays due to local labor laws to maintain this schedule.,2026-06-26 09:36:38
PEL-000035,CGS-000035,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,"Further consideration must be given for nationalities that are allowed to work within the Panama City, Panama/ Joint Security Cooperation Group- Panama (JSCG-P), due to limitations imposed by the local Government on the number of specific nationalities which are allowed to work within the country at any given time.",2026-06-26 09:36:38
PEL-000036,CGS-000036,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,"This requirement is for base life support services at Cristobal Colon, formerly known as Fort Sherman, Panama.",2026-06-26 09:36:38
PEL-000037,CGS-000037,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,bulk fuel operations (limited to generators supporting site power requirements);,2026-06-26 09:36:38
PEL-000038,CGS-000038,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,"and all necessary staffing, management and maintenance required to perform these services.",2026-06-26 09:36:38
PEL-000039,CGS-000039,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,2.1 You are invited to submit a quote/offer in response to Solicitation W912CL-26-R- A004 by 15:00 PM CST on 24 June 2026.,2026-06-26 09:36:38
PEL-000040,CGS-000040,Evaluation,Best Value Award Basis,Source Selection,most advantageous to the government,0.9,yes,no,3,2,3,JSCG-P Cristobal Colon Base Life Support,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",2026-06-26 09:36:38
PEL-000041,CGS-000041,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,JSCG-P Cristobal Colon Base Life Support,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.,2026-06-26 09:36:38
PEL-000042,CGS-000042,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,JSCG-P Cristobal Colon Base Life Support,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.,2026-06-26 09:36:38
PEL-000043,CGS-000043,Commercial,Pricing Schedule,Pricing,unit price,0.9,yes,no,4,3,4,JSCG-P Cristobal Colon Base Life Support,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee,2026-06-26 09:36:38
PEL-000044,CGS-000044,Evaluation,Evaluation Navigation,Document Navigation,52\.212-2,0.9,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.,2026-06-26 09:36:38
PEL-000045,CGS-000045,Evaluation,Best Value Award Basis,Source Selection,most advantageous to the government,0.9,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,"The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",2026-06-26 09:36:38
PEL-000046,CGS-000046,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,The following factors shall be used to evaluate quotes:,2026-06-26 09:36:38
PEL-000047,CGS-000047,Evaluation,LPTA Award Basis,Source Selection,lowest price technically acceptable,0.9,yes,no,2,1,2,JSCG-P Cristobal Colon Base Life Support,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",2026-06-26 09:36:38
PEL-000048,CGS-000048,Proposal,Proposal Volume Structure,Submission Structure,past performance,0.9,yes,no,2,1,2,JSCG-P Cristobal Colon Base Life Support,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",2026-06-26 09:36:38
PEL-000049,CGS-000049,Evaluation,LPTA Award Basis,Source Selection,lowest evaluated price.*acceptable,0.9,yes,no,2,1,2,JSCG-P Cristobal Colon Base Life Support,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an ""Acceptable"" rating in the technical capability assessment.",2026-06-26 09:36:38
PEL-000050,CGS-000050,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,Quotes that exceed the evaluation criteria will not receive higher ratings.,2026-06-26 09:36:38
PEL-000051,CGS-000051,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,"If an offeror fails to meet all solicitation requirements, the Government may not make an award to that offeror.",2026-06-26 09:36:38
PEL-000052,CGS-000052,Evaluation,LPTA Award Basis,Source Selection,\blpta\b,0.9,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,The LPTA source selection process does not permit tradeoffs between price and non-price factors.,2026-06-26 09:36:38
PEL-000053,CGS-000053,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,JSCG-P Cristobal Colon Base Life Support,The Government intends to evaluate quotes and award a contract with clarif,2026-06-26 09:36:38
PEL-000054,CGS-000054,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,JSCG-P Cristobal Colon Base Life Support,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electroni",2026-06-26 09:36:38
PEL-000055,CGS-000055,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Socket Head Cap Screws,REQUEST FOR QUOTATION SPMYM326Q1137 ** THIS IS NOT AN ORDER ** PLEASE PROVIDE DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR:,2026-06-26 09:36:38
PEL-000056,CGS-000056,Administrative,Short Administrative Expression,Review,,0.45,yes,no,2,1,2,Socket Head Cap Screws,___ Your Quote Reference #___ Email:,2026-06-26 09:36:38
PEL-000057,CGS-000057,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Socket Head Cap Screws,stephen.p.smith161.civ@us.navy.mil Quotation Valid For ___Days Also send quotes to:,2026-06-26 09:36:38
PEL-000058,CGS-000058,Supplier Qualification,SAM Registration,Eligibility,\bsam\b,0.9,yes,no,2,1,2,Socket Head Cap Screws,"DLA-KME-QUOTATIONS@DLA.MIL *** PLEASE FILL OUT THIS FORM COMPLETELY*** ** In accordance with FAR 52.204-7(b)(1), an Offeror is required to be registered in SAM when submitting an offer or quotation, and must be listed as active, to prevent unduly delaying award.",2026-06-26 09:36:38
PEL-000059,CGS-000059,Administrative,Short Administrative Expression,Review,,0.45,yes,no,2,1,2,Socket Head Cap Screws,Provisions below MUST be filled in to be considered for award.,2026-06-26 09:36:38
PEL-000060,CGS-000060,Administrative,Short Administrative Expression,Review,,0.45,yes,no,2,1,2,Socket Head Cap Screws,PRICE LISTING/GSA Is this a PRICE LISTED item?,2026-06-26 09:36:38
PEL-000061,CGS-000061,Administrative,Short Administrative Expression,Review,,0.45,yes,no,4,3,4,Socket Head Cap Screws,"If Yes, include copy of price list with your quote.",2026-06-26 09:36:38
PEL-000062,CGS-000062,Administrative,Short Administrative Expression,Review,,0.45,yes,no,2,1,2,Socket Head Cap Screws,"___ IF NOT USA, DUTY INCLUDED IN PRICE Yes ___ No ___ SHIP TO:",2026-06-26 09:36:38
PEL-000063,CGS-000063,Commercial,Pricing Schedule,Pricing,line item,0.9,yes,no,2,1,2,Socket Head Cap Screws,CONTRACT DATA REQUIREMENTS LIST (2 DATA ITEMS) A.CONTRACT LINE ITEM NO.,2026-06-26 09:36:38
PEL-000064,CGS-000064,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Socket Head Cap Screws,B.EXHIBIT C.CATEGORY 0001 A TDP TM ___ OTHER___ D.SYSTEM/ITEM E.CONTRACT/PR NO.,2026-06-26 09:36:38
PEL-000065,CGS-000065,Supplier Qualification,Certification Requirement,Eligibility,certificate of compliance,0.9,yes,no,2,1,2,Socket Head Cap Screws,SUBTITLE CERTIFICATION OF QUALITY A001 CERTIFICATE OF COMPLIANCE COMPLIANCE 4.,2026-06-26 09:36:38
PEL-000066,CGS-000066,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Socket Head Cap Screws,2 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED DD One Time With Material DRAFT FINAL A 8.,2026-06-26 09:36:38
PEL-000067,CGS-000067,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Socket Head Cap Screws,CODE 11.AS OF DATE 13.DATE OF REG REPRO SUBSEQUENT 133.2 0 1 0 SUBMISSION N/A N/A N/A 16 REMARKS 0 0 0 1.,2026-06-26 09:36:38
PEL-000068,CGS-000068,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Socket Head Cap Screws,For Payment & Submission of Data refer to Clauses 252.232-7006 & 252.232-7003 or 52.232-36.,2026-06-26 09:36:38
PEL-000069,CGS-000069,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Socket Head Cap Screws,Each Data Item Submitted by Vendor must be Submitted under a Separate Shipment Number.,2026-06-26 09:36:38
PEL-000070,CGS-000070,Supplier Qualification,Certification Requirement,Eligibility,certification,0.9,yes,no,4,3,4,Socket Head Cap Screws,SUBTITLE CHEMICAL & MECHANICAL CERTIFICATION A002 CERTIFICATION DATA / REPORT 4.AUTHORITY 5.CONTRACT REFERENCE 6.,2026-06-26 09:36:38
PEL-000071,CGS-000071,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Socket Head Cap Screws,3 CODE 245 7.DD 250 REQ 9.DIST 10.FREQUENCY 12.DATE OF 1st 14.DISTRIBUTION STATEMENT SUBMISSION a.ADDRESSEE b.COPIES REQUIRED One Time DD With Material DRAFT FINAL A 8.APP.,2026-06-26 09:36:38
PEL-000072,CGS-000072,Unclassified,Needs Semantic Review,Discovery,,0.3,yes,no,2,1,2,Socket Head Cap Screws,CODE 11.AS OF DATE 13.DATE OF REG REPRO SUBSEQUENT SUBMISSION N/A 133.2 0 1 0 N/A N/A 16 REMARKS 1.,2026-06-26 09:36:38
PEL-000073,CGS-000073,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Socket Head Cap Screws,B.EXHIBIT C.CATEGORY 0002 B TDP TM ___ OTHER___ D.SYSTEM/ITEM E.CONTRACT/PR NO.,2026-06-26 09:36:38
PEL-000074,CGS-000074,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,7195--Solar Shades - B3 PACT,ADMINISTERED BY CODE 36C246 See Delivery Schedule Department of Veterans Affairs Network Contracting Office 6 100 Emancipation Dr.,2026-06-26 09:36:38
PEL-000075,CGS-000075,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,7195--Solar Shades - B3 PACT,GENERAL INFORMATION CONTACT INFORMATION ADDITIONAL INFORMATION DESCRIPTION This pre-solicitation notice is not a request for formal proposals or quotes.,2026-06-26 09:36:38
PEL-000076,CGS-000076,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,7195--Solar Shades - B3 PACT,"The Department of Veterans Affairs, Salisbury VAMC has a requirement for Solar Shades.",2026-06-26 09:36:38
PEL-000077,CGS-000077,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,7195--Solar Shades - B3 PACT,All correspondence and responses shall be via e-mail to Aleshia.Hernandez@va.gov.,2026-06-26 09:36:38
PEL-000078,CGS-000078,Evaluation,Best Value Award Basis,Source Selection,most advantageous to the government,0.9,no,no,1,0,1,Non-Research Long-Term Care facility needed for the enrichment and socialization of Non-Human Primate colony,"The Government will award a firm-fixed-price contract resulting from this combined synopsis/solicitation to the responsible offeror whose offer, conforming to the synopsis/solicitation, will be most advantageous to the Government (as determined by the solicitation evaluation criteria).",2026-06-26 09:36:38
PEL-000079,CGS-000079,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--Dental Panoramic Machine,"This notice does NOT constitute a request for proposals, request for quote, or invitation for bid.",2026-06-26 09:36:38
PEL-000080,CGS-000080,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--Dental Panoramic Machine,The VHA Network Contracting Office 6 (NCO 6) is conducting a market survey to find qualified vendors who can provide the following item:,2026-06-26 09:36:38
PEL-000081,CGS-000081,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--Dental Panoramic Machine,"If the contractor can provide the above-mentioned product, the contractor SHALL submit product information for evaluation.",2026-06-26 09:36:38
PEL-000082,CGS-000082,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--Dental Panoramic Machine,"If the contractor can provide the above items, the contractor SHALL provide a letter from the manufacturer stating they are an authorized distributor/licenser of their products.",2026-06-26 09:36:38
PEL-000083,CGS-000083,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,6515--Dental Panoramic Machine,"Failure to submit an authorized distributor letter shall result in the product(s) potentially offered to be considered ""grey market"".",2026-06-26 09:36:38
PEL-000084,CGS-000084,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,National Cemetery Administration (NCA) Black Hills National Cemetery (BHNC) STATEMENT OF NEED Requirement of Aggregate Materials GENERAL INFORMATION Title of Project:,2026-06-26 09:36:38
PEL-000085,CGS-000085,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,Aggregate Materials Requirement Black Hills National Cemetery has a requirement for the following materials:,2026-06-26 09:36:38
PEL-000086,CGS-000086,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,The vendor shall provide material only when requested by the cemetery Contracting Officer Representative (COR).,2026-06-26 09:36:38
PEL-000087,CGS-000087,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,The transportation/delivery of material to the cemetery will be provided by the vendor and offloaded in a designated location provided by the COR at the time of delivery.,2026-06-26 09:36:38
PEL-000088,CGS-000088,Administrative,Short Administrative Expression,Review,,0.45,yes,no,2,1,2,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,The delivery price shall be included in the total price of the contract.,2026-06-26 09:36:38
PEL-000089,CGS-000089,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,The Vendor shall provide the following material upon request by the COR:,2026-06-26 09:36:38
PEL-000090,CGS-000090,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Description Unit Max Qty 0001 Provide ¾"" Road Base Gravel (1 qty = 1 ton) Each 90 0002 Provide Crushed Fines (1 qty = 1 ton) Each 90 0003 Provide 3/8"" Clean Gravel Chips (1 qty = 1 ton) Each 180 0004 Provide Concrete Sand (1 qty = 1 ton) Each 120 0005 Provide Screened Topsoil (1 qty = 1 ton) Each 75 0006 Provide Fill Dirt (1 qty = 1 ton) Each 75 FOB:",2026-06-26 09:36:38
PEL-000091,CGS-000091,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Destination The contractor shall deliver to Black Hills National Cemetery located at 20901 Pleasant Valley Drive, Sturgis, SD 57785 the following:",2026-06-26 09:36:38
PEL-000092,CGS-000092,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Contractor must identify previous federal, state, local government and or private contracts completed that are comparable in size, complexity and scope to the contract being evaluated.",2026-06-26 09:36:38
PEL-000093,CGS-000093,Administrative,Short Administrative Expression,Review,,0.45,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,Contracts must be either completed or current within the last (5) years.,2026-06-26 09:36:38
PEL-000094,CGS-000094,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,List any National Cemetery Administration (NCA) contracts currently working or previously worked first followed by Non-NCA contracts.,2026-06-26 09:36:38
PEL-000095,CGS-000095,Proposal,Proposal Volume Structure,Submission Structure,past performance,0.9,yes,no,2,1,2,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"Past Performance Questionnaire Contract Number Contractor ( Name Address, Zip Code) Telephone Number Email Address Type of Contract Contract Dollar Value Date of Award (if not completed provide status) Type/Extent of Subcontracting Percentage of Work completed by the Contractor Description of Supply/Services provided, location & relevancy of work Address, Telephone Number & Email of the Contact Person and Position",2026-06-26 09:36:38
PEL-000096,CGS-000096,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,"DIGNITY CLAUSE Respect for Headstones and Markers in National Cemeteries Handling of Markers and Headstones Every action by contractor personnel at a national cemetery must be performed with the special care, reverence, dignity, and respect that acknowledges the cemetery as the final resting place that commemorates the service and sacrifice that service members, Veterans and their families made for our Nation.",2026-06-26 09:36:38
PEL-000097,CGS-000097,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,Critically important is the awareness required of the Contractor employees of the remains buried in the grounds where the work is performed.,2026-06-26 09:36:38
PEL-000098,CGS-000098,Unclassified,Needs Semantic Review,Discovery,,0.3,no,no,1,0,1,Consolidated Synopsis Aggregate Materials Black Hills National Cemetery,The utmost care must be given to these remains and the headstones and flat grave markers that mark those gravesites and memorialize the service of individuals.,2026-06-26 09:36:38
