explainability_id,search_result_id,search_request_id,node_id,canonical_name,why_returned,score_formula,score_components,supporting_relationships,created_at
GSEXP-000011,GSRES-000011,GSRQ-000002,KGNODE2-000017,Request for Information,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.75, ""confidence_score"": 0.761, ""domain_boost"": 0.0, ""final_score"": 0.3136}",Request for Information --shapes_source_selection--> Award Basis | Request for Information --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Information | Food and Drug Administration --uses_acquisition_method--> Request for Information,2026-06-29 22:06:49
GSEXP-000012,GSRES-000012,GSRQ-000002,KGNODE2-000024,Request for Proposal,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.75, ""confidence_score"": 0.743, ""domain_boost"": 0.0, ""final_score"": 0.3118}",Request for Proposal --shapes_source_selection--> Award Basis | Request for Proposal --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Proposal | Food and Drug Administration --uses_acquisition_method--> Request for Proposal,2026-06-29 22:06:49
GSEXP-000013,GSRES-000013,GSRQ-000002,KGNODE2-000023,Method of Solicitation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.75, ""confidence_score"": 0.718, ""domain_boost"": 0.0, ""final_score"": 0.3093}",Method of Solicitation --shapes_source_selection--> Award Basis | Method of Solicitation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Method of Solicitation | Food and Drug Administration --uses_acquisition_method--> Method of Solicitation,2026-06-29 22:06:49
GSEXP-000014,GSRES-000014,GSRQ-000002,KGNODE2-000028,Request for Quotation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.5, ""relationship_score"": 0.75, ""confidence_score"": 0.712, ""domain_boost"": 0.0, ""final_score"": 0.3087}",Request for Quotation --shapes_source_selection--> Award Basis | Request for Quotation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Quotation | Food and Drug Administration --uses_acquisition_method--> Request for Quotation,2026-06-29 22:06:49
GSEXP-000015,GSRES-000015,GSRQ-000003,KGNODE2-000005,Performance Work Statement,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 0.6, ""relationship_score"": 1.0, ""confidence_score"": 0.811, ""domain_boost"": 0.15, ""final_score"": 0.8686}",Performance Work Statement --requires_supplier_capability--> Past Performance | Performance Work Statement --requires_supplier_capability--> Small Business Set-Aside | Performance Work Statement --specializes--> Statement of Work | National Cemetery Operations --specializes_requirement--> Performance Work Statement,2026-06-29 22:06:49
GSEXP-000016,GSRES-000016,GSRQ-000003,KGNODE2-000016,Past Performance,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.8, ""relationship_score"": 1.0, ""confidence_score"": 0.734, ""domain_boost"": 0.15, ""final_score"": 0.5734}",Performance Work Statement --requires_supplier_capability--> Past Performance | Statement of Work --requires_supplier_capability--> Past Performance,2026-06-29 22:06:49
GSEXP-000017,GSRES-000017,GSRQ-000003,KGNODE2-000021,Small Business Set-Aside,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.8, ""relationship_score"": 1.0, ""confidence_score"": 0.706, ""domain_boost"": 0.15, ""final_score"": 0.5706}",Performance Work Statement --requires_supplier_capability--> Small Business Set-Aside | Statement of Work --requires_supplier_capability--> Small Business Set-Aside,2026-06-29 22:06:49
GSEXP-000018,GSRES-000018,GSRQ-000003,KGNODE2-000025,Statement of Work,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.6, ""relationship_score"": 1.0, ""confidence_score"": 0.727, ""domain_boost"": 0.15, ""final_score"": 0.5227}",Statement of Work --requires_supplier_capability--> Past Performance | Statement of Work --requires_supplier_capability--> Small Business Set-Aside | National Cemetery Operations --specializes_requirement--> Statement of Work | Performance Work Statement --specializes--> Statement of Work,2026-06-29 22:06:49
GSEXP-000019,GSRES-000019,GSRQ-000003,KGNODE2-000002,National Cemetery Operations,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.6, ""relationship_score"": 0.6, ""confidence_score"": 0.89, ""domain_boost"": 0.0, ""final_score"": 0.329}",National Cemetery Operations --specializes_requirement--> Performance Work Statement | National Cemetery Operations --specializes_requirement--> Statement of Work | Food and Drug Administration --has_domain_requirement--> National Cemetery Operations,2026-06-29 22:06:49
GSEXP-000020,GSRES-000020,GSRQ-000003,KGNODE2-000007,Marine Corps Base Camp Lejeune,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.2, ""relationship_score"": 0.2, ""confidence_score"": 0.92, ""domain_boost"": 0.0, ""final_score"": 0.172}",Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000021,GSRES-000021,GSRQ-000003,KGNODE2-000013,Unit Price,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.2, ""relationship_score"": 0.2, ""confidence_score"": 0.79, ""domain_boost"": 0.0, ""final_score"": 0.159}",Firm Fixed Price --has_pricing_structure--> Unit Price | Place of Performance --affects_price--> Unit Price | Place of Performance --affects_pricing--> Unit Price,2026-06-29 22:06:49
GSEXP-000022,GSRES-000022,GSRQ-000003,KGNODE2-000022,Place of Performance,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.2, ""relationship_score"": 0.2, ""confidence_score"": 0.74, ""domain_boost"": 0.0, ""final_score"": 0.154}",Place of Performance --affects_price--> Unit Price | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Unit Price | Place of Performance --affects_pricing--> Payment and Invoice | Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000023,GSRES-000023,GSRQ-000003,KGNODE2-000029,Payment and Invoice,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.2, ""relationship_score"": 0.2, ""confidence_score"": 0.701, ""domain_boost"": 0.0, ""final_score"": 0.1501}",Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Payment and Invoice,2026-06-29 22:06:49
GSEXP-000024,GSRES-000024,GSRQ-000004,KGNODE2-000016,Past Performance,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 0.5, ""relationship_score"": 0.25, ""confidence_score"": 0.734, ""domain_boost"": 0.15, ""final_score"": 0.7234}",Performance Work Statement --requires_supplier_capability--> Past Performance | Statement of Work --requires_supplier_capability--> Past Performance,2026-06-29 22:06:49
GSEXP-000025,GSRES-000025,GSRQ-000004,KGNODE2-000021,Small Business Set-Aside,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.4, ""lexical_score"": 0.75, ""relationship_score"": 0.25, ""confidence_score"": 0.706, ""domain_boost"": 0.15, ""final_score"": 0.6256}",Performance Work Statement --requires_supplier_capability--> Small Business Set-Aside | Statement of Work --requires_supplier_capability--> Small Business Set-Aside,2026-06-29 22:06:49
GSEXP-000026,GSRES-000026,GSRQ-000004,KGNODE2-000005,Performance Work Statement,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.811, ""domain_boost"": 0.0, ""final_score"": 0.4811}",Performance Work Statement --requires_supplier_capability--> Past Performance | Performance Work Statement --requires_supplier_capability--> Small Business Set-Aside | Performance Work Statement --specializes--> Statement of Work | National Cemetery Operations --specializes_requirement--> Performance Work Statement,2026-06-29 22:06:49
GSEXP-000027,GSRES-000027,GSRQ-000004,KGNODE2-000025,Statement of Work,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.727, ""domain_boost"": 0.0, ""final_score"": 0.4727}",Statement of Work --requires_supplier_capability--> Past Performance | Statement of Work --requires_supplier_capability--> Small Business Set-Aside | National Cemetery Operations --specializes_requirement--> Statement of Work | Performance Work Statement --specializes--> Statement of Work,2026-06-29 22:06:49
GSEXP-000028,GSRES-000028,GSRQ-000004,KGNODE2-000007,Marine Corps Base Camp Lejeune,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.25, ""confidence_score"": 0.92, ""domain_boost"": 0.0, ""final_score"": 0.192}",Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000029,GSRES-000029,GSRQ-000004,KGNODE2-000002,National Cemetery Operations,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.25, ""confidence_score"": 0.89, ""domain_boost"": 0.0, ""final_score"": 0.189}",National Cemetery Operations --specializes_requirement--> Performance Work Statement | National Cemetery Operations --specializes_requirement--> Statement of Work | Food and Drug Administration --has_domain_requirement--> National Cemetery Operations,2026-06-29 22:06:49
GSEXP-000030,GSRES-000030,GSRQ-000004,KGNODE2-000013,Unit Price,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.25, ""confidence_score"": 0.79, ""domain_boost"": 0.0, ""final_score"": 0.179}",Firm Fixed Price --has_pricing_structure--> Unit Price | Place of Performance --affects_price--> Unit Price | Place of Performance --affects_pricing--> Unit Price,2026-06-29 22:06:49
GSEXP-000031,GSRES-000031,GSRQ-000004,KGNODE2-000022,Place of Performance,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.25, ""confidence_score"": 0.74, ""domain_boost"": 0.0, ""final_score"": 0.174}",Place of Performance --affects_price--> Unit Price | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Unit Price | Place of Performance --affects_pricing--> Payment and Invoice | Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000032,GSRES-000032,GSRQ-000004,KGNODE2-000029,Payment and Invoice,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.25, ""confidence_score"": 0.701, ""domain_boost"": 0.0, ""final_score"": 0.1701}",Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Payment and Invoice,2026-06-29 22:06:49
GSEXP-000033,GSRES-000033,GSRQ-000005,KGNODE2-000011,Food and Drug Administration,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 1.0, ""relationship_score"": 0.25, ""confidence_score"": 0.92, ""domain_boost"": 0.12, ""final_score"": 0.837}",Food and Drug Administration --uses_acquisition_method--> Solicitation Number | Food and Drug Administration --uses_acquisition_method--> Request for Information | Food and Drug Administration --uses_acquisition_method--> Combined Synopsis Solicitation | Food and Drug Administration --uses_acquisition_method--> Method of Solicitation | Food and Drug Administration --uses_acquisition_method--> Request for Proposal,2026-06-29 22:06:49
GSEXP-000034,GSRES-000034,GSRQ-000005,KGNODE2-000012,Solicitation Number,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.777, ""domain_boost"": 0.12, ""final_score"": 0.5977}",Solicitation Number --shapes_source_selection--> Award Basis | Solicitation Number --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Solicitation Number | Food and Drug Administration --uses_acquisition_method--> Solicitation Number,2026-06-29 22:06:49
GSEXP-000035,GSRES-000035,GSRQ-000005,KGNODE2-000020,Combined Synopsis Solicitation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.769, ""domain_boost"": 0.12, ""final_score"": 0.5969}",Combined Synopsis Solicitation --shapes_source_selection--> Award Basis | Combined Synopsis Solicitation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Combined Synopsis Solicitation | Food and Drug Administration --uses_acquisition_method--> Combined Synopsis Solicitation,2026-06-29 22:06:49
GSEXP-000036,GSRES-000036,GSRQ-000005,KGNODE2-000017,Request for Information,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.761, ""domain_boost"": 0.12, ""final_score"": 0.5961}",Request for Information --shapes_source_selection--> Award Basis | Request for Information --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Information | Food and Drug Administration --uses_acquisition_method--> Request for Information,2026-06-29 22:06:49
GSEXP-000037,GSRES-000037,GSRQ-000005,KGNODE2-000024,Request for Proposal,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.743, ""domain_boost"": 0.12, ""final_score"": 0.5943}",Request for Proposal --shapes_source_selection--> Award Basis | Request for Proposal --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Proposal | Food and Drug Administration --uses_acquisition_method--> Request for Proposal,2026-06-29 22:06:49
GSEXP-000038,GSRES-000038,GSRQ-000005,KGNODE2-000023,Method of Solicitation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.718, ""domain_boost"": 0.12, ""final_score"": 0.5918}",Method of Solicitation --shapes_source_selection--> Award Basis | Method of Solicitation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Method of Solicitation | Food and Drug Administration --uses_acquisition_method--> Method of Solicitation,2026-06-29 22:06:49
GSEXP-000039,GSRES-000039,GSRQ-000005,KGNODE2-000028,Request for Quotation,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.712, ""domain_boost"": 0.12, ""final_score"": 0.5912}",Request for Quotation --shapes_source_selection--> Award Basis | Request for Quotation --defines_submission_context--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Request for Quotation | Food and Drug Administration --uses_acquisition_method--> Request for Quotation,2026-06-29 22:06:49
GSEXP-000040,GSRES-000040,GSRQ-000005,KGNODE2-000002,National Cemetery Operations,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.75, ""relationship_score"": 0.75, ""confidence_score"": 0.89, ""domain_boost"": 0.0, ""final_score"": 0.389}",National Cemetery Operations --specializes_requirement--> Performance Work Statement | National Cemetery Operations --specializes_requirement--> Statement of Work | Food and Drug Administration --has_domain_requirement--> National Cemetery Operations,2026-06-29 22:06:49
GSEXP-000041,GSRES-000041,GSRQ-000005,KGNODE2-000004,Contracting Officer,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.25, ""relationship_score"": 0.25, ""confidence_score"": 0.802, ""domain_boost"": 0.12, ""final_score"": 0.3002}",Contracting Officer --issues_or_receives--> Solicitation Amendment | Contracting Officer --administers_acquisition--> Solicitation Number | Contracting Officer --administers_acquisition--> Request for Information | Contracting Officer --administers_acquisition--> Combined Synopsis Solicitation | Contracting Officer --administers_acquisition--> Method of Solicitation,2026-06-29 22:06:49
GSEXP-000042,GSRES-000042,GSRQ-000006,KGNODE2-000022,Place of Performance,"Matched directly against canonical node name, node type, or strong token overlap.",final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.75, ""lexical_score"": 0.6667, ""relationship_score"": 1.0, ""confidence_score"": 0.74, ""domain_boost"": 0.15, ""final_score"": 0.8782}",Place of Performance --affects_price--> Unit Price | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Unit Price | Place of Performance --affects_pricing--> Payment and Invoice | Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000043,GSRES-000043,GSRQ-000006,KGNODE2-000013,Unit Price,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.79, ""domain_boost"": 0.15, ""final_score"": 0.629}",Firm Fixed Price --has_pricing_structure--> Unit Price | Place of Performance --affects_price--> Unit Price | Place of Performance --affects_pricing--> Unit Price,2026-06-29 22:06:49
GSEXP-000044,GSRES-000044,GSRQ-000006,KGNODE2-000029,Payment and Invoice,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 1.0, ""relationship_score"": 1.0, ""confidence_score"": 0.701, ""domain_boost"": 0.15, ""final_score"": 0.6201}",Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Place of Performance --affects_price--> Payment and Invoice | Place of Performance --affects_pricing--> Payment and Invoice,2026-06-29 22:06:49
GSEXP-000045,GSRES-000045,GSRQ-000006,KGNODE2-000003,Firm Fixed Price,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.3333, ""relationship_score"": 0.3333, ""confidence_score"": 0.84, ""domain_boost"": 0.15, ""final_score"": 0.3673}",Firm Fixed Price --has_pricing_structure--> Unit Price | Firm Fixed Price --has_pricing_structure--> Payment and Invoice | Award Basis --may_result_in_contract_type--> Firm Fixed Price,2026-06-29 22:06:49
GSEXP-000046,GSRES-000046,GSRQ-000006,KGNODE2-000007,Marine Corps Base Camp Lejeune,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.6667, ""relationship_score"": 0.6667, ""confidence_score"": 0.92, ""domain_boost"": 0.0, ""final_score"": 0.3587}",Marine Corps Base Camp Lejeune --may_define_place_of_performance--> Place of Performance,2026-06-29 22:06:49
GSEXP-000047,GSRES-000047,GSRQ-000006,KGNODE2-000002,National Cemetery Operations,Matched query terms in node/search text.,final = exact*0.45 + lexical*0.25 + relationship*0.15 + confidence*0.10 + domain_boost,"{""exact_score"": 0.0, ""lexical_score"": 0.3333, ""relationship_score"": 0.3333, ""confidence_score"": 0.89, ""domain_boost"": 0.0, ""final_score"": 0.2223}",National Cemetery Operations --specializes_requirement--> Performance Work Statement | National Cemetery Operations --specializes_requirement--> Statement of Work | Food and Drug Administration --has_domain_requirement--> National Cemetery Operations,2026-06-29 22:06:49
